Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_Diving_g01_c04: 0.7765480225498322
v_Diving_g01_c05: 0.6826437899435405
v_Diving_g01_c06: 0.7997365802584682
v_Diving_g01_c07: 0.7119118400441948
v_Diving_g02_c01: 0.3552688415220473
v_Diving_g02_c02: 0.3940473095572088
v_Diving_g02_c03: 0.40550134927616455
v_Diving_g02_c04: 0.38001236380659975
v_Diving_g02_c05: 0.4285488775058184
v_Diving_g02_c06: 0.43328742767334916
v_Diving_g02_c07: 0.6271782551484648
v_Diving_g03_c01: 0.9152193310728762
v_Diving_g03_c02: 0.9156949915050063
v_Diving_g03_c03: 0.8977582758816425
v_Diving_g03_c04: 0.9220076630881522
v_Diving_g03_c05: 0.8874895553162787
v_Diving_g03_c06: 0.8819573313521687
v_Diving_g03_c07: 0.8937489997188095
v_Diving_g04_c01: 0.6442120353749488
v_Diving_g04_c02: 0.6639186408428941
v_Diving_g04_c03: 0.7489566972071771
v_Diving_g04_c04: 0.4381617865583394
v_Diving_g04_c05: 0.7566168016346637
v_Diving_g04_c06: 0.7619980570452753
v_Diving_g04_c07: 0.6838056474516634
v_Diving_g05_c01: 0.8273506848199759
v_Diving_g05_c02: 0.8347749287786428
v_Diving_g05_c03: 0.8112838705128524
v_Diving_g05_c04: 0.796971676783869
v_Diving_g05_c05: 0.8373829442134593
v_Diving_g05_c06: 0.82212593514123
v_Diving_g06_c01: 0.6288796257285867
v_Diving_g06_c02: 0.5698687568365131
v_Diving_g06_c03: 0.7082110193150584
v_Diving_g06_c04: 0.5969689284975175
v_Diving_g06_c05: 0.6522128718497697
v_Diving_g06_c06: 0.6713217945361976
v_Diving_g06_c07: 0.5886540325882379
v_Diving_g07_c01: 0.6267870037409011
v_Diving_g07_c02: 0.660871233936632
v_Diving_g07_c03: 0.4935519324208144
v_Diving_g07_c04: 0.5351350979472045
v_Fencing_g01_c01: 0.6822109544591513
v_Fencing_g01_c02: 0.6818330454116222
v_Fencing_g01_c03: 0.6793622219411191
v_Fencing_g01_c04: 0.6859333611500915
v_Fencing_g01_c05: 0.7046592536789831
v_Fencing_g01_c06: 0.7690329876204487
v_Fencing_g02_c01: 0.7026394918502774
v_Fencing_g02_c02: 0.28945022154948674
v_Fencing_g02_c03: 0.6305025341862347
v_Fencing_g02_c04: 0.8267240760324057
