Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_blur_ig_full_test.pt
v_Fencing_g07_c03: 0.7060802675259765
v_Fencing_g07_c04: 0.5645659459696617
v_FloorGymnastics_g01_c01: 0.9363092668354511
v_FloorGymnastics_g01_c02: 0.9425526550039649
v_FloorGymnastics_g01_c03: 0.8810805578250438
v_FloorGymnastics_g01_c04: 0.8991883397102356
v_FloorGymnastics_g01_c05: 0.9322884255088866
v_FloorGymnastics_g02_c01: 0.7496472194325179
v_FloorGymnastics_g02_c02: 0.8161922469735146
v_FloorGymnastics_g02_c03: 0.8365082538221031
v_FloorGymnastics_g02_c04: 0.8965220134705305
v_FloorGymnastics_g03_c01: 0.8922412770334631
v_FloorGymnastics_g03_c02: 0.8616792443208396
v_FloorGymnastics_g03_c03: 0.798033885192126
v_FloorGymnastics_g03_c04: 0.900810957653448
v_FloorGymnastics_g04_c01: 0.8732327821198851
v_FloorGymnastics_g04_c02: 0.9440612324979156
v_FloorGymnastics_g04_c03: 0.8231893803458661
v_FloorGymnastics_g04_c04: 0.8010267950594425
v_FloorGymnastics_g04_c05: 0.9003444733098149
v_FloorGymnastics_g05_c01: 0.6213849361520261
v_FloorGymnastics_g05_c02: 0.8950195002835244
v_FloorGymnastics_g05_c03: 0.7418075872119516
v_FloorGymnastics_g05_c04: 0.7871339411940426
v_FloorGymnastics_g06_c01: 0.5839874432422221
v_FloorGymnastics_g06_c02: 0.8476795356255025
v_FloorGymnastics_g06_c03: 0.8793493597768247
v_FloorGymnastics_g06_c04: 0.353989923838526
v_FloorGymnastics_g06_c05: 0.24598647817038
v_FloorGymnastics_g06_c06: 0.32014288334175944
v_FloorGymnastics_g06_c07: 0.4089053173083812
v_FloorGymnastics_g07_c01: 0.7462671217508614
v_FloorGymnastics_g07_c02: 0.8609132783021778
v_FloorGymnastics_g07_c03: 0.8329063626006246
v_FloorGymnastics_g07_c04: 0.6990688878577203
v_FloorGymnastics_g07_c05: 0.5975626213476062
v_FloorGymnastics_g07_c06: 0.7656923711765558
v_FloorGymnastics_g07_c07: 0.8210481761489064
v_GolfSwing_g01_c01: 0.7922169819648843
v_GolfSwing_g01_c02: 0.7669646294962149
v_GolfSwing_g01_c03: 0.7620801629673224
v_GolfSwing_g01_c04: 0.7825768468610477
v_GolfSwing_g01_c05: 0.8092713530350011
v_GolfSwing_g01_c06: 0.8423973947938066
v_GolfSwing_g02_c01: 0.772935015585972
v_GolfSwing_g02_c02: 0.28136843905667774
v_GolfSwing_g02_c03: 0.2996289233851712
v_GolfSwing_g02_c04: 0.3591276928491425
v_GolfSwing_g03_c01: 0.36424866525339894
v_GolfSwing_g03_c02: 0.3882020646415185
v_GolfSwing_g03_c03: 0.35982161687570624
v_GolfSwing_g03_c04: 0.3378784276719671
v_GolfSwing_g03_c05: 0.44414967388729565
v_GolfSwing_g03_c06: 0.41621719181421213
v_GolfSwing_g03_c07: 0.3630414090293925
v_GolfSwing_g04_c01: 0.5186539254791569
v_GolfSwing_g04_c02: 0.5491227535239886
v_GolfSwing_g04_c03: 0.6172388526319992
v_GolfSwing_g04_c04: 0.667578478314681
v_GolfSwing_g04_c05: 0.6264225120830815
v_GolfSwing_g04_c06: 0.6582323570910376
v_GolfSwing_g05_c01: 0.5168825380678754
v_GolfSwing_g05_c02: 0.49085339994053356
v_GolfSwing_g05_c03: 0.7158188563480508
v_GolfSwing_g05_c04: 0.5729969227395486
v_GolfSwing_g05_c05: 0.495803785714088
v_GolfSwing_g05_c06: 0.41585400418262
v_GolfSwing_g05_c07: 0.21262438452686183
v_GolfSwing_g06_c01: 0.025881429653964005
v_GolfSwing_g06_c02: 0.4828269383579027
v_GolfSwing_g06_c03: 0.6829973437997978
v_GolfSwing_g06_c04: 0.3665073755837511
v_GolfSwing_g07_c01: 0.5614838672045153
v_GolfSwing_g07_c02: 0.6614152600232046
v_GolfSwing_g07_c03: 0.5802188680681866
v_GolfSwing_g07_c04: 0.44804609936545603
v_GolfSwing_g07_c05: 0.4720129936176818
v_HorseRiding_g01_c01: 0.8249246225968818
v_HorseRiding_g01_c02: 0.6837871136885951
v_HorseRiding_g01_c03: 0.864274732703052
v_HorseRiding_g01_c04: 0.9255225341112236
v_HorseRiding_g01_c05: 0.7615393313390086
v_HorseRiding_g01_c06: 0.7940453388073365
v_HorseRiding_g01_c07: 0.8114510606319527
v_HorseRiding_g02_c01: 0.7478890953861992
v_HorseRiding_g02_c02: 0.8852063135054777
v_HorseRiding_g02_c03: 0.9143928896446596
v_HorseRiding_g02_c04: 0.7789632351414184
v_HorseRiding_g02_c05: 0.6269757674817811
v_HorseRiding_g02_c06: 0.7364332405195455
v_HorseRiding_g02_c07: 0.6140302796193282
v_HorseRiding_g03_c01: 0.7945254809965263
v_HorseRiding_g03_c02: 0.8550118442435632
v_HorseRiding_g03_c03: 0.8346753813602845
v_HorseRiding_g03_c04: 0.8543464817848871
v_HorseRiding_g03_c05: 0.9535431509648333
v_HorseRiding_g03_c06: 0.8593459652547608
v_HorseRiding_g03_c07: 0.8742836613018881
v_HorseRiding_g04_c01: 0.7139801186785917
v_HorseRiding_g04_c02: 0.7755857540105353
v_HorseRiding_g04_c03: 0.5826116776370327
v_HorseRiding_g04_c04: 0.6900498042159597
v_HorseRiding_g04_c05: 0.5924236249920796
v_HorseRiding_g04_c06: 0.8264738544166903
v_HorseRiding_g04_c07: 0.8639359049775521
v_HorseRiding_g05_c01: 0.8702760291562299
v_HorseRiding_g05_c02: 0.9571450764124165
v_HorseRiding_g05_c03: 0.9099570535399835
v_HorseRiding_g05_c04: 0.9268641538728843
v_HorseRiding_g05_c05: 0.834549994840927
v_HorseRiding_g05_c06: 0.7663321210347931
v_HorseRiding_g05_c07: 0.8156979148552637
v_HorseRiding_g06_c01: 0.8703131817092071
v_HorseRiding_g06_c02: 0.8736292311732541
v_HorseRiding_g06_c03: 0.906870773229457
v_HorseRiding_g06_c04: 0.7918025741164456
v_HorseRiding_g06_c05: 0.9367081331365625
v_HorseRiding_g06_c06: 0.9337118232433568
v_HorseRiding_g06_c07: 0.892724457597069
v_HorseRiding_g07_c01: 0.707424656888179
v_HorseRiding_g07_c02: 0.6669518492926727
v_HorseRiding_g07_c03: 0.688585096206225
v_HorseRiding_g07_c04: 0.7492851476927171
v_HorseRiding_g07_c05: 0.7056555954550277
v_HorseRiding_g07_c06: 0.8031387579903821
v_HorseRiding_g07_c07: 0.7949717426017742
v_IceDancing_g01_c01: 0.5263794900820358
v_IceDancing_g01_c02: 0.40508134294941556
v_IceDancing_g01_c03: 0.5097300284978701
v_IceDancing_g01_c04: 0.5707142022874905
v_IceDancing_g01_c05: 0.6744431970146252
v_IceDancing_g01_c06: 0.5391171228111489
v_IceDancing_g01_c07: 0.46390145090117585
v_IceDancing_g02_c01: 0.6205860285990639
v_IceDancing_g02_c02: 0.4274675196938915
v_IceDancing_g02_c03: 0.5365788583148969
v_IceDancing_g02_c04: 0.6709160795871867
v_IceDancing_g02_c05: 0.43705399268947076
v_IceDancing_g02_c06: 0.6187601809360785
v_IceDancing_g02_c07: 0.4700027448561741
v_IceDancing_g03_c01: 0.42563553671061527
v_IceDancing_g03_c02: 0.6559925049514277
v_IceDancing_g03_c03: 0.588590129322256
v_IceDancing_g03_c04: 0.528347219384159
v_IceDancing_g03_c05: 0.7424124926765217
v_IceDancing_g03_c06: 0.6797974142682506
v_IceDancing_g04_c01: 0.5490971829713089
v_IceDancing_g04_c02: 0.5801161684066756
v_IceDancing_g04_c03: 0.5766775717929704
v_IceDancing_g04_c04: 0.5654839317285223
v_IceDancing_g04_c05: 0.036485965218162164
v_IceDancing_g04_c06: 0.4761312758055283
v_IceDancing_g04_c07: 0.6341949252382619
v_IceDancing_g05_c01: 0.7221463707246585
v_IceDancing_g05_c02: 0.4725659995310707
v_IceDancing_g05_c03: 0.7072969819855643
v_IceDancing_g05_c04: 0.6740777863160474
v_IceDancing_g05_c05: 0.7089819121611072
v_IceDancing_g05_c06: 0.7489229157072259
v_IceDancing_g06_c01: 0.6861596233648015
v_IceDancing_g06_c02: 0.4428365054045571
v_IceDancing_g06_c03: 0.6995152000308735
v_IceDancing_g06_c04: 0.6497850791056408
v_IceDancing_g06_c05: 0.522209479517187
v_IceDancing_g06_c06: 0.2459530695778085
v_IceDancing_g07_c01: 0.7175671945296926
v_IceDancing_g07_c02: 0.632153861966799
v_IceDancing_g07_c03: 0.553635253381799
v_IceDancing_g07_c04: 0.6468607536953641
v_IceDancing_g07_c05: 0.613086179640959
v_IceDancing_g07_c06: 0.4756533219915582
v_IceDancing_g07_c07: 0.5831535051547689
v_LongJump_g01_c01: 0.812780779773675
v_LongJump_g01_c02: 0.8680154434277938
v_LongJump_g01_c03: 0.8929475939239637
v_LongJump_g01_c04: 0.8417849182023929
v_LongJump_g01_c05: 0.8526757140516565
v_LongJump_g01_c06: 0.8555478392972873
v_LongJump_g01_c07: 0.8720192070923076
v_LongJump_g02_c01: 0.8815374702553527
