Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_xrai_full_test.pt
v_FloorGymnastics_g04_c03: 0.7862248446326703
v_FloorGymnastics_g04_c04: 0.7761822678148746
v_FloorGymnastics_g04_c05: 0.8616463365033269
v_FloorGymnastics_g05_c01: 0.7712425764184445
v_FloorGymnastics_g05_c02: 0.8743872928898782
v_FloorGymnastics_g05_c03: 0.8089249802287668
v_FloorGymnastics_g05_c04: 0.8356361479964107
v_FloorGymnastics_g06_c01: 0.6065179989673197
v_FloorGymnastics_g06_c02: 0.7120364110451192
v_FloorGymnastics_g06_c03: 0.7435106723569334
v_FloorGymnastics_g06_c04: 0.4275811859406531
v_FloorGymnastics_g06_c05: 0.22514982684515417
v_FloorGymnastics_g06_c06: 0.4567946377210319
v_FloorGymnastics_g06_c07: 0.4977763791102916
v_FloorGymnastics_g07_c01: 0.6917778071947396
v_FloorGymnastics_g07_c02: 0.8008877055253834
v_FloorGymnastics_g07_c03: 0.8069727392867208
v_FloorGymnastics_g07_c04: 0.666458411840722
v_FloorGymnastics_g07_c05: 0.6320626242086291
v_FloorGymnastics_g07_c06: 0.7375418723095208
v_FloorGymnastics_g07_c07: 0.8121379970107228
v_GolfSwing_g01_c01: 0.8743755474861246
v_GolfSwing_g01_c02: 0.8660743983637076
v_GolfSwing_g01_c03: 0.8865292968403082
v_GolfSwing_g01_c04: 0.8991438625089359
v_GolfSwing_g01_c05: 0.8806865389633458
v_GolfSwing_g01_c06: 0.9275451332505327
v_GolfSwing_g02_c01: 0.8856380409270059
v_GolfSwing_g02_c02: 0.5763191925070714
v_GolfSwing_g02_c03: 0.7406283120799344
v_GolfSwing_g02_c04: 0.8028857037134003
v_GolfSwing_g03_c01: 0.5709257146518212
v_GolfSwing_g03_c02: 0.6354869538627099
v_GolfSwing_g03_c03: 0.6199019245977979
v_GolfSwing_g03_c04: 0.5014149464841466
v_GolfSwing_g03_c05: 0.6847220072231721
v_GolfSwing_g03_c06: 0.5941749054181855
v_GolfSwing_g03_c07: 0.5594858906406444
v_GolfSwing_g04_c01: 0.8207417092926335
v_GolfSwing_g04_c02: 0.8751329807273578
v_GolfSwing_g04_c03: 0.8656508060812484
v_GolfSwing_g04_c04: 0.8832259373448323
v_GolfSwing_g04_c05: 0.8520219202328008
v_GolfSwing_g04_c06: 0.8511343260470312
v_GolfSwing_g05_c01: 0.48363307045656256
v_GolfSwing_g05_c02: 0.5894458004913758
v_GolfSwing_g05_c03: 0.8495845538272988
v_GolfSwing_g05_c04: 0.726345249422593
v_GolfSwing_g05_c05: 0.5831923607911449
v_GolfSwing_g05_c06: 0.6075622709176969
v_GolfSwing_g05_c07: 0.3480955795093905
v_GolfSwing_g06_c01: 0.02511012692411896
v_GolfSwing_g06_c02: 0.6619977554946672
v_GolfSwing_g06_c03: 0.7971008398744743
v_GolfSwing_g06_c04: 0.5118081513501238
