Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_score_cam_full_test.pt
v_Fencing_g03_c01: 0.6943190780875739
v_Fencing_g03_c02: 0.5396525939868297
v_Fencing_g03_c03: 0.7929649805591907
v_Fencing_g03_c04: 0.7265690687054303
v_Fencing_g03_c05: 0.7114918204897549
v_Fencing_g04_c01: 0.5268065373820718
v_Fencing_g04_c02: 0.8314288278052118
v_Fencing_g04_c03: 0.7081328431086149
v_Fencing_g04_c04: 0.7228073331934866
v_Fencing_g04_c05: 0.6176400301919784
v_Fencing_g05_c01: 0.8684874541067984
v_Fencing_g05_c02: 0.8409259427280631
v_Fencing_g05_c03: 0.8426468205580022
v_Fencing_g05_c04: 0.8074773942062166
v_Fencing_g05_c05: 0.8419242888630833
v_Fencing_g06_c01: 0.8042657217883971
v_Fencing_g06_c02: 0.804918485780945
v_Fencing_g06_c03: 0.7721657600195613
v_Fencing_g06_c04: 0.8526927545608487
v_Fencing_g07_c01: 0.7556917498295661
v_Fencing_g07_c02: 0.6541451239900198
v_Fencing_g07_c03: 0.8069244123471435
v_Fencing_g07_c04: 0.789605130063137
v_FloorGymnastics_g01_c01: 0.8900856859982014
v_FloorGymnastics_g01_c02: 0.9281083038076758
v_FloorGymnastics_g01_c03: 0.9030882616061717
v_FloorGymnastics_g01_c04: 0.882416307926178
v_FloorGymnastics_g01_c05: 0.9085309677757323
v_FloorGymnastics_g02_c01: 0.7760276987683028
v_FloorGymnastics_g02_c02: 0.8193721547722816
v_FloorGymnastics_g02_c03: 0.8188500797841698
v_FloorGymnastics_g02_c04: 0.8914349358528852
v_FloorGymnastics_g03_c01: 0.8524982708040625
v_FloorGymnastics_g03_c02: 0.8260637405328453
v_FloorGymnastics_g03_c03: 0.747833005618304
v_FloorGymnastics_g03_c04: 0.8147399432491511
v_FloorGymnastics_g04_c01: 0.8661361339036375
v_FloorGymnastics_g04_c02: 0.8899906405713409
v_FloorGymnastics_g04_c03: 0.849742355523631
v_FloorGymnastics_g04_c04: 0.8307626582682133
v_FloorGymnastics_g04_c05: 0.8878143252804875
v_FloorGymnastics_g05_c01: 0.9163622434716672
v_FloorGymnastics_g05_c02: 0.898123650578782
v_FloorGymnastics_g05_c03: 0.9217564535792917
v_FloorGymnastics_g05_c04: 0.8946190567221493
v_FloorGymnastics_g06_c01: 0.7388884709216654
v_FloorGymnastics_g06_c02: 0.8138755958061665
v_FloorGymnastics_g06_c03: 0.7999268863350153
v_FloorGymnastics_g06_c04: 0.6239470490254462
v_FloorGymnastics_g06_c05: 0.40169237623922527
v_FloorGymnastics_g06_c06: 0.6657200641930103
v_FloorGymnastics_g06_c07: 0.6562212603166699
v_FloorGymnastics_g07_c01: 0.6111393985338509
v_FloorGymnastics_g07_c02: 0.8876772539224476
v_FloorGymnastics_g07_c03: 0.921921250410378
v_FloorGymnastics_g07_c04: 0.7524737555067986
v_FloorGymnastics_g07_c05: 0.5705139143392444
v_FloorGymnastics_g07_c06: 0.668527263449505
v_FloorGymnastics_g07_c07: 0.8880924342665821
v_GolfSwing_g01_c01: 0.9156614199455362
v_GolfSwing_g01_c02: 0.9014249595056754
v_GolfSwing_g01_c03: 0.8710273208271246
v_GolfSwing_g01_c04: 0.8855584147095215
v_GolfSwing_g01_c05: 0.9111398036766332
v_GolfSwing_g01_c06: 0.8983456522400957
v_GolfSwing_g02_c01: 0.8619557446509134
v_GolfSwing_g02_c02: 0.6249053231149446
v_GolfSwing_g02_c03: 0.6003101577225607
v_GolfSwing_g02_c04: 0.7362196966714691
v_GolfSwing_g03_c01: 0.7077753564517479
v_GolfSwing_g03_c02: 0.7875003749213647
v_GolfSwing_g03_c03: 0.7529056362982374
v_GolfSwing_g03_c04: 0.7408834017987829
v_GolfSwing_g03_c05: 0.7712965616665315
v_GolfSwing_g03_c06: 0.7276220160711091
v_GolfSwing_g03_c07: 0.7425406954425853
v_GolfSwing_g04_c01: 0.8567250333435368
v_GolfSwing_g04_c02: 0.8470888165466022
v_GolfSwing_g04_c03: 0.9272123309492599
v_GolfSwing_g04_c04: 0.8806260423443746
v_GolfSwing_g04_c05: 0.8520610208797734
v_GolfSwing_g04_c06: 0.8690096398058813
v_GolfSwing_g05_c01: 0.46375381873804145
v_GolfSwing_g05_c02: 0.8133199521980714
v_GolfSwing_g05_c03: 0.8289476376667153
v_GolfSwing_g05_c04: 0.8075370276055764
v_GolfSwing_g05_c05: 0.7692899231042247
v_GolfSwing_g05_c06: 0.7423048885248136
v_GolfSwing_g05_c07: 0.6182915405079257
v_GolfSwing_g06_c01: 0.029332695063203573
v_GolfSwing_g06_c02: 0.5637775263458025
v_GolfSwing_g06_c03: 0.7039816954347771
v_GolfSwing_g06_c04: 0.6122456732846331
v_GolfSwing_g07_c01: 0.7492717576387804
v_GolfSwing_g07_c02: 0.7876353074971121
v_GolfSwing_g07_c03: 0.8307498262438457
v_GolfSwing_g07_c04: 0.7587115280039143
v_GolfSwing_g07_c05: 0.4968133831571322
v_HorseRiding_g01_c01: 0.9089116793402354
v_HorseRiding_g01_c02: 0.8909660043937038
v_HorseRiding_g01_c03: 0.8504429384411196
v_HorseRiding_g01_c04: 0.8740688841135125
v_HorseRiding_g01_c05: 0.8683566364270519
v_HorseRiding_g01_c06: 0.8913995124676148
v_HorseRiding_g01_c07: 0.8924954365284066
v_HorseRiding_g02_c01: 0.8864414630734245
v_HorseRiding_g02_c02: 0.9067655519393156
v_HorseRiding_g02_c03: 0.904648126270331
v_HorseRiding_g02_c04: 0.9119817287937622
v_HorseRiding_g02_c05: 0.8660970853452454
v_HorseRiding_g02_c06: 0.8860928741560201
v_HorseRiding_g02_c07: 0.9126580138035933
v_HorseRiding_g03_c01: 0.8244584567655693
v_HorseRiding_g03_c02: 0.8629385467429529
v_HorseRiding_g03_c03: 0.8488223053791444
v_HorseRiding_g03_c04: 0.8933083095398615
v_HorseRiding_g03_c05: 0.9353782778416644
v_HorseRiding_g03_c06: 0.9007493780736695
v_HorseRiding_g03_c07: 0.9080253738720785
v_HorseRiding_g04_c01: 0.765066186831973
v_HorseRiding_g04_c02: 0.7768065763448249
v_HorseRiding_g04_c03: 0.7380076026820461
v_HorseRiding_g04_c04: 0.845369614129595
v_HorseRiding_g04_c05: 0.8327415060994099
v_HorseRiding_g04_c06: 0.8671012147606234
v_HorseRiding_g04_c07: 0.8761206440904061
v_HorseRiding_g05_c01: 0.8054795217976789
v_HorseRiding_g05_c02: 0.8915958224606584
v_HorseRiding_g05_c03: 0.8825349234321038
v_HorseRiding_g05_c04: 0.8951619334329735
v_HorseRiding_g05_c05: 0.8524386009012233
v_HorseRiding_g05_c06: 0.892809720178775
v_HorseRiding_g05_c07: 0.8592812483475427
v_HorseRiding_g06_c01: 0.8978800914992462
v_HorseRiding_g06_c02: 0.9177361318652402
v_HorseRiding_g06_c03: 0.8933211473558913
v_HorseRiding_g06_c04: 0.8427773007933865
v_HorseRiding_g06_c05: 0.9044553445928614
v_HorseRiding_g06_c06: 0.8885490262691746
v_HorseRiding_g06_c07: 0.9152612122052233
v_HorseRiding_g07_c01: 0.7964757843219559
v_HorseRiding_g07_c02: 0.8219292901267181
v_HorseRiding_g07_c03: 0.811481767501391
v_HorseRiding_g07_c04: 0.7943655114431749
v_HorseRiding_g07_c05: 0.827416381034709
v_HorseRiding_g07_c06: 0.828689183043025
v_HorseRiding_g07_c07: 0.8586067342475872
v_IceDancing_g01_c01: 0.5901825668261154
v_IceDancing_g01_c02: 0.7084782831807388
v_IceDancing_g01_c03: 0.7641738527890993
v_IceDancing_g01_c04: 0.7677759197977139
v_IceDancing_g01_c05: 0.7430963633087231
v_IceDancing_g01_c06: 0.7291565787018044
v_IceDancing_g01_c07: 0.6607311275292886
v_IceDancing_g02_c01: 0.7554794459574623
v_IceDancing_g02_c02: 0.7149906105332775
v_IceDancing_g02_c03: 0.7039496545185102
v_IceDancing_g02_c04: 0.7454755893413676
v_IceDancing_g02_c05: 0.651142581642489
v_IceDancing_g02_c06: 0.7829108958103461
v_IceDancing_g02_c07: 0.6832055491831852
v_IceDancing_g03_c01: 0.6637056670588208
v_IceDancing_g03_c02: 0.8106690615386469
v_IceDancing_g03_c03: 0.769210143989767
v_IceDancing_g03_c04: 0.7338246955041541
v_IceDancing_g03_c05: 0.8392047137458576
v_IceDancing_g03_c06: 0.7535797986638499
v_IceDancing_g04_c01: 0.6096736218751175
v_IceDancing_g04_c02: 0.7078619159728987
v_IceDancing_g04_c03: 0.6223872413829667
v_IceDancing_g04_c04: 0.6120875517808599
v_IceDancing_g04_c05: 0.045922606077510864
v_IceDancing_g04_c06: 0.6933482145395828
v_IceDancing_g04_c07: 0.6069117931619985
v_IceDancing_g05_c01: 0.7601635244645877
v_IceDancing_g05_c02: 0.6518122165434761
v_IceDancing_g05_c03: 0.6976907398056937
v_IceDancing_g05_c04: 0.7428609503404004
v_IceDancing_g05_c05: 0.7317864108335925
v_IceDancing_g05_c06: 0.7704025223356439
v_IceDancing_g06_c01: 0.7575014955800725
v_IceDancing_g06_c02: 0.7456067922030343
v_IceDancing_g06_c03: 0.7901194456935627
v_IceDancing_g06_c04: 0.7571903244097484
v_IceDancing_g06_c05: 0.7270516297285212
v_IceDancing_g06_c06: 0.6498193606239511
v_IceDancing_g07_c01: 0.742733229228179
v_IceDancing_g07_c02: 0.7133769325882895
v_IceDancing_g07_c03: 0.7392885822773678
v_IceDancing_g07_c04: 0.7744908086460782
v_IceDancing_g07_c05: 0.7887662805587752
v_IceDancing_g07_c06: 0.7225712552171899
v_IceDancing_g07_c07: 0.7306084225856466
v_LongJump_g01_c01: 0.7936983527488337
v_LongJump_g01_c02: 0.8077376237943099
v_LongJump_g01_c03: 0.8761761581863539
v_LongJump_g01_c04: 0.822943591965668
v_LongJump_g01_c05: 0.8339094896673487
v_LongJump_g01_c06: 0.8155223666562961
