Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_grad_cam_full_layer3_test.pt
21859: 0.032681586177204736
124127: 0.03625429115345469
104101: 0.011885364729096182
69096: 0.45627645344939083
23209: 0.7883705810818356
175751: 0.3926738577647484
67666: 0.6951081284350948
34480: 0.0034435440429660957
18022: 0.4101690612878883
34190: 0.363045222547953
197983: 0.6194381568420795
83014: 0.006023662175721256
217361: 0.4278895491952426
63033: 0.07388155449734768
217275: 0.005508397225639783
94488: 0.3789488441616413
138482: 0.025497133454337018
151981: 0.015675893617299153
50271: 0.21722217395517873
154023: 0.24294220734736882
15156: 0.13258832054270897
4441: 0.003929982518457109
62548: 0.10794486720988061
11164: 0.8980199804864242
107584: 0.5187351760687307
71742: 0.03902614227990853
442: 0.5821884699435032
182807: 0.6202271142938116
180728: 0.009497475941316225
7168: 0.08104538569023134
121865: 0.43620920678949915
153700: 0.5537079118876136
203910: 0.4440930586642935
93623: 0.0014779994107811945
30725: 0.009869338784483261
18846: 0.38735656286007725
5207: 0.2731043429521378
19993: 0.19716638674435671
83822: 0.6546692241099663
26164: 0.12042367775757157
154372: 0.06078802131378325
56648: 0.05511479741107905
45340: 0.19115179203799926
115880: 0.00478335620573489
145254: 0.29399324041150976
22759: 0.04855040456459392
190342: 0.4316997054993408
85534: 0.19801191993974498
127667: 0.0017338153721198069
195911: 0.08225037962620263
190267: 0.8711824810598046
202258: 0.49127668387518497
76365: 0.05065294904488837
55373: 0.2537513910574489
55733: 0.40553519011155004
37952: 0.5422936371796823
99490: 0.20727487935982936
207898: 0.3974989592170459
189156: 0.1673152174371353
158643: 0.10782086046310724
33400: 0.3055168009304907
110861: 0.722807207799633
168741: 0.4202154040103778
137162: 0.7608050402086519
27026: 0.34247595469787484
126202: 0.0036960373279271153
159740: 0.09161146704173007
190860: 0.016503997467225417
113048: 0.1468424919003155
29155: 0.013116726120642852
196274: 0.17889663658570498
87192: 0.7905005310312845
108021: 0.05956313674687408
