Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_g_full_test.pt
209868: 0.3737389666493982
161387: 0.7705246242549038
15069: 0.024925504159909906
30116: 0.5033041005808627
61086: 0.0009652862427174114
74711: 0.5231721294040881
197927: 0.056975825209519826
82480: 0.3350206890027039
175539: 0.005016194627387449
190654: 0.6152555865191971
46199: 0.9722008816897869
104293: 0.04159540668661066
15037: 0.12492865374224493
40642: 0.2410794637980871
219692: 0.09678652838920243
133571: 0.17908348711353028
72239: 0.012003820114841801
15646: 0.05596741486078827
138354: 0.007981585566085414
183275: 0.14261878145043738
184282: 0.22704802051885054
102318: 0.005869608314242214
44822: 0.8753237884229748
21912: 0.000511458942128229
194603: 0.2525330517109978
113764: 0.04421203881065594
79414: 0.007884958235081285
211101: 0.09522120730434835
156528: 0.0072113158530555665
193535: 0.11533665209572064
13823: 0.32863002705744293
68496: 0.07238304636848625
25701: 0.013139079202687753
80510: 0.00021560380535845525
37956: 0.25990844457555795
192357: 0.588890472521598
32312: 0.06328545291398768
73312: 0.18049096384493168
133366: 0.9649917816277593
94262: 0.056812672621163074
169820: 0.09708250247604155
118021: 0.2249621183036652
82433: 0.0359832478716271
30636: 0.05378795907199674
33816: 0.2270415939638042
14747: 0.001215404918184504
96214: 0.2600977217662148
133202: 0.1780532341053913
172967: 0.004809357285921578
133777: 0.6651858500426897
144230: 0.026623129577274085
219091: 0.030866930774209322
65987: 0.2119170913429116
139431: 0.20503707350690092
105671: 0.2569067062013346
73115: 0.09581477442952746
56568: 0.007312510670089978
154513: 3.592746022190729e-05
22348: 0.0019272092770989957
220644: 0.5536558737876476
14898: 0.8012992654475966
137786: 0.0707007764322043
195811: 0.004131259680434596
77709: 0.010976552090141922
16429: 0.4145221074359142
109224: 0.10161581765351002
153031: 0.04601044280570932
74717: 0.0026439378098075395
46326: 0.36819519717391813
10108: 0.21939569263486192
103665: 0.1894472976327961
113093: 0.8910567255225033
214483: 0.002854323625797406
179463: 0.11428753788641188
115323: 0.7006390071946953
218178: 0.10187133313229424
144486: 0.11949247242955607
114099: 0.8771235996864561
211484: 0.019577087732614018
117770: 0.32249315227454645
219866: 0.024827270746754948
136583: 0.058610426616724
91152: 0.08780271564683062
72127: 0.9462309867376462
87330: 0.009894069313304499
163401: 0.30167574661209073
129246: 0.41861672046070453
70330: 0.4151823195643374
99362: 0.25409414680871123
201763: 0.06967298467134242
180544: 0.22205603351051195
174303: 0.9356748110621993
23234: 0.2910861070122337
154348: 0.017909840891661588
169687: 0.01462129889478092
21859: 0.032909964666032465
124127: 0.024022570014494704
104101: 0.0005258399032754824
69096: 0.20400477868679445
23209: 0.7541741393979464
175751: 0.5108306289039319
67666: 0.3855646581396286
34480: 0.0028177248168503866
18022: 0.572039167258481
34190: 0.768992321100086
197983: 0.3380489611881785
83014: 0.050548776873995394
217361: 0.6907646390463924
63033: 0.08163321893152897
217275: 0.0012599809651874239
94488: 0.38297563971718773
138482: 0.5785173569474864
151981: 0.03649519273494661
50271: 0.3728491904112161
154023: 0.18151893562753685
15156: 0.008585950585256796
4441: 0.008293854184216798
62548: 0.029848594858776778
11164: 0.7518603396674735
107584: 0.014898044697474688
71742: 0.05688564006413799
442: 0.38931749462062726
182807: 0.05861469757655868
180728: 0.006130512458184967
7168: 0.010552659776294604
121865: 0.03497395151134697
153700: 0.3372634947154438
203910: 0.013876991713914322
93623: 0.007614372447278583
30725: 0.12432692955553648
18846: 0.009635785118007334
5207: 0.046344648144440725
19993: 0.16036389296641573
83822: 0.06742596609910834
26164: 0.20642200897964358
154372: 0.03733041168197815
56648: 0.0022506915156554896
45340: 0.27645256303367205
115880: 0.230923897572211
145254: 0.3534939594574098
22759: 0.04768982959285495
190342: 0.39992300630547106
