Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_perturb_full_test_summed.pt
119055: 0.16743353279427753
44412: 0.478568910618991
202336: 2.297029525132055e-05
48861: 0.0019005942036072199
169306: 0.0026029167235220307
64726: 0.38652221450484525
165103: 0.853484038727105
65914: 0.01731651490779207
86235: 0.006174848181935033
114147: 0.0015636088291306471
184963: 0.00015347578790041554
81572: 0.8998000716468769
98700: 0.4789789025615452
26724: 0.0017607563292632022
2137: 0.009060529913369031
35908: 0.47356040640806896
45726: 0.027725615213896493
151326: 0.32187299081124365
67800: 0.305693864560169
113305: 0.5204876311067821
15941: 0.3715541399994198
115924: 0.17821181727941315
3003: 0.06671936861978456
131120: 0.0004218395471929648
139497: 0.3001466695277486
167308: 0.5346561519809935
210275: 0.9128959104520462
20943: 0.08647799669511791
135982: 0.3010396313761703
11360: 0.38481332659608736
216434: 0.46632481565711714
57704: 0.0018968462635169936
98035: 0.0011710493826488921
149505: 0.0009982284999954238
112080: 0.4318590698708178
75918: 0.28371054346933566
156566: 0.011867392582468383
208322: 0.1968807245186529
157810: 0.6210807891470722
198617: 0.25671895910803
109239: 0.010338739600978974
135785: 0.40909894899907073
387: 0.22113339173983348
205794: 0.2016857053805765
114030: 0.14360416805157605
36585: 0.18414048152044415
198804: 0.22092335410303487
161450: 0.5843420234423998
4270: 0.3201021663550705
54595: 0.2581973764537393
87900: 0.03957625724171976
213902: 0.0011897035318533533
208891: 0.20175211520984535
214847: 0.7122697599852248
126013: 0.22977653922862373
19766: 0.0001962792459583168
211776: 0.062305382867765324
215515: 0.6213144711197618
136901: 0.13347382118425152
131012: 0.05888414058225777
21979: 0.00019479422061855454
43636: 0.016840960294468132
168639: 0.014878527650181717
147947: 0.0015037858538242688
64823: 0.5392389255564041
102853: 0.0068550719964051154
64910: 0.3947808614316273
71433: 0.0873018213470228
84145: 0.12621132909751318
174205: 0.587817372651898
122269: 0.009667355305778641
181337: 0.0026140535547197197
122018: 0.4634803848571392
130900: 0.20903137315073972
174056: 0.06642506401430381
14314: 0.6317420945558059
161938: 0.05555515642997655
157723: 0.026832292785719858
79521: 0.5426571465936831
76782: 0.0006985528811331854
28803: 0.0014981764382594465
107092: 1.9125168364553247e-05
115694: 0.6014694487382144
102120: 0.11280556076066972
9668: 0.000474918419531678
28005: 0.15485230009653606
2970: 0.0002929168255162429
206935: 0.003139103225009876
69952: 0.40305226598303
160396: 0.21664449255354157
80240: 0.0006575419662770976
9254: 0.014111406835381007
156862: 5.72637798744724e-05
126799: 0.0029157362097724793
98251: 0.4818341581990353
90413: 0.0566523023404093
127410: 0.006533294222410654
32472: 0.02212495126311609
93316: 0.045906636473584506
31139: 0.5213863029288578
34688: 0.11225826522766433
182466: 0.40925135179310157
206480: 0.0006218460887087301
109488: 8.149721895645001e-05
206039: 0.2853983326484755
