Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r50l_g_full_test.pt
8318: 0.003392693439444372
31255: 0.6501055953229108
78843: 0.33713878553041954
205927: 0.4467130763910623
180173: 0.3349111152501567
156041: 0.7099556931202642
110857: 5.474932911827754e-05
219973: 0.0052629146861020715
5903: 0.030235019825139847
189608: 0.2434380719252861
92150: 0.06068352373669983
39793: 0.0168053515162363
172789: 0.29698358566117766
89166: 0.3040000278410844
114672: 0.34809745993272945
26625: 0.0027597182521819576
102091: 0.29359467555345287
103776: 0.35624102259064083
134471: 0.6118116079737774
110477: 0.0025536068995518635
151631: 0.00021544810839202455
127957: 0.18502791961099518
190947: 0.6879236587932783
148396: 0.11204917549546309
26002: 0.5120980736935773
198536: 0.002786451821511271
53648: 0.001368137608932618
184038: 5.467945906945104e-05
173361: 0.0008496788245722087
63680: 0.019894281507411904
32897: 0.17071812574229547
22286: 0.0019829708823664305
91162: 1.7862350906172608e-06
70771: 0.023281074483040606
191175: 1.3592397536399403e-06
54357: 0.6784064606255411
101585: 0.6023369071915923
202198: 0.24290927541329577
48204: 0.018469475503895938
135321: 0.16807163776950107
25192: 0.002017562618533475
178515: 0.00018068660973116768
132074: 0.9892530560027808
76426: 0.014154866566356117
136491: 0.4834344181290362
170213: 0.055037088259439315
166599: 0.028811291612624967
127611: 0.006892051970226021
206857: 0.9927817541174591
192169: 0.1499644124085345
200689: 0.007411589742972069
152453: 0.003331312291212668
100646: 0.6541574480155933
63548: 2.6172311928224223e-05
119171: 0.0008318895448415908
101335: 0.24395167940727255
101885: 0.07703614838265516
123574: 0.00023669962199932004
120180: 0.11112803468690657
54100: 0.001535309579157984
109978: 2.5053237678288514e-05
17491: 0.628724992475126
113132: 0.002913738229658236
46296: 0.16129712644773786
26004: 0.33845129924839057
161551: 1.8747832246646112e-06
92938: 0.013418501023028107
64934: 0.11678584689559915
21639: 0.36711684840683034
78475: 0.20046910128411355
108951: 0.027521058864522274
119055: 0.29899791153268085
44412: 0.8392662098610106
202336: 9.895912373644733e-06
48861: 0.0018690412276098911
169306: 0.004546633502873265
64726: 0.3125031698671652
165103: 0.654490057842553
65914: 0.07487688986809538
86235: 0.019851872464450082
114147: 0.009257860198815582
184963: 0.00011511861282869178
81572: 0.6487207507392841
98700: 0.36252749012219887
26724: 4.010612765803501e-05
2137: 0.013027110058430047
35908: 0.3774573342416261
45726: 0.030757193128849725
151326: 0.43946616002358496
67800: 0.40035787198547723
113305: 0.5972528107408763
15941: 0.13876134529498252
115924: 0.07469204975660126
3003: 0.1559800212811081
131120: 5.339755370589727e-05
139497: 0.6157196167914663
167308: 0.3102210907646391
210275: 0.8223887011510513
20943: 0.29331825851209636
135982: 0.42425930024137415
11360: 0.13579856157190218
216434: 0.5472140406632207
57704: 0.01024036346174434
98035: 0.0003681927745877722
149505: 0.0011416513615789547
112080: 0.3877602456081988
75918: 0.4139022868432065
156566: 0.01969367149995982
208322: 0.3601352537564001
157810: 0.681178721962624
198617: 0.10456414093080679
109239: 0.0019125635661335627
135785: 0.3432374854523178
387: 0.3198295937795521
205794: 0.04993302484049167
114030: 0.05732289453754369
36585: 0.32981690065935254
198804: 0.23974788673109426
161450: 0.46774982483209404
4270: 0.0649391151670784
54595: 0.29047370883212675
87900: 0.000947283942082322
213902: 0.0021652124731908196
208891: 0.06812482716634635
214847: 0.3677199550593062
126013: 0.560447506926721
19766: 0.0009625694230838006
211776: 0.23096341588110914
215515: 0.857959394806743
136901: 0.049948413124892926
131012: 0.053482592584067845
21979: 0.0007375980918310817
43636: 0.008235726900858609
168639: 0.018666556493882602
147947: 0.0010695454111235847
64823: 0.34392910776541896
102853: 0.00039891998429908426
64910: 0.3764392605366993
71433: 0.024254101227665692
84145: 0.14524467169738195
