Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_test_summed.pt
166887: 0.4084233213816333
152367: 0.9646565213806753
163353: 0.2105884302764025
207003: 0.5424908618297195
5690: 0.8272298040556052
27809: 0.3459519969619578
6010: 0.114568412056542
108987: 0.5517298636696069
135839: 0.800836196205637
8318: 0.08362105292326305
31255: 0.7333734828371234
78843: 0.35683581673220033
205927: 0.7144957193377195
180173: 0.020909187362121884
156041: 0.8391946926021774
110857: 0.012331597522546645
219973: 0.004544124982203357
5903: 0.2212637126303889
189608: 0.3780359224365384
92150: 0.3411818133427005
39793: 0.14326139076729305
172789: 0.25122519740398275
89166: 0.8811860331807111
114672: 0.4099934253790707
26625: 0.03137629678531084
102091: 0.40015093468900886
103776: 0.10460296519522672
134471: 0.8452930939856742
110477: 0.12392626436849241
151631: 0.0787181652704021
127957: 0.5130641767045745
190947: 0.3202553295195685
148396: 0.21065612903475994
26002: 0.618860327764196
198536: 0.7743271618837753
53648: 0.07446945316769416
184038: 0.013930512734077638
173361: 0.3821957120544539
63680: 0.23135771312809084
32897: 0.015217006797684007
22286: 0.20578961580758914
91162: 0.02877031994285062
70771: 0.2473346780934662
191175: 0.11754139016557019
54357: 0.3356836561470118
101585: 0.40948149813084456
202198: 0.3455078941042302
48204: 0.026191375942289596
135321: 0.21700088127909112
25192: 0.0005771509941041586
178515: 0.4497736611356231
132074: 0.8705785998608917
76426: 0.14269887762566213
136491: 0.22637431931798346
170213: 0.0014743422493479486
166599: 0.16798476818439667
127611: 0.7244118373964739
206857: 0.9367383364588022
192169: 0.33821120405082183
200689: 0.033155037730466574
152453: 0.0015217566815408645
100646: 0.679573511100898
63548: 0.011714748115991824
119171: 0.1821643382536422
101335: 0.07945287473012286
101885: 0.4459657223778777
123574: 0.02526861031219596
120180: 0.3564037586475024
54100: 0.2074626712492318
109978: 0.02867533690368873
17491: 0.27922425804172235
113132: 0.004911340496619232
46296: 0.011021486472600373
26004: 0.6402522412136022
161551: 0.03842715784048778
92938: 0.005251213750739225
64934: 0.19835139267343038
21639: 0.30960173876701447
78475: 0.0011152169608976692
108951: 0.12828768392500933
119055: 0.0030184736933733802
44412: 0.1747287854559545
202336: 0.2438690528688312
48861: 0.0028846862433624665
169306: 0.29309073833428556
64726: 0.14853564271470532
165103: 0.041352675110829296
65914: 0.08654302790455404
86235: 0.0202679455221233
114147: 0.2272798156591307
184963: 0.06861586616832938
81572: 0.6655308025437989
98700: 0.5378335669520311
26724: 0.005611975020087812
2137: 0.06408574168744963
35908: 0.07145084128023882
45726: 0.1847496887894522
151326: 0.26158334116917104
67800: 0.4878042234922759
113305: 0.646044189505119
15941: 0.8417517748202954
115924: 0.2003882496501319
3003: 0.0016620945862086955
131120: 0.003417695341340732
139497: 0.2789043071970809
167308: 0.06889693224366056
210275: 0.41102265479457856
20943: 0.29304684925591573
135982: 0.9530630549888883
11360: 0.6198343266005395
216434: 0.9244810868294735
57704: 0.21664636894274736
98035: 0.0007904320254965569
149505: 0.0968214872518729
112080: 0.6267215010466316
75918: 0.3562967196357931
156566: 0.46160959446569905
208322: 0.06455982326951926
157810: 0.8046832308646117
198617: 0.6079276528653281
109239: 0.11807613200653577
135785: 0.6717379119727411
387: 0.5959157104825863
205794: 0.49553269626630936
114030: 0.4615856592427008
36585: 0.3100709777791053
198804: 0.8687021082005231
161450: 0.35769030446681427
4270: 0.09151360596297309
54595: 0.21325991394769517
87900: 0.03332836431218311
213902: 0.17443228307638492
208891: 0.011544881921508932
214847: 0.5434430262321257
126013: 0.46850521373562515
19766: 0.00014183921473431838
211776: 0.09042352204050985
215515: 0.21560033625064534
136901: 0.23399738979969698
131012: 0.052866042309688055
21979: 0.0015905892575460712
43636: 0.21713480836478993
168639: 0.367172705984558
147947: 0.008114434109302238
64823: 0.04449923610081896
102853: 0.032134504241184914
64910: 0.7774959467824374
71433: 0.10745324585150229
84145: 0.7207344641301461
174205: 0.9288251088473771
122269: 0.05705772797955433
181337: 0.010638014671712881
122018: 0.3774274473908008
130900: 0.4457073040721298
174056: 0.771798421325002
14314: 0.2888904321480368
161938: 0.047895187675749185
157723: 0.0029874812553316588
79521: 0.8856324062689964
76782: 0.0162000754608016
28803: 0.011096882768470095
107092: 0.07603943479443842
115694: 0.48899568169144914
102120: 0.21927767260058317
9668: 0.620473410039267
28005: 0.14263632244546898
2970: 0.0064006779648480006
206935: 0.0020183206515866914
69952: 0.5482289729989134
160396: 0.5240708861820167
80240: 0.03308226105218637
9254: 0.5292994125138648
156862: 0.04301797021253151
126799: 0.005571837955358205
98251: 0.7775592821890314
90413: 0.1626401480025379
127410: 0.11291172252458637
32472: 0.1418152527330676
93316: 0.005225930352025898
31139: 0.63676618863974
