Loaded /home/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core11_test_summed.pt
140315: 0.0016752866549722967
59338: 0.6597289402943716
133223: 0.9513010376431339
56496: 0.005777291020422126
96898: 0.543193585719564
28353: 0.009856017258698557
180944: 0.9186965042754309
169346: 0.553207037053653
94171: 0.5651461174220458
5182: 0.13742684038879815
108781: 0.4575178979575867
14195: 0.008341418641066412
12301: 0.17669445628598623
170558: 0.35168704042735044
211881: 0.0003863809224249337
173351: 0.012359667918644845
204955: 0.6577312757290201
136827: 0.9766612490202533
149435: 0.299969105184573
204551: 0.7491295535728568
124256: 0.4210772018413991
175926: 0.09217111739053507
159992: 0.7815883734292584
181866: 0.028646867005591048
70598: 0.14912019578696345
193751: 0.12037114309850949
29861: 0.47169945862333407
165093: 0.6159703733428614
80488: 0.19092414663464297
129064: 0.13897556541996892
131621: 0.08964825142902555
80963: 0.3901187312167167
4946: 0.0401975816457707
121692: 0.52749038489128
68397: 0.10569848434533924
215794: 0.0033636239531915635
157845: 0.752650424852618
78066: 0.04896211510822468
25058: 0.007559112273156643
104855: 0.020996641631427337
91758: 0.543960265131318
68421: 0.001264291480765678
28718: 0.025056645623408258
153776: 0.140226829884341
48203: 0.29710899573547067
151323: 0.09848522988613695
217892: 0.3019715252012247
85124: 0.014078836771659553
164504: 0.037637960638676304
166476: 0.43120900631947734
214308: 0.1562268017733004
210400: 0.977493762227823
186388: 0.22908137073318358
157520: 0.19018259916447278
171871: 0.15035234797323938
95730: 0.006537177017889917
86955: 0.45731351892209204
59218: 0.080407516885316
210183: 0.5616484426573152
47297: 0.005600284355750773
120787: 0.9102811750053661
144261: 0.16497311202874698
209867: 0.06210858721351542
214697: 0.6291016435225174
72734: 0.029969413073558826
62430: 0.22947802506132575
180698: 0.6355612945717439
4026: 0.059790803235955536
36868: 0.30481625825632364
64099: 0.17031313988445618
192232: 0.013553109390386453
114795: 0.11612798005808145
39505: 0.04882563336286694
149797: 0.25699490957958915
116747: 0.07396566317765974
48465: 0.46415298712963704
45429: 0.7661623348922149
145090: 0.4076659265119815
183973: 0.0004919711409456795
42367: 0.0005582156268246763
69126: 0.11275158554781228
75125: 0.5376002588454867
52775: 0.31310874474911543
205873: 0.11734375381638529
115644: 0.015693002729676664
190527: 0.006463650863224757
56553: 0.03334450833244773
168990: 0.0038709989539711387
62225: 0.20233973136237182
153507: 0.14456534382952668
186952: 0.8792674501401052
184917: 0.5091015414309368
134946: 0.10419774562797102
141757: 0.47376795876516553
170749: 0.0019675420180309544
96676: 0.13001627731864573
127755: 0.6003002107117936
194192: 0.5062234319716481
205758: 0.004043914896101342
44551: 0.5072848980285016
90056: 0.6065801882155029
155132: 0.141125796866163
55232: 0.026170217424805742
164740: 0.12313590864459911
62941: 0.004370598637251533
37797: 0.45444664773231125
167549: 0.0020530227266135626
Finished: cm_16, ins, most_first, sthsthv2, r2p1d, perturb, #Step=128
Average: 0.30356271587857225
