Loaded /home/acb11711tx/lzq/ExpEval/exe_res/sthsthv2_r2p1d_perturb_full_core5_test_summed.pt
Use 4 GPUs!
('139242', '208136', '77933', '60678', '125118', '133738', '104179', '141930', '58849', '9116', '18518', '208019', '59701', '160867', '120824', '19680', '206826', '79321', '89328', '117570', '170391', '70174', '182726', '215032', '52914', '130003', '62316', '118582', '75836', '31938', '13332', '25472', '87638', '148093', '201342', '113500', '121337', '199113', '67174', '63822', '88299', '47054', '113521', '61572', '49072', '185945', '186837', '12229') tensor([19, 18, 24,  7, 11,  7,  7, 22, 14, 20,  2,  7, 22, 23, 20, 16,  7,  8,
        19, 23,  2, 16, 24, 14,  6, 20,  6, 12, 20, 22]) ('Taking one of many similar things on the table', 'Something falling like a rock', 'Showing something to the camera', 'Tearing something just a little bit', 'Putting something into something', 'Moving something up', 'Moving something down', 'Tearing something into two pieces', 'Stuffing something into something', 'Putting something into something', 'Pouring something into something', 'Putting something into something', 'Showing that something is empty', 'Plugging something into something', 'Taking one of many similar things on the table', 'Lifting something with something on it', 'Covering something with something', 'Turning something upside down', 'Stuffing something into something', 'Tearing something just a little bit', 'Uncovering something', 'Stuffing something into something', 'Tearing something into two pieces', 'Showing something to the camera', 'Pushing something so that it falls off the table', 'Putting something on a surface', 'Opening something', 'Putting something similar to other things that are already on the table', 'Opening something', 'Pushing something so that it slightly moves', 'Uncovering something', 'Showing that something is empty', 'Plugging something into something', 'Plugging something into something', 'Putting something on a surface', 'Putting something similar to other things that are already on the table', 'Pushing something so that it falls off the table', 'Showing something to the camera', 'Covering something with something', 'Putting something similar to other things that are already on the table', 'Lifting something with something on it', 'Putting something on a surface', 'Taking one of many similar things on the table', 'Showing that something is empty', 'Taking one of many similar things on the table', 'Moving something down', 'Showing that something is empty', 'Moving something and something closer to each other')
202581: 0.005469803206324286
33079: 0.046777301031397656
162835: 0.011545071021828335
45213: 0.003164704168739263
893: 0.023376683027890977
101217: 0.023502298892708495
68709: 0.07026930779647955
160220: 0.7668526162815397
193490: 0.011436416105652825
206028: 0.010882392372877803
171527: 0.8470196076887078
95431: 0.007606885126733687
95949: 0.7281645484617911
220461: 0.24952917203336256
200057: 0.03708999262744328
97085: 0.34597185580059886
47610: 0.035780068013991695
181793: 0.2229371430221363
123709: 0.2748001640716211
73565: 0.0016653637940180488
151270: 0.05378254897368606
129592: 0.11484446877875598
128494: 0.9116928383664344
145958: 0.004263688868377358
164659: 0.027438190102657245
198342: 0.025242496605642373
24023: 0.0033353055459883763
5532: 0.9073027795966482
191418: 0.03446621651346504
207874: 0.009775147147593088
190482: 0.33470169104111847
47613: 0.0015647084801457822
142506: 0.006048210430890322
111318: 0.2952653298343648
114264: 0.012315642703470076
192597: 0.2670336210139794
78062: 0.05397731948232831
132708: 0.011516651138663292
112723: 0.09134760312008439
206077: 0.362351060131914
214021: 0.11583001015242189
