Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core14_summed.pt
v_CricketBowling_g01_c07: 0.9556636331253685
v_CricketBowling_g02_c01: 0.5110471968655474
v_CricketBowling_g02_c02: 0.6185572147951461
v_CricketBowling_g02_c03: 0.8205555445165373
v_CricketBowling_g02_c04: 0.6202948103309609
v_CricketBowling_g02_c05: 0.853983536188025
v_CricketBowling_g02_c06: 0.7689293062430806
v_CricketBowling_g02_c07: 0.7089636459131725
v_CricketBowling_g03_c01: 0.13290056360710878
v_CricketBowling_g03_c02: 0.20592493331059813
v_CricketBowling_g03_c03: 0.3672265039058402
v_CricketBowling_g03_c04: 0.3099883990944363
v_CricketBowling_g04_c01: 0.7698827181593515
v_CricketBowling_g04_c02: 0.4087928241933696
v_CricketBowling_g04_c03: 0.5449405608815141
v_CricketBowling_g04_c04: 0.5109792769071646
v_CricketBowling_g04_c05: 0.46225425106240436
v_CricketBowling_g05_c01: 0.94897903787205
v_CricketBowling_g05_c02: 0.9663002840825357
v_CricketBowling_g05_c03: 0.9712649104767479
v_CricketBowling_g05_c04: 0.9749883944750763
v_CricketBowling_g06_c01: 0.7893632909399457
v_CricketBowling_g06_c02: 0.9089727174141444
v_CricketBowling_g06_c03: 0.8549081355449744
v_CricketBowling_g06_c04: 0.7565815086127259
v_CricketBowling_g06_c05: 0.9236904751160182
v_CricketBowling_g07_c01: 0.9469759958446957
v_CricketBowling_g07_c02: 0.922625599487219
v_CricketBowling_g07_c03: 0.8217901033931412
v_CricketBowling_g07_c04: 0.4200920131406747
v_Diving_g01_c01: 0.9703018135915045
v_Diving_g01_c02: 0.9046188720094506
v_Diving_g01_c03: 0.8954662311880384
v_Diving_g01_c04: 0.947469348233426
v_Diving_g01_c05: 0.9088899680937175
v_Diving_g01_c06: 0.9435255736170802
v_Diving_g01_c07: 0.9053498931752983
v_Diving_g02_c01: 0.7693113739660475
v_Diving_g02_c02: 0.8165624634420965
v_Diving_g02_c03: 0.7639731004892383
v_Diving_g02_c04: 0.8160564011486713
v_Diving_g02_c05: 0.8383134653849993
v_Diving_g02_c06: 0.8225096919632051
v_Diving_g02_c07: 0.8607400689797942
v_Diving_g03_c01: 0.8782562854757998
v_Diving_g03_c02: 0.8153953351138625
v_Diving_g03_c03: 0.9292701786907855
v_Diving_g03_c04: 0.8265694807341788
v_Diving_g03_c05: 0.8306579570344184
v_Diving_g03_c06: 0.9010710508155171
v_Diving_g03_c07: 0.8535000096599106
v_Diving_g04_c01: 0.9168778936436865
v_Diving_g04_c02: 0.8562081124691758
v_Diving_g04_c03: 0.9684851338679437
v_Diving_g04_c04: 0.883968915703008
v_Diving_g04_c05: 0.9321656531246845
v_Diving_g04_c06: 0.9052306410449091
v_Diving_g04_c07: 0.9220549493620638
v_Diving_g05_c01: 0.8588618723733816
v_Diving_g05_c02: 0.8665199453535024
v_Diving_g05_c03: 0.8372216065472458
v_Diving_g05_c04: 0.7856895308068488
v_Diving_g05_c05: 0.7946446853748057
v_Diving_g05_c06: 0.8588652249018196
v_Diving_g06_c01: 0.7825054716377053
v_Diving_g06_c02: 0.7802125349699054
v_Diving_g06_c03: 0.8761115816014353
v_Diving_g06_c04: 0.8531952296907548
v_Diving_g06_c05: 0.8341691630485002
v_Diving_g06_c06: 0.8340910525585059
v_Diving_g06_c07: 0.7861431750061456
v_Diving_g07_c01: 0.8924931852670852
v_Diving_g07_c02: 0.917647745605791
v_Diving_g07_c03: 0.8625800834561232
v_Diving_g07_c04: 0.8887786941195372
v_Fencing_g01_c01: 0.7707410776929464
v_Fencing_g01_c02: 0.7984311150794383
v_Fencing_g01_c03: 0.7813216292706784
v_Fencing_g01_c04: 0.7963462568295654
v_Fencing_g01_c05: 0.8051626983506139
v_Fencing_g01_c06: 0.8240844335814472
v_Fencing_g02_c01: 0.8939418509544339
v_Fencing_g02_c02: 0.7346785001864191
v_Fencing_g02_c03: 0.8792201402538922
v_Fencing_g02_c04: 0.8736168382165488
v_Fencing_g02_c05: 0.7998959066753741
v_Fencing_g03_c01: 0.7724099842307623
v_Fencing_g03_c02: 0.3771351655886974
v_Fencing_g03_c03: 0.8082020735309925
v_Fencing_g03_c04: 0.7895528200024273
v_Fencing_g03_c05: 0.7025002214068081
v_Fencing_g04_c01: 0.44602644848055206
v_Fencing_g04_c02: 0.7394623775908258
v_Fencing_g04_c03: 0.6913304725603666
v_Fencing_g04_c04: 0.7122070643526968
v_Fencing_g04_c05: 0.5901484606729355
v_Fencing_g05_c01: 0.8765145308279898
v_Fencing_g05_c02: 0.8844421017856803
v_Fencing_g05_c03: 0.8792561721929815
v_Fencing_g05_c04: 0.8662896548339631
v_Fencing_g05_c05: 0.8641946107090916
