Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_sg2_full.pt
v_FloorGymnastics_g04_c02: 0.06875971428257978
v_FloorGymnastics_g04_c03: 0.035466668636017426
v_FloorGymnastics_g04_c04: 0.058482323802538275
v_FloorGymnastics_g04_c05: 0.07858051675716489
v_FloorGymnastics_g05_c01: 0.15208129314192403
v_FloorGymnastics_g05_c02: 0.12528362963348627
v_FloorGymnastics_g05_c03: 0.20432655101891342
v_FloorGymnastics_g05_c04: 0.16238913948347014
v_FloorGymnastics_g06_c01: 0.03396979841865658
v_FloorGymnastics_g06_c02: 0.03945594297824648
v_FloorGymnastics_g06_c03: 0.023781191520979555
v_FloorGymnastics_g06_c04: 0.05353090166312268
v_FloorGymnastics_g06_c05: 0.049861938399299394
v_FloorGymnastics_g06_c06: 0.05802088670109905
v_FloorGymnastics_g06_c07: 0.05415450422987929
v_FloorGymnastics_g07_c01: 0.05592180224590179
v_FloorGymnastics_g07_c02: 0.03450164338940476
v_FloorGymnastics_g07_c03: 0.0890625841900941
v_FloorGymnastics_g07_c04: 0.03075521573512338
v_FloorGymnastics_g07_c05: 0.06449226201255256
v_FloorGymnastics_g07_c06: 0.05064386668373046
v_FloorGymnastics_g07_c07: 0.04655685644655481
v_GolfSwing_g01_c01: 0.12312177427875715
v_GolfSwing_g01_c02: 0.09849379399395365
v_GolfSwing_g01_c03: 0.09503856084243519
v_GolfSwing_g01_c04: 0.10183807755783787
v_GolfSwing_g01_c05: 0.11725246759615546
v_GolfSwing_g01_c06: 0.07908699755358883
v_GolfSwing_g02_c01: 0.10759762346040545
v_GolfSwing_g02_c02: 0.06607306748628616
v_GolfSwing_g02_c03: 0.04920183362688605
v_GolfSwing_g02_c04: 0.053493130805454855
v_GolfSwing_g03_c01: 0.1426530686302448
v_GolfSwing_g03_c02: 0.11625142330963781
v_GolfSwing_g03_c03: 0.09940241142286091
v_GolfSwing_g03_c04: 0.0887604986471454
v_GolfSwing_g03_c05: 0.10290852511726965
v_GolfSwing_g03_c06: 0.091894709629806
v_GolfSwing_g03_c07: 0.10689159916845832
v_GolfSwing_g04_c01: 0.0728577987298252
v_GolfSwing_g04_c02: 0.08436933693688685
v_GolfSwing_g04_c03: 0.16469764703606057
v_GolfSwing_g04_c04: 0.11342535379130071
v_GolfSwing_g04_c05: 0.11050807273998035
v_GolfSwing_g04_c06: 0.11968958418904327
v_GolfSwing_g05_c01: 0.025036153772215203
v_GolfSwing_g05_c02: 0.07419974568087286
v_GolfSwing_g05_c03: 0.048868055360054403
v_GolfSwing_g05_c04: 0.03696724438057171
v_GolfSwing_g05_c05: 0.03570090592142165
v_GolfSwing_g05_c06: 0.03156301232538824
v_GolfSwing_g05_c07: 0.027732039413114234
v_GolfSwing_g06_c01: 0.030623508015955526
v_GolfSwing_g06_c02: 0.040710629382002074
v_GolfSwing_g06_c03: 0.08008466314847075
v_GolfSwing_g06_c04: 0.061658182658079104
v_GolfSwing_g07_c01: 0.060748864522599796
v_GolfSwing_g07_c02: 0.07110166825412766
v_GolfSwing_g07_c03: 0.04543533117517712
v_GolfSwing_g07_c04: 0.024561237807818284
v_GolfSwing_g07_c05: 0.021173923855691446
v_HorseRiding_g01_c01: 0.08761222271879357
v_HorseRiding_g01_c02: 0.08459869940860534
v_HorseRiding_g01_c03: 0.1683849509160115
v_HorseRiding_g01_c04: 0.08969692286015965
v_HorseRiding_g01_c05: 0.17327229595031796
v_HorseRiding_g01_c06: 0.07815737844862806
v_HorseRiding_g01_c07: 0.1278977213266093
v_HorseRiding_g02_c01: 0.24613841639201003
v_HorseRiding_g02_c02: 0.2275006953978867
v_HorseRiding_g02_c03: 0.16911623678280144
v_HorseRiding_g02_c04: 0.12538723188533088
v_HorseRiding_g02_c05: 0.18965836137709186
v_HorseRiding_g02_c06: 0.17699131555855274
v_HorseRiding_g02_c07: 0.18910341256657454
v_HorseRiding_g03_c01: 0.09274598133317598
v_HorseRiding_g03_c02: 0.0633555967360735
v_HorseRiding_g03_c03: 0.0895914041004547
v_HorseRiding_g03_c04: 0.07002930306484849
v_HorseRiding_g03_c05: 0.05541279628931537
v_HorseRiding_g03_c06: 0.07416552866948402
