Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core8_summed.pt
v_BasketballDunk_g04_c01: 0.9141362210066291
v_BasketballDunk_g04_c02: 0.9197968689986737
v_BasketballDunk_g04_c03: 0.9175030568876537
v_BasketballDunk_g04_c04: 0.9195348555949749
v_BasketballDunk_g05_c01: 0.9362878178508254
v_BasketballDunk_g05_c02: 0.8812827270739945
v_BasketballDunk_g05_c03: 0.8658640345820459
v_BasketballDunk_g05_c04: 0.9252679523342522
v_BasketballDunk_g05_c05: 0.9011845258792164
v_BasketballDunk_g05_c06: 0.9094573648908408
v_BasketballDunk_g06_c01: 0.8951266939548077
v_BasketballDunk_g06_c02: 0.8848547891975613
v_BasketballDunk_g06_c03: 0.9049915637151571
v_BasketballDunk_g06_c04: 0.8904289797210367
v_BasketballDunk_g07_c01: 0.8756084440537961
v_BasketballDunk_g07_c02: 0.9375145326630445
v_BasketballDunk_g07_c03: 0.9507742725108983
v_BasketballDunk_g07_c04: 0.897679577654344
v_BasketballDunk_g07_c05: 0.9193551205826225
v_BasketballDunk_g07_c06: 0.9371665758808376
v_Biking_g01_c01: 0.9257969473983394
v_Biking_g01_c02: 0.9007124858471798
v_Biking_g01_c03: 0.9632658629707294
v_Biking_g01_c04: 0.9851791527617024
v_Biking_g02_c01: 0.8920597922551678
v_Biking_g02_c02: 0.9007989628735231
v_Biking_g02_c03: 0.9123218825116055
v_Biking_g02_c04: 0.9226480184152024
v_Biking_g02_c05: 0.9422247914626496
v_Biking_g02_c06: 0.8269258483342128
v_Biking_g02_c07: 0.8818932002905058
v_Biking_g03_c01: 0.7703299561544554
v_Biking_g03_c02: 0.9582696549623506
v_Biking_g03_c03: 0.955659860468586
v_Biking_g03_c04: 0.8871523779380368
v_Biking_g04_c01: 0.55545774307393
v_Biking_g04_c02: 0.5617655252135592
v_Biking_g04_c03: 0.8233283534209477
v_Biking_g04_c04: 0.47444377951615024
v_Biking_g04_c05: 0.6983191661565797
v_Biking_g05_c01: 0.712359785058652
v_Biking_g05_c02: 0.8859309341787593
v_Biking_g05_c03: 0.9364387946698116
v_Biking_g05_c04: 0.9429192631068872
v_Biking_g05_c05: 0.9330386374640511
v_Biking_g05_c06: 0.9254766692902194
v_Biking_g05_c07: 0.9417417223594384
v_Biking_g06_c01: 0.9197185155499028
v_Biking_g06_c02: 0.932698537086253
v_Biking_g06_c03: 0.8882414970576065
v_Biking_g06_c04: 0.6806108094315277
v_Biking_g06_c05: 0.9051534870668547
v_Biking_g07_c01: 0.827292238784139
v_Biking_g07_c02: 0.8790702730912017
v_Biking_g07_c03: 0.8827412987157004
v_Biking_g07_c04: 0.9204046199592995
v_Biking_g07_c05: 0.7055667605745839
v_Biking_g07_c06: 0.8551728426973568
v_CliffDiving_g01_c01: 0.8887291431019548
v_CliffDiving_g01_c02: 0.9456703303440008
v_CliffDiving_g01_c03: 0.9077404364070389
v_CliffDiving_g01_c04: 0.8416482295433525
v_CliffDiving_g01_c05: 0.9273797000350896
v_CliffDiving_g01_c06: 0.797719733469421
v_CliffDiving_g02_c01: 0.9281303120369557
v_CliffDiving_g02_c02: 0.9208436043991242
v_CliffDiving_g02_c03: 0.8340992095472757
v_CliffDiving_g02_c04: 0.9396841802226845
v_CliffDiving_g03_c01: 0.980980437627295
v_CliffDiving_g03_c02: 0.9829858959710691
v_CliffDiving_g03_c03: 0.9410111493489239
v_CliffDiving_g03_c04: 0.9732533706410322
v_CliffDiving_g03_c05: 0.9847415638214443
v_CliffDiving_g04_c01: 0.9675456524419133
v_CliffDiving_g04_c02: 0.9792010133678559
v_CliffDiving_g04_c03: 0.9851048606506083
v_CliffDiving_g04_c04: 0.939214590616757
v_CliffDiving_g05_c01: 0.514597582310671
v_CliffDiving_g05_c02: 0.9074324431421701
v_CliffDiving_g05_c03: 0.8392966400424484
