Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core5_cylinder_summed.pt
v_CliffDiving_g05_c05: 0.9884518501348794
v_CliffDiving_g05_c06: 0.9661900694482028
v_CliffDiving_g05_c07: 0.9890778809785843
v_CliffDiving_g06_c01: 0.8675105322618037
v_CliffDiving_g06_c02: 0.9944119381252676
v_CliffDiving_g06_c03: 0.9374252143315971
v_CliffDiving_g06_c04: 0.8143358875531703
v_CliffDiving_g06_c05: 0.9629631468560547
v_CliffDiving_g06_c06: 0.7931543518789113
v_CliffDiving_g06_c07: 0.9958691648207605
v_CliffDiving_g07_c01: 0.9964869096875191
v_CliffDiving_g07_c02: 0.9985082861967385
v_CliffDiving_g07_c03: 0.9939431925304234
v_CliffDiving_g07_c04: 0.9993402524851263
v_CliffDiving_g07_c05: 0.887449316913262
v_CliffDiving_g07_c06: 0.9274178273044527
v_CricketBowling_g01_c01: 0.7218381541216576
v_CricketBowling_g01_c02: 0.7315169947588647
v_CricketBowling_g01_c03: 0.7569753306353295
v_CricketBowling_g01_c04: 0.610830761715194
v_CricketBowling_g01_c05: 0.6428292172396386
v_CricketBowling_g01_c06: 0.6550124662363732
v_CricketBowling_g01_c07: 0.7286231296503747
v_CricketBowling_g02_c01: 0.13933860369900408
v_CricketBowling_g02_c02: 0.2639340604556555
v_CricketBowling_g02_c03: 0.29178902110027316
v_CricketBowling_g02_c04: 0.2892759523721242
v_CricketBowling_g02_c05: 0.34016539178731087
v_CricketBowling_g02_c06: 0.3952626392612064
v_CricketBowling_g02_c07: 0.2978350773820484
v_CricketBowling_g03_c01: 0.0034469825550954014
v_CricketBowling_g03_c02: 0.005599368626493018
v_CricketBowling_g03_c03: 0.005387409840411195
v_CricketBowling_g03_c04: 0.00040442925539885266
v_CricketBowling_g04_c01: 0.28603385597409847
v_CricketBowling_g04_c02: 0.3730340439261699
v_CricketBowling_g04_c03: 0.06534497916175219
v_CricketBowling_g04_c04: 0.10017773671518349
v_CricketBowling_g04_c05: 0.002420257030850692
v_CricketBowling_g05_c01: 0.6746899264300072
v_CricketBowling_g05_c02: 0.6066653507197106
v_CricketBowling_g05_c03: 0.6784846561396325
v_CricketBowling_g05_c04: 0.6896483080828393
v_CricketBowling_g06_c01: 0.3277872593508864
v_CricketBowling_g06_c02: 0.24156566638441923
v_CricketBowling_g06_c03: 0.2764270880626345
v_CricketBowling_g06_c04: 0.7459918348951096
v_CricketBowling_g06_c05: 0.2424987248570023
v_CricketBowling_g07_c01: 0.008279141425306946
v_CricketBowling_g07_c02: 0.007133883942630703
v_CricketBowling_g07_c03: 0.8356808803411031
