Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_eb_full.pt
v_CricketBowling_g03_c01: 0.0001600316391599521
v_CricketBowling_g03_c02: 0.0003704244746405294
v_CricketBowling_g03_c03: 0.0019048830901073899
v_CricketBowling_g03_c04: 0.00014103889127348168
v_CricketBowling_g04_c01: 0.0919119587534869
v_CricketBowling_g04_c02: 0.21740956487076524
v_CricketBowling_g04_c03: 0.03972621773312035
v_CricketBowling_g04_c04: 0.044481703777480064
v_CricketBowling_g04_c05: 0.0007036810374092539
v_CricketBowling_g05_c01: 0.6552355664217675
v_CricketBowling_g05_c02: 0.6082836764300072
v_CricketBowling_g05_c03: 0.5725841300928796
v_CricketBowling_g05_c04: 0.6243298428499902
v_CricketBowling_g06_c01: 0.19299485649855974
v_CricketBowling_g06_c02: 0.0645921297738159
v_CricketBowling_g06_c03: 0.07556395743915978
v_CricketBowling_g06_c04: 0.5320586049830371
v_CricketBowling_g06_c05: 0.39740073601308445
v_CricketBowling_g07_c01: 0.011429937932122769
v_CricketBowling_g07_c02: 0.0021147954349789444
v_CricketBowling_g07_c03: 0.7644436738820577
v_CricketBowling_g07_c04: 0.5188319636409933
v_Diving_g01_c01: 0.7557193168196363
v_Diving_g01_c02: 0.6274086960348768
v_Diving_g01_c03: 0.7515725620779676
v_Diving_g01_c04: 0.7632466085943861
v_Diving_g01_c05: 0.7221200593504591
v_Diving_g01_c06: 0.7083568104300184
v_Diving_g01_c07: 0.6761409171614332
v_Diving_g02_c01: 0.7685762771162672
v_Diving_g02_c02: 0.7671514280829115
v_Diving_g02_c03: 0.7823518045935316
v_Diving_g02_c04: 0.7462536223921461
v_Diving_g02_c05: 0.8118469842466993
v_Diving_g02_c06: 0.7603993543181105
v_Diving_g02_c07: 0.8035503753218336
v_Diving_g03_c01: 0.7705873378309889
v_Diving_g03_c02: 0.7351603039297743
v_Diving_g03_c03: 0.7818113692793531
v_Diving_g03_c04: 0.7357867487463636
v_Diving_g03_c05: 0.7781685718092604
v_Diving_g03_c06: 0.7500624784025831
v_Diving_g03_c07: 0.7783720620665235
v_Diving_g04_c01: 0.7301583417448683
v_Diving_g04_c02: 0.6672975548300428
v_Diving_g04_c03: 0.7510707827042324
v_Diving_g04_c04: 0.7050506003889723
v_Diving_g04_c05: 0.7927407176922543
v_Diving_g04_c06: 0.7195261844191236
v_Diving_g04_c07: 0.757966174440412
v_Diving_g05_c01: 0.8103987105879469
v_Diving_g05_c02: 0.8002516158613844
v_Diving_g05_c03: 0.8289872535261793
v_Diving_g05_c04: 0.7939264901671095
v_Diving_g05_c05: 0.8401180633101148
v_Diving_g05_c06: 0.7741646894011183
v_Diving_g06_c01: 0.8255108722242994
v_Diving_g06_c02: 0.8233446606192274
v_Diving_g06_c03: 0.6773037441763563
v_Diving_g06_c04: 0.809236360410182
v_Diving_g06_c05: 0.5676277660987807
v_Diving_g06_c06: 0.6950445302519483
v_Diving_g06_c07: 0.8035709389242811
v_Diving_g07_c01: 0.7958160766157789
v_Diving_g07_c02: 0.7687750586065931
v_Diving_g07_c03: 0.738047615786968
v_Diving_g07_c04: 0.7457848928626163
v_Fencing_g01_c01: 0.7157287708059812
v_Fencing_g01_c02: 0.5294151365333164
v_Fencing_g01_c03: 0.5858108656057084
v_Fencing_g01_c04: 0.7974376798183584
v_Fencing_g01_c05: 0.3495047016576791
v_Fencing_g01_c06: 0.679625452826258
v_Fencing_g02_c01: 0.7906254062936569
v_Fencing_g02_c02: 0.83846677267411
v_Fencing_g02_c03: 0.8640434833750987
v_Fencing_g02_c04: 0.8245116028510893
v_Fencing_g02_c05: 0.8415562602267528
v_Fencing_g03_c01: 0.6305779957720006
v_Fencing_g03_c02: 0.555158773068797
v_Fencing_g03_c03: 0.6398211213336253
v_Fencing_g03_c04: 0.6797111126170421
v_Fencing_g03_c05: 0.636539647220161
v_Fencing_g04_c01: 0.5612339604222143
v_Fencing_g04_c02: 0.6768840643153453
v_Fencing_g04_c03: 0.7411657663569713
v_Fencing_g04_c04: 0.650456974147346
v_Fencing_g04_c05: 0.637300202487495
v_Fencing_g05_c01: 0.6174228732515985
v_Fencing_g05_c02: 0.7100419931621218
v_Fencing_g05_c03: 0.8054291697726512
v_Fencing_g05_c04: 0.5279959892895931
v_Fencing_g05_c05: 0.9084951373324657
v_Fencing_g06_c01: 0.7680763293565178
v_Fencing_g06_c02: 0.6806615186897034
v_Fencing_g06_c03: 0.7636149491690958
v_Fencing_g06_c04: 0.632075254902702
v_Fencing_g07_c01: 0.7687106820330882
v_Fencing_g07_c02: 0.8154896594160164
v_Fencing_g07_c03: 0.7782612544060612
v_Fencing_g07_c04: 0.7527702551842594
v_FloorGymnastics_g01_c01: 0.7362713993772303
v_FloorGymnastics_g01_c02: 0.7957629145368372
v_FloorGymnastics_g01_c03: 0.7687838257535731
v_FloorGymnastics_g01_c04: 0.7962981046422755
v_FloorGymnastics_g01_c05: 0.7475267232641016
v_FloorGymnastics_g02_c01: 0.47974360066125143
v_FloorGymnastics_g02_c02: 0.5915774468577837
v_FloorGymnastics_g02_c03: 0.4036424794013982
