Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r2p1d_perturb_full_core8_fade_test_summed.pt
v_Biking_g04_c02: 0.3676205312513048
v_Biking_g04_c03: 0.6163368001725757
v_Biking_g04_c04: 0.3763276804384077
v_Biking_g04_c05: 0.5109892182663316
v_Biking_g05_c01: 0.3632462313544238
v_Biking_g05_c02: 0.7990898278221721
v_Biking_g05_c03: 0.8143853503424907
v_Biking_g05_c04: 0.7940473049093271
v_Biking_g05_c05: 0.8807539795670891
v_Biking_g05_c06: 0.8356145611178363
v_Biking_g05_c07: 0.8424645241029793
v_Biking_g06_c01: 0.6628638026450062
v_Biking_g06_c02: 0.8350058091018582
v_Biking_g06_c03: 0.7753603730961913
v_Biking_g06_c04: 0.636765394374379
v_Biking_g06_c05: 0.851799581447267
v_Biking_g07_c01: 0.5739915124286199
v_Biking_g07_c02: 0.6336889178637648
v_Biking_g07_c03: 0.684800055125379
v_Biking_g07_c04: 0.6096071670908714
v_Biking_g07_c05: 0.6589617694407934
v_Biking_g07_c06: 0.7967273891117657
v_CliffDiving_g01_c01: 0.8761105417070212
v_CliffDiving_g01_c02: 0.8349206683487864
v_CliffDiving_g01_c03: 0.8733921272942098
v_CliffDiving_g01_c04: 0.8107802952436032
v_CliffDiving_g01_c05: 0.8241440379788401
v_CliffDiving_g01_c06: 0.7292414471303346
v_CliffDiving_g02_c01: 0.8893442583066644
v_CliffDiving_g02_c02: 0.8955453665257664
v_CliffDiving_g02_c03: 0.6957897903193953
v_CliffDiving_g02_c04: 0.9284582413529279
v_CliffDiving_g03_c01: 0.9507059271709295
v_CliffDiving_g03_c02: 0.9449507415556582
v_CliffDiving_g03_c03: 0.9245497769006761
v_CliffDiving_g03_c04: 0.9433987749071093
v_CliffDiving_g03_c05: 0.9303861808293732
v_CliffDiving_g04_c01: 0.8907088279520394
v_CliffDiving_g04_c02: 0.8931952659768285
v_CliffDiving_g04_c03: 0.9588334577420028
v_CliffDiving_g04_c04: 0.9214198026602389
v_CliffDiving_g05_c01: 0.5395641205395805
v_CliffDiving_g05_c02: 0.8163014711608412
v_CliffDiving_g05_c03: 0.7961984286812367
v_CliffDiving_g05_c04: 0.23839284114365
v_CliffDiving_g05_c05: 0.7145603220706107
v_CliffDiving_g05_c06: 0.9103404021152528
v_CliffDiving_g05_c07: 0.9181102747825207
v_CliffDiving_g06_c01: 0.8003476595768007
v_CliffDiving_g06_c02: 0.8401981031784089
v_CliffDiving_g06_c03: 0.8401515961886616
v_CliffDiving_g06_c04: 0.7794325771537842
v_CliffDiving_g06_c05: 0.8331271026545437
v_CliffDiving_g06_c06: 0.8523987900262
v_CliffDiving_g06_c07: 0.8557030510419281
v_CliffDiving_g07_c01: 0.9250402134639444
v_CliffDiving_g07_c02: 0.9732785486412467
v_CliffDiving_g07_c03: 0.9316212777775945
v_CliffDiving_g07_c04: 0.9619459985551657
v_CliffDiving_g07_c05: 0.9371957400144311
v_CliffDiving_g07_c06: 0.6834880167880328
v_CricketBowling_g01_c01: 0.8968771163490601
v_CricketBowling_g01_c02: 0.9442997724399902
v_CricketBowling_g01_c03: 0.9114702728693374
