Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_summed.pt
v_BasketballDunk_g05_c06: 0.6892161324785775
v_BasketballDunk_g06_c01: 0.761809344606263
v_BasketballDunk_g06_c02: 0.8486688250841325
v_BasketballDunk_g06_c03: 0.793074365908069
v_BasketballDunk_g06_c04: 0.8177552383558577
v_BasketballDunk_g07_c01: 0.7398392513559884
v_BasketballDunk_g07_c02: 0.8325959995554513
v_BasketballDunk_g07_c03: 0.7906366542147225
v_BasketballDunk_g07_c04: 0.496773476915223
v_BasketballDunk_g07_c05: 0.6969219997690743
v_BasketballDunk_g07_c06: 0.7571099952028817
v_Biking_g01_c01: 0.8077837454641212
v_Biking_g01_c02: 0.10702695708358133
v_Biking_g01_c03: 0.8566186761038352
v_Biking_g01_c04: 0.8801217905731846
v_Biking_g02_c01: 0.4018048539312531
v_Biking_g02_c02: 0.494914461162125
v_Biking_g02_c03: 0.6444977789672066
v_Biking_g02_c04: 0.7278967730255772
v_Biking_g02_c05: 0.6984391340540697
v_Biking_g02_c06: 0.42950276122633113
v_Biking_g02_c07: 0.7226407157743324
v_Biking_g03_c01: 0.7480960160048653
v_Biking_g03_c02: 0.6825382246190657
v_Biking_g03_c03: 0.6779525044860293
v_Biking_g03_c04: 0.6689314439447571
v_Biking_g04_c01: 0.5597402942387362
v_Biking_g04_c02: 0.26750146784092976
v_Biking_g04_c03: 0.6141861903035988
v_Biking_g04_c04: 0.010507970318769821
v_Biking_g04_c05: 0.10684384964611127
v_Biking_g05_c01: 0.27723356546107425
v_Biking_g05_c02: 0.7139829623067726
v_Biking_g05_c03: 0.6551934110486854
v_Biking_g05_c04: 0.7952351199949135
v_Biking_g05_c05: 0.7190401779973854
v_Biking_g05_c06: 0.6313550102079262
v_Biking_g05_c07: 0.7782604920232643
v_Biking_g06_c01: 0.649627112087046
v_Biking_g06_c02: 0.7049145924413551
v_Biking_g06_c03: 0.7518945562208046
v_Biking_g06_c04: 0.5089107672704358
v_Biking_g06_c05: 0.5866860309636195
v_Biking_g07_c01: 0.6283964144552101
v_Biking_g07_c02: 0.718965195354258
v_Biking_g07_c03: 0.4897973986828674
v_Biking_g07_c04: 0.36558198346961035
v_Biking_g07_c05: 0.034580526177023785
v_Biking_g07_c06: 0.741683739006703
v_CliffDiving_g01_c01: 0.8735049483366311
v_CliffDiving_g01_c02: 0.9695786533411592
v_CliffDiving_g01_c03: 0.9380505797453225
v_CliffDiving_g01_c04: 0.9558854815550148
v_CliffDiving_g01_c05: 0.955010605044663
v_CliffDiving_g01_c06: 0.9920670506544411
