Loaded /home/acb11711tx/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core8_fade_test_summed.pt
v_CliffDiving_g06_c06: 0.6503179003484547
v_CliffDiving_g06_c07: 0.9902583411894739
v_CliffDiving_g07_c01: 0.9777774885296822
v_CliffDiving_g07_c02: 0.9975984808988869
v_CliffDiving_g07_c03: 0.9954061289317906
v_CliffDiving_g07_c04: 0.9862497611902654
v_CliffDiving_g07_c05: 0.8114425467792898
v_CliffDiving_g07_c06: 0.934876752551645
v_CricketBowling_g01_c01: 0.649246551319381
v_CricketBowling_g01_c02: 0.7103391664469445
v_CricketBowling_g01_c03: 0.7610162275278771
v_CricketBowling_g01_c04: 0.6928220766031945
v_CricketBowling_g01_c05: 0.7081219928705895
v_CricketBowling_g01_c06: 0.5949522631609643
v_CricketBowling_g01_c07: 0.7254639046633446
v_CricketBowling_g02_c01: 0.130088082039153
v_CricketBowling_g02_c02: 0.23794995200762692
v_CricketBowling_g02_c03: 0.24797954758571628
v_CricketBowling_g02_c04: 0.32354105332808736
v_CricketBowling_g02_c05: 0.2827007027709687
v_CricketBowling_g02_c06: 0.30703232739063147
v_CricketBowling_g02_c07: 0.2459631964931095
v_CricketBowling_g03_c01: 0.00033932941011555195
v_CricketBowling_g03_c02: 0.001307151193971734
v_CricketBowling_g03_c03: 0.003979836375153312
v_CricketBowling_g03_c04: 9.337975363798989e-05
v_CricketBowling_g04_c01: 0.11506422072591427
v_CricketBowling_g04_c02: 0.09211159380095246
v_CricketBowling_g04_c03: 0.03954384579731318
v_CricketBowling_g04_c04: 0.0106755790717461
v_CricketBowling_g04_c05: 0.0020300943393767312
v_CricketBowling_g05_c01: 0.7397066729510033
v_CricketBowling_g05_c02: 0.6879837887728417
v_CricketBowling_g05_c03: 0.7325451748812402
v_CricketBowling_g05_c04: 0.7398668306315148
v_CricketBowling_g06_c01: 0.25066454125510695
v_CricketBowling_g06_c02: 0.20775441009493711
v_CricketBowling_g06_c03: 0.26384863046871665
v_CricketBowling_g06_c04: 0.6782628386182541
v_CricketBowling_g06_c05: 0.010791151919990583
v_CricketBowling_g07_c01: 0.01527465918582216
v_CricketBowling_g07_c02: 0.016722064518150503
v_CricketBowling_g07_c03: 0.7547035596700216
v_CricketBowling_g07_c04: 0.6342636900855059
v_Diving_g01_c01: 0.6769068964507596
v_Diving_g01_c02: 0.5907776483085172
v_Diving_g01_c03: 0.6349486239936368
v_Diving_g01_c04: 0.6138995417144315
v_Diving_g01_c05: 0.6467043288733976
v_Diving_g01_c06: 0.657137525894882
v_Diving_g01_c07: 0.6457855828788297
v_Diving_g02_c01: 0.6755160816695707
v_Diving_g02_c02: 0.6566736825492399
v_Diving_g02_c03: 0.6609742768790738
v_Diving_g02_c04: 0.630962444164993
v_Diving_g02_c05: 0.6553037293937223
v_Diving_g02_c06: 0.6773287781264798
v_Diving_g02_c07: 0.6388103493239896
v_Diving_g03_c01: 0.5000307687308805
v_Diving_g03_c02: 0.4744935759093778
v_Diving_g03_c03: 0.5833876260306852
v_Diving_g03_c04: 0.5384212859656827
v_Diving_g03_c05: 0.5901975163009183
v_Diving_g03_c06: 0.4542622991588132
v_Diving_g03_c07: 0.5847616919066922
v_Diving_g04_c01: 0.6735236772086637
v_Diving_g04_c02: 0.5269127019431608
v_Diving_g04_c03: 0.6001064033929424
