Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_la_full.pt
v_Fencing_g03_c01: 0.08233862304814465
v_Fencing_g03_c02: 0.04585136989817329
v_Fencing_g03_c03: 0.09658604282640226
v_Fencing_g03_c04: 0.12621011752389677
v_Fencing_g03_c05: 0.08795197475456007
v_Fencing_g04_c01: 0.15439491746701606
v_Fencing_g04_c02: 0.1796826364447952
v_Fencing_g04_c03: 0.38831205088399656
v_Fencing_g04_c04: 0.35195986348890074
v_Fencing_g04_c05: 0.1977766694476486
v_Fencing_g05_c01: 0.00864992295146294
v_Fencing_g05_c02: 0.021624096480536537
v_Fencing_g05_c03: 0.06357474792503126
v_Fencing_g05_c04: 0.022696783810260968
v_Fencing_g05_c05: 0.37768081743024595
v_Fencing_g06_c01: 0.21582804508261688
v_Fencing_g06_c02: 0.06738634877592631
v_Fencing_g06_c03: 0.14649518979467757
v_Fencing_g06_c04: 0.08253603153616496
v_Fencing_g07_c01: 0.35674164611600645
v_Fencing_g07_c02: 0.1934414452848614
v_Fencing_g07_c03: 0.3903369110053063
v_Fencing_g07_c04: 0.24392219893388756
v_FloorGymnastics_g01_c01: 0.3394339860642077
v_FloorGymnastics_g01_c02: 0.4084795893395068
v_FloorGymnastics_g01_c03: 0.3803469420635821
v_FloorGymnastics_g01_c04: 0.4341734231674792
v_FloorGymnastics_g01_c05: 0.43090720784307734
v_FloorGymnastics_g02_c01: 0.007662071682673854
v_FloorGymnastics_g02_c02: 0.005986006766718788
v_FloorGymnastics_g02_c03: 0.004811799688425822
v_FloorGymnastics_g02_c04: 0.07297259180263893
v_FloorGymnastics_g03_c01: 0.056921858176750106
v_FloorGymnastics_g03_c02: 0.13953547535852806
v_FloorGymnastics_g03_c03: 0.07286091155761198
v_FloorGymnastics_g03_c04: 0.12719519932211654
v_FloorGymnastics_g04_c01: 0.506453174468291
v_FloorGymnastics_g04_c02: 0.31561078440786616
v_FloorGymnastics_g04_c03: 0.2533918799126269
v_FloorGymnastics_g04_c04: 0.36554290663839595
v_FloorGymnastics_g04_c05: 0.39526586544157283
v_FloorGymnastics_g05_c01: 0.19042206166700737
v_FloorGymnastics_g05_c02: 0.3566531718933703
v_FloorGymnastics_g05_c03: 0.08554836206526772
v_FloorGymnastics_g05_c04: 0.16302796017767207
v_FloorGymnastics_g06_c01: 0.14430192422510402
v_FloorGymnastics_g06_c02: 0.3091293157303454
v_FloorGymnastics_g06_c03: 0.15514722776056544
v_FloorGymnastics_g06_c04: 0.041794344619077606
v_FloorGymnastics_g06_c05: 0.09906719189525859
v_FloorGymnastics_g06_c06: 0.020224169664246006
v_FloorGymnastics_g06_c07: 0.03925111081839816
v_FloorGymnastics_g07_c01: 0.0044326643218965955
v_FloorGymnastics_g07_c02: 0.04746130092458145
v_FloorGymnastics_g07_c03: 0.016717070084226293
v_FloorGymnastics_g07_c04: 0.041648291353297395
v_FloorGymnastics_g07_c05: 0.007032440113064808
v_FloorGymnastics_g07_c06: 0.008331921253514452
v_FloorGymnastics_g07_c07: 0.02589499514938609
v_GolfSwing_g01_c01: 0.37392711599181894
v_GolfSwing_g01_c02: 0.35171633918594125
v_GolfSwing_g01_c03: 0.33573356230567697
v_GolfSwing_g01_c04: 0.32086017687629464
v_GolfSwing_g01_c05: 0.3023426230699897
v_GolfSwing_g01_c06: 0.31249952276061777
v_GolfSwing_g02_c01: 0.07200305193487111
v_GolfSwing_g02_c02: 0.00014235373168958176
v_GolfSwing_g02_c03: 0.0001285937782995461
v_GolfSwing_g02_c04: 0.00020119192663514696
v_GolfSwing_g03_c01: 0.04890935082744363
v_GolfSwing_g03_c02: 0.03841200989495519
v_GolfSwing_g03_c03: 0.018324477661508354
v_GolfSwing_g03_c04: 0.03343644651408795
v_GolfSwing_g03_c05: 0.03193739062930945
v_GolfSwing_g03_c06: 0.0320355380588353
v_GolfSwing_g03_c07: 0.01852882706384662
v_GolfSwing_g04_c01: 0.004581541666766498
v_GolfSwing_g04_c02: 0.2021752282214493
v_GolfSwing_g04_c03: 0.19403831946488026
v_GolfSwing_g04_c04: 0.2984118280635357
v_GolfSwing_g04_c05: 0.434627353742826
v_GolfSwing_g04_c06: 0.27072754834603074
v_GolfSwing_g05_c01: 0.08314828790548745
v_GolfSwing_g05_c02: 0.20080886997106973
v_GolfSwing_g05_c03: 0.234368830982703
v_GolfSwing_g05_c04: 0.3610833003820062
v_GolfSwing_g05_c05: 0.17936137720766965
v_GolfSwing_g05_c06: 0.016934464763608048
v_GolfSwing_g05_c07: 0.41440723423670534
v_GolfSwing_g06_c01: 0.1172904491229474
v_GolfSwing_g06_c02: 0.0003682495587327139
v_GolfSwing_g06_c03: 0.32461217005561593
v_GolfSwing_g06_c04: 0.05706637452180985
v_GolfSwing_g07_c01: 0.02641399589424509
v_GolfSwing_g07_c02: 0.0945525339973301
v_GolfSwing_g07_c03: 0.3602933837735236
v_GolfSwing_g07_c04: 0.3084724324924082
v_GolfSwing_g07_c05: 0.1173207513691068
v_HorseRiding_g01_c01: 0.3926053341365332
v_HorseRiding_g01_c02: 0.16924679403928167
v_HorseRiding_g01_c03: 0.6514741634837264
v_HorseRiding_g01_c04: 0.683194503735649
v_HorseRiding_g01_c05: 0.45954372043524927
v_HorseRiding_g01_c06: 0.650041267823326
v_HorseRiding_g01_c07: 0.6797201489916915
v_HorseRiding_g02_c01: 0.6003638958445663
v_HorseRiding_g02_c02: 0.5145907854548568
v_HorseRiding_g02_c03: 0.6063011741152877
v_HorseRiding_g02_c04: 0.6069223737231368
v_HorseRiding_g02_c05: 0.5580761885157699
v_HorseRiding_g02_c06: 0.6325255488864059
v_HorseRiding_g02_c07: 0.5595956897250289
v_HorseRiding_g03_c01: 0.7796010827532882
v_HorseRiding_g03_c02: 0.7829407310000533
v_HorseRiding_g03_c03: 0.7280791258326644
v_HorseRiding_g03_c04: 0.6973852967730636
v_HorseRiding_g03_c05: 0.7731610989085311
v_HorseRiding_g03_c06: 0.7545922255030746
v_HorseRiding_g03_c07: 0.7792720055094833
v_HorseRiding_g04_c01: 0.7804507469645614
v_HorseRiding_g04_c02: 0.7364385580531234
v_HorseRiding_g04_c03: 0.5750485515109176
v_HorseRiding_g04_c04: 0.694063035387444
v_HorseRiding_g04_c05: 0.5983164762965316
v_HorseRiding_g04_c06: 0.6409700965396041
v_HorseRiding_g04_c07: 0.7221324300280685
v_HorseRiding_g05_c01: 0.7950478648654098
v_HorseRiding_g05_c02: 0.7995547508708114
v_HorseRiding_g05_c03: 0.7778345202914352
v_HorseRiding_g05_c04: 0.7979619359484786
v_HorseRiding_g05_c05: 0.6041636919489974
v_HorseRiding_g05_c06: 0.6950556492320175
v_HorseRiding_g05_c07: 0.5425464241652662
v_HorseRiding_g06_c01: 0.7170621609202499
v_HorseRiding_g06_c02: 0.6567017888537521
v_HorseRiding_g06_c03: 0.7088485812655563
