The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/ucf101_r2p1d_grad_cam_full_layer3_test.pt
v_Diving_g04_c02: 0.4296309282893644
v_Diving_g04_c03: 0.49595053054246246
v_Diving_g04_c04: 0.4418227234599637
v_Diving_g04_c05: 0.36887222167615796
v_Diving_g04_c06: 0.4990718472164636
v_Diving_g04_c07: 0.42888975156945924
v_Diving_g05_c01: 0.657908325576607
v_Diving_g05_c02: 0.6742707560824998
v_Diving_g05_c03: 0.5906378042098939
v_Diving_g05_c04: 0.7052016480880625
v_Diving_g05_c05: 0.6899835158358602
v_Diving_g05_c06: 0.569411809494098
v_Diving_g06_c01: 0.5628303664462532
v_Diving_g06_c02: 0.7305887996273882
v_Diving_g06_c03: 0.6063724843566032
v_Diving_g06_c04: 0.6854834230068851
v_Diving_g06_c05: 0.5787826603022861
v_Diving_g06_c06: 0.668073239498863
v_Diving_g06_c07: 0.6390980307597156
v_Diving_g07_c01: 0.39467521270043127
v_Diving_g07_c02: 0.807993879560016
v_Diving_g07_c03: 0.3422159240014997
v_Diving_g07_c04: 0.6074678455278569
v_Fencing_g01_c01: 0.7527240863836864
v_Fencing_g01_c02: 0.7083798814053629
v_Fencing_g01_c03: 0.7045558771374179
v_Fencing_g01_c04: 0.8164875049947523
v_Fencing_g01_c05: 0.6898190435095161
v_Fencing_g01_c06: 0.6183749923007745
v_Fencing_g02_c01: 0.7003132431530485
v_Fencing_g02_c02: 0.4374595249692599
v_Fencing_g02_c03: 0.6636824225385983
v_Fencing_g02_c04: 0.728457950216298
v_Fencing_g02_c05: 0.5619422856499167
v_Fencing_g03_c01: 0.5915602264085821
v_Fencing_g03_c02: 0.3447791521893997
v_Fencing_g03_c03: 0.7426233922003531
v_Fencing_g03_c04: 0.7086319785930363
v_Fencing_g03_c05: 0.7735791626368084
v_Fencing_g04_c01: 0.5656623176134684
v_Fencing_g04_c02: 0.7561871153978156
v_Fencing_g04_c03: 0.6478301562295825
v_Fencing_g04_c04: 0.6299749346632584
v_Fencing_g04_c05: 0.6966324689195437
v_Fencing_g05_c01: 0.47668981644891056
v_Fencing_g05_c02: 0.563006833845786
v_Fencing_g05_c03: 0.4286840170987096
v_Fencing_g05_c04: 0.4538509511772324
v_Fencing_g05_c05: 0.6588398843565408
v_Fencing_g06_c01: 0.6781999589546638
v_Fencing_g06_c02: 0.6562969144360692
v_Fencing_g06_c03: 0.7360029926998358
v_Fencing_g06_c04: 0.7470710894786844
v_Fencing_g07_c01: 0.44611310270779275
v_Fencing_g07_c02: 0.6238834177162133
v_Fencing_g07_c03: 0.4808509503655574
v_Fencing_g07_c04: 0.42723173195240544
v_FloorGymnastics_g01_c01: 0.7426673457318661
v_FloorGymnastics_g01_c02: 0.50632936137491
v_FloorGymnastics_g01_c03: 0.5674425373036488
v_FloorGymnastics_g01_c04: 0.5206491345430122
v_FloorGymnastics_g01_c05: 0.5112316257813397
v_FloorGymnastics_g02_c01: 0.41969013429593804
v_FloorGymnastics_g02_c02: 0.4637333906712193
v_FloorGymnastics_g02_c03: 0.7099177432009111
v_FloorGymnastics_g02_c04: 0.7131792065303992
v_FloorGymnastics_g03_c01: 0.3881070945813668
v_FloorGymnastics_g03_c02: 0.5067729581585702
v_FloorGymnastics_g03_c03: 0.34599080440752644
v_FloorGymnastics_g03_c04: 0.5553792962987049
v_FloorGymnastics_g04_c01: 0.5234045358995597
