Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_summed.pt
P20_01_21617-rinse-spatula: 0.23095274430852442
P20_01_21626-flip-meat: 0.8309266291088875
P20_01_21640-flip-meat: 0.7927407942242439
P20_01_21644-press-spatula: 0.06945638180332026
P20_01_21652-press-spatula: 0.12058580847769917
P20_01_21658-stir-meat: 0.6113464015997465
P20_01_21671-press-spatula: 0.6930801719772717
P20_01_21676-stir-meat: 0.6354601139664169
P20_01_21684-flip-meat: 0.7228955341033156
P20_01_21686-press-spatula: 0.8176246732818981
P20_01_21699-stir-meat: 0.16650198502424018
P20_01_21711-press-spatula: 0.7476726621734997
P20_01_21745-flip-meat: 0.7396152553610023
P20_01_21755-press-spatula: 0.9294458479034802
P20_01_21757-press-spatula: 0.8895698041069409
P20_01_21758-press-spatula: 0.8308643889959058
P20_01_21764-move-meat: 0.5891170425801988
P20_01_21798-pick-up-meat: 0.550546295800757
P20_01_21820-pick-up-spatula: 0.5894692433412274
P20_01_21824-put-down-spatula: 0.9243555551274767
P20_02_21843-turn-on-tap: 0.7310688683588751
P20_02_21859-wash-bowl: 0.8614407151126215
P20_03_21981-put-fork: 0.02401751933488039
P20_04_22059-pick-up-meat: 0.019684010088838022
P20_04_22090-rinse-meat: 0.3451071959916021
P20_04_22188-open-drawer: 0.4216929590838845
P20_04_22222-wash-knife: 0.007603029830988484
P20_04_22308-put-down-spatula: 0.9096843856732448
P20_04_22332-open-fridge: 0.4027311810186802
P21_01_22625-close-fridge: 0.7559292527275829
P22_05_24164-place-bottle: 0.7970564010261114
P22_06_24730-lather-glass: 0.19576577020711738
P22_06_24739-lather-fork: 0.456100645227707
P22_07_24883-rinse-cloth: 0.44867122600248877
P22_07_24894-lather-glass: 0.037287838717105615
P22_07_24993-put-down-cloth: 0.7403599103765828
P22_07_25167-put-down-pot: 0.09538774029221031
P22_07_25302-rinse-spoon: 0.013083784033369739
P22_07_25325-pick-up-plate: 0.7688568910425602
P22_07_25357-put-down-glass: 0.02129791138145265
P22_07_25363-remove-plate: 0.35510102844364155
P22_07_25364-remove-plate: 0.37975091518183035
P22_08_25638-close-tap: 0.00086414388437493
P22_08_25664-lather-plate: 0.9738520561559199
P22_08_25702-empty-pot: 0.8541847032307146
P22_08_25740-pick-up-pan: 0.3130624998781286
P22_08_25748-lather-pan: 0.46107998479976686
P22_08_25752-rinse-spoon: 0.8147906385202077
P22_08_25853-rinse-glass: 0.594539345059502
P22_08_25857-rinse-cloth: 0.46748160392439786
P22_09_26001-put-down-plate: 0.5075665792292057
P22_09_26033-open-drawer: 0.8871241896413267
P22_09_26061-lather-bowl: 0.007738942026890072
P22_09_26136-rinse-cloth: 0.6737502290254724
P22_10_26287-rinse-bowl: 0.9264027445697138
