The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core11_test_summed.pt
P08_26_15435-get-pan: 0.15259069042142215
P08_26_15438-get-bowl: 0.23106547829548957
P08_26_15444-place-bowl: 0.6745875595046171
P08_26_15453-close-drawer: 0.2340541860253057
P08_26_15455-get-bottle: 0.3288483160178122
P08_26_15490-move-bowl: 0.7214412747425776
P08_26_15501-clean-sponge: 0.7103410262744814
P10_01_15872-move-pot: 0.5129866782451441
P10_01_15913-shake-pot: 0.8336407347617947
P10_01_15944-put-pot: 0.5071110649654121
P10_04_16497-throw-bottle: 0.007544136710825511
P10_04_16580-clean-pot: 0.031758636918019355
P12_02_18571-wash-knife: 0.1569583723947004
P12_02_18604-wash-knife: 0.14302050679392528
P12_02_18631-wash-knife: 0.004975330893648789
P12_02_18711-fill-glass: 0.0014526921604152232
P12_06_18977-take-cloth: 0.17040224443041427
P12_06_19001-put-plate: 0.001662296991950522
P12_06_19002-open-bottle: 0.3549262892352143
P13_07_19294-open-drawer: 0.7217044334785611
P13_08_19320-take-onion: 0.0018971781311758569
P13_08_19332-put-down-onion: 0.342132488933538
P13_08_19339-cut-onion: 0.5242817883881942
P13_08_19345-put-down-knife: 0.02298478489084279
P13_08_19357-pick-up-pot: 0.5211562244916637
P13_08_19377-change-pot: 0.25766859420486177
P13_08_19391-put-down-plate: 0.8543481107527281
P13_09_19504-put-pan: 0.7399493566379819
P13_09_19511-drain-pot: 0.19978970423284872
P13_09_19516-close-drawer: 0.2808805027428795
P13_09_19528-close-drawer: 0.9963228507369173
P13_09_19549-close-fridge: 0.3944218637805213
P15_01_19739-pick-up-bowl: 0.025959754872916407
P15_03_19816-close-drawer: 0.9090639604072944
P15_03_19848-dry-pan: 0.40836712284671034
P15_08_19995-open-drawer: 0.10936849152531915
P15_08_19998-pick-up-cloth: 0.001556061333246496
P15_08_20028-put-away-glass: 0.38621234789196235
P15_08_20061-put-down-cloth: 0.011285616239839846
P15_13_20124-place-bowl: 0.018584236656648035
P15_13_20139-rinse-lid: 0.8556027362579662
P15_13_20166-rinse-cloth: 0.16103857316341544
P17_03_20405-close-tap: 0.00339131010226208
P17_04_20444-open-fridge: 0.2953730620484909
P19_03_21333-close-cupboard: 0.7046309995154539
P19_04_21364-open-fridge: 0.4378023808073325
P20_01_21490-rinse-meat: 0.07963673933489235
P20_01_21503-rinse-meat: 0.1277734245587774
P20_01_21556-pick-up-bowl: 0.8548009604297797
P20_01_21560-rinse-bowl: 0.08116828513343034
P20_01_21588-open-drawer: 0.7995861607439377
P20_01_21611-rinse-spatula: 0.6732223918396687
P20_01_21617-rinse-spatula: 0.07404604329563239
P20_01_21626-flip-meat: 0.8448571726373642
P20_01_21640-flip-meat: 0.8822605037497923
P20_01_21644-press-spatula: 0.036173186264932156
P20_01_21652-press-spatula: 0.07750845797834735
P20_01_21658-stir-meat: 0.7326187971933726
P20_01_21671-press-spatula: 0.6734318364292895
P20_01_21676-stir-meat: 0.6876175861563145
P20_01_21684-flip-meat: 0.8091736039715162
P20_01_21686-press-spatula: 0.7767277133879343
P20_01_21699-stir-meat: 0.6774286934201419
P20_01_21711-press-spatula: 0.7100273565097036
P20_01_21745-flip-meat: 0.7789249358325512
P20_01_21755-press-spatula: 0.8986547188175952
P20_01_21757-press-spatula: 0.9118551254235938
P20_01_21758-press-spatula: 0.8312198991768573
P20_01_21764-move-meat: 0.6902281733935096
P20_01_21798-pick-up-meat: 0.7579616543910507
P20_01_21820-pick-up-spatula: 0.5143221135379052
P20_01_21824-put-down-spatula: 0.5141082174783829
P20_02_21843-turn-on-tap: 0.6205299485587246
P20_02_21859-wash-bowl: 0.9263377042386827
P20_03_21981-put-fork: 0.010195068055860608
P20_04_22059-pick-up-meat: 0.02538707377286354
P20_04_22090-rinse-meat: 0.2991411272305128
P20_04_22188-open-drawer: 0.2439923689518051
P20_04_22222-wash-knife: 0.007428877220680243
P20_04_22308-put-down-spatula: 0.58061766971414
P20_04_22332-open-fridge: 0.35297214942573407
P21_01_22625-close-fridge: 0.6558378851086851
P22_05_24164-place-bottle: 0.7364069384114141
P22_06_24730-lather-glass: 0.2163210166873885
P22_06_24739-lather-fork: 0.563279700461848
P22_07_24883-rinse-cloth: 0.7066355650205344
P22_07_24894-lather-glass: 0.005648853324936342
P22_07_24993-put-down-cloth: 0.7064924895387045
P22_07_25167-put-down-pot: 0.05168142485855759
P22_07_25302-rinse-spoon: 0.017737144841721245
P22_07_25325-pick-up-plate: 0.825696283498295
P22_07_25357-put-down-glass: 0.006719842813817748
P22_07_25363-remove-plate: 0.3873854532025243
P22_07_25364-remove-plate: 0.38367053315079974
P22_08_25638-close-tap: 0.0004710031300117791
P22_08_25664-lather-plate: 0.9815231176764321
P22_08_25702-empty-pot: 0.8921983372239743
P22_08_25740-pick-up-pan: 0.08866313177950717
P22_08_25748-lather-pan: 0.3406588661018759
P22_08_25752-rinse-spoon: 0.6636712970942551
P22_08_25853-rinse-glass: 0.5151545693618519
P22_08_25857-rinse-cloth: 0.6934816048202087
P22_09_26001-put-down-plate: 0.5733991929321942
P22_09_26033-open-drawer: 0.6760043568470899
P22_09_26061-lather-bowl: 0.009730858190653403
P22_09_26136-rinse-cloth: 0.7611105133766222
P22_10_26287-rinse-bowl: 0.8538243288366014
P22_10_26318-pick-up-spoon: 0.025472042979620153
P22_10_26319-lather-spoon: 0.21364672366967974
P22_10_26340-pick-up-bowl: 0.5831049978477405
P22_10_26426-lather-glass: 0.3093505603288684
P22_10_26508-empty-bottle: 0.8457803461910682
P22_10_26511-empty-bottle: 0.7642136373755741
P22_11_26606-place-glass: 0.8081139244110661
P22_11_26644-put-down-bowl: 0.8824188062720293
P22_11_26763-rinse-glass: 0.0070874938574791
P22_12_26841-open-drawer: 0.8060239880692726
P22_12_26959-put-plate: 0.5879558783412601
P22_13_27105-open-tap: 0.40528231042134233
P22_13_27110-rinse-sponge: 0.36461729538110804
P22_13_27135-rinse-sponge: 0.6096293388042777
P22_13_27154-rinse-knife: 0.5725443885739272
P22_13_27218-wash-cloth: 0.43086259498331675
P22_14_27373-open-drawer: 0.6519677003224691
P22_14_27404-open-tap: 0.6503701100589002
P22_14_27451-put-down-bowl: 0.18928900598776618
P22_14_27458-lather-knife: 0.41091705323105643
P22_14_27459-rinse-knife: 0.12258743065199358
P22_14_27462-put-down-spatula: 0.00459854197770438
P22_15_27640-put-down-plate: 0.8529577565829124
P22_15_27737-close-tap: 0.05100182811010574
P22_16_27934-put-down-cloth: 0.38722669517529523
P22_16_28015-cut-onion: 0.5701548672107724
P22_16_28020-peel-onion: 0.5098832925612691
P22_16_28022-peel-onion: 0.6455093752880416
P22_16_28038-slice-onion: 0.8065164668280084
P22_16_28319-move-cloth: 0.6537021018690247
P22_16_28320-pick-up-cloth: 0.5077608580161777
P22_16_28411-open-drawer: 0.9785907920669107
P22_17_28425-move-bowl: 0.7745194458457477
P22_17_28449-lather-fork: 0.0042678211613069745
P22_17_28547-put-down-pan: 0.059387684537899735
P22_17_28573-open-tap: 0.004410744911185379
P22_17_28584-lather-fork: 0.5881723304553067
P22_17_28642-fill-bottle: 0.037732470081206046
P22_17_28649-rinse-bottle: 0.5512413024208417
P22_17_28658-rinse-sponge: 0.017805056844942966
P22_17_28740-pick-up-plate: 0.9641649141469423
P22_17_28854-put-down-glass: 0.6195457285023568
P22_17_28855-put-down-glass: 0.3772581463419449
P22_17_28870-put-down-plate: 0.18221518560540953
P22_17_28903-dry-knife: 0.2659609733354848
P23_02_29082-wash-plate: 0.8691623400166338
P23_02_29125-open-fridge: 0.5751352067598525
P23_02_29204-close-tap: 0.21257663169620655
P23_04_29364-clean-bowl: 0.30694310505710104
P24_01_29576-grab-cloth: 0.4687377335765061
P24_02_29640-open-fridge: 0.3791583034967748
