The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r50l_perturb_full_test_summed.pt
P08_26_15444-place-bowl: 0.8170388163012616
P08_26_15453-close-drawer: 0.2828276424632207
P08_26_15455-get-bottle: 0.4423791815230039
P08_26_15490-move-bowl: 0.7123696199590888
P08_26_15501-clean-sponge: 0.7181790350316327
P10_01_15872-move-pot: 0.6309355428536518
P10_01_15913-shake-pot: 0.7348700076930839
P10_01_15944-put-pot: 0.28154891445949176
P10_04_16497-throw-bottle: 0.0031130393446677745
P10_04_16580-clean-pot: 0.021738579042493274
P12_02_18571-wash-knife: 0.2509894363938228
P12_02_18604-wash-knife: 0.028584014969494413
P12_02_18631-wash-knife: 0.006208768837706314
P12_02_18711-fill-glass: 0.0007322338143888032
P12_06_18977-take-cloth: 0.14157149595740323
P12_06_19001-put-plate: 0.0022466419006734357
P12_06_19002-open-bottle: 0.46088312681759797
P13_07_19294-open-drawer: 0.7645491456284242
P13_08_19320-take-onion: 0.002118641896293982
P13_08_19332-put-down-onion: 0.41840043006528754
P13_08_19339-cut-onion: 0.49460077182887413
P13_08_19345-put-down-knife: 0.026688723239645946
P13_08_19357-pick-up-pot: 0.18717409849849384
P13_08_19377-change-pot: 0.46056701977099246
P13_08_19391-put-down-plate: 0.932368391446824
P13_09_19504-put-pan: 0.8027812543598474
P13_09_19511-drain-pot: 0.20378277949228718
P13_09_19516-close-drawer: 0.23004275688938067
P13_09_19528-close-drawer: 0.9985322162216785
P13_09_19549-close-fridge: 0.300618196226766
P15_01_19739-pick-up-bowl: 0.04049264425484401
P15_03_19816-close-drawer: 0.9699340039608525
P15_03_19848-dry-pan: 0.524473822048144
P15_08_19995-open-drawer: 0.13398068372132368
P15_08_19998-pick-up-cloth: 0.0006095694151981221
P15_08_20028-put-away-glass: 0.4439747609056569
P15_08_20061-put-down-cloth: 0.03207534985746915
P15_13_20124-place-bowl: 0.07303340608752977
P15_13_20139-rinse-lid: 0.9259491447793028
P15_13_20166-rinse-cloth: 0.24219428859571196
P17_03_20405-close-tap: 0.006936751888625783
P17_04_20444-open-fridge: 0.3154709230496676
P19_03_21333-close-cupboard: 0.7836166823100226
P19_04_21364-open-fridge: 0.44070533717042015
P20_01_21490-rinse-meat: 0.10413909070484995
P20_01_21503-rinse-meat: 0.11957256336827235
P20_01_21556-pick-up-bowl: 0.9212160157523684
P20_01_21560-rinse-bowl: 0.34825361400689636
P20_01_21588-open-drawer: 0.8053701864738091
P20_01_21611-rinse-spatula: 0.36066919999635394
P20_01_21617-rinse-spatula: 0.07941401376407228
P20_01_21626-flip-meat: 0.8773329861548287
P20_01_21640-flip-meat: 0.8820645038169744
P20_01_21644-press-spatula: 0.009978272016251497
P20_01_21652-press-spatula: 0.10672067202554614
P20_01_21658-stir-meat: 0.7336497477114237
P20_01_21671-press-spatula: 0.7127903209287015
P20_01_21676-stir-meat: 0.7339745359023915
P20_01_21684-flip-meat: 0.805269503196149
P20_01_21686-press-spatula: 0.795144576172107
P20_01_21699-stir-meat: 0.5189062868791642
P20_01_21711-press-spatula: 0.8431669441298307
P20_01_21745-flip-meat: 0.8058636596855506
P20_01_21755-press-spatula: 0.9130479744681176
P20_01_21757-press-spatula: 0.8902997204915201
P20_01_21758-press-spatula: 0.849047798427808
P20_01_21764-move-meat: 0.7134943442878555
P20_01_21798-pick-up-meat: 0.8559329071926757
P20_01_21820-pick-up-spatula: 0.596394487627435
P20_01_21824-put-down-spatula: 0.5758217166424455
P20_02_21843-turn-on-tap: 0.6282739194155974
P20_02_21859-wash-bowl: 0.9410570009675461
P20_03_21981-put-fork: 0.02252757717426682
P20_04_22059-pick-up-meat: 0.06675725812526127
P20_04_22090-rinse-meat: 0.1461730426862749
P20_04_22188-open-drawer: 0.09786125244937983
P20_04_22222-wash-knife: 0.019187854653378984
P20_04_22308-put-down-spatula: 0.54578696987683
P20_04_22332-open-fridge: 0.2861617445461817
P21_01_22625-close-fridge: 0.5720481952081672
P22_05_24164-place-bottle: 0.482863663392388
P22_06_24730-lather-glass: 0.10177657878523985
P22_06_24739-lather-fork: 0.6179593959348458
P22_07_24883-rinse-cloth: 0.7258869889330669
P22_07_24894-lather-glass: 0.006924032918294531
P22_07_24993-put-down-cloth: 0.6916268273437619
P22_07_25167-put-down-pot: 0.014850274426177801
P22_07_25302-rinse-spoon: 0.039739688080461584
P22_07_25325-pick-up-plate: 0.8137651644247658
P22_07_25357-put-down-glass: 0.020133404775668738
P22_07_25363-remove-plate: 0.2072701578083284
P22_07_25364-remove-plate: 0.7010949300437728
P22_08_25638-close-tap: 0.000810401345144015
P22_08_25664-lather-plate: 0.9890821532542616
P22_08_25702-empty-pot: 0.8063227705647781
P22_08_25740-pick-up-pan: 0.07677137823695518
P22_08_25748-lather-pan: 0.14851685066150463
P22_08_25752-rinse-spoon: 0.844773530185807
P22_08_25853-rinse-glass: 0.5401658210481115
P22_08_25857-rinse-cloth: 0.6873584176768097
P22_09_26001-put-down-plate: 0.6071174757564258
P22_09_26033-open-drawer: 0.39207013190961354
P22_09_26061-lather-bowl: 0.019261508890785456
P22_09_26136-rinse-cloth: 0.7671896330610787
P22_10_26287-rinse-bowl: 0.8375386213591578
P22_10_26318-pick-up-spoon: 0.028637753711668785
P22_10_26319-lather-spoon: 0.10178786274410931
P22_10_26340-pick-up-bowl: 0.6768971028600764
P22_10_26426-lather-glass: 0.37295169979219744
P22_10_26508-empty-bottle: 0.8255920761012627
P22_10_26511-empty-bottle: 0.8128766980234479
P22_11_26606-place-glass: 0.7929675607105452
P22_11_26644-put-down-bowl: 0.9335514913057433
