Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core5_cylinder_summed.pt
P20_03_21981-put-fork: 0.0013091044060367305
P20_04_22059-pick-up-meat: 0.1354052287497325
P20_04_22090-rinse-meat: 0.6693191385566024
P20_04_22188-open-drawer: 0.019900775558198802
P20_04_22222-wash-knife: 0.01715846353181405
P20_04_22308-put-down-spatula: 0.8634638997882575
P20_04_22332-open-fridge: 0.7457765683429898
P21_01_22625-close-fridge: 0.0031664617090427782
P22_05_24164-place-bottle: 0.9285348128469195
P22_06_24730-lather-glass: 0.42892114151618443
P22_06_24739-lather-fork: 0.30875638854922727
P22_07_24883-rinse-cloth: 0.17088803692604415
P22_07_24894-lather-glass: 0.7611607307044324
P22_07_24993-put-down-cloth: 0.9630706631287467
P22_07_25167-put-down-pot: 0.013584135261226038
P22_07_25302-rinse-spoon: 0.6744431990409794
P22_07_25325-pick-up-plate: 0.846642101649195
P22_07_25357-put-down-glass: 0.14051258862531313
P22_07_25363-remove-plate: 0.03587520949076861
P22_07_25364-remove-plate: 0.9632646644022316
P22_08_25638-close-tap: 0.014039532964918777
P22_08_25664-lather-plate: 0.9526292579248548
P22_08_25702-empty-pot: 0.29091114521725103
P22_08_25740-pick-up-pan: 0.6991495489346562
P22_08_25748-lather-pan: 0.8868067288276507
P22_08_25752-rinse-spoon: 0.6977948185267451
P22_08_25853-rinse-glass: 0.4159045562555548
P22_08_25857-rinse-cloth: 0.5306595691654366
P22_09_26001-put-down-plate: 0.8523696302436292
P22_09_26033-open-drawer: 0.8663880221283762
P22_09_26061-lather-bowl: 0.0006768387602278381
P22_09_26136-rinse-cloth: 0.6373767675540876
P22_10_26287-rinse-bowl: 0.5702266327671168
P22_10_26318-pick-up-spoon: 0.15779794485024468
P22_10_26319-lather-spoon: 0.20142375522482325
P22_10_26340-pick-up-bowl: 0.32463294967146794
P22_10_26426-lather-glass: 0.8042734054324683
P22_10_26508-empty-bottle: 0.005638123097780223
P22_10_26511-empty-bottle: 0.023930935509270057
P22_11_26606-place-glass: 0.8564409521350171
P22_11_26644-put-down-bowl: 0.5348562509852854
P22_11_26763-rinse-glass: 0.10568180520336057
P22_12_26841-open-drawer: 0.863394367203
P22_12_26959-put-plate: 0.8273720489814878
P22_13_27105-open-tap: 0.7304960676701739
P22_13_27110-rinse-sponge: 0.32280580978112994
P22_13_27135-rinse-sponge: 0.17065309895406244
P22_13_27154-rinse-knife: 0.6713325704840827
P22_13_27218-wash-cloth: 0.5437437155924272
P22_14_27373-open-drawer: 0.8147526352404384
P22_14_27404-open-tap: 0.4259039048338309
P22_14_27451-put-down-bowl: 0.21784880013274233
P22_14_27458-lather-knife: 0.2169683012398309
P22_14_27459-rinse-knife: 0.2491673414115212
P22_14_27462-put-down-spatula: 0.006182890426019938
P22_15_27640-put-down-plate: 0.9288425641134381
P22_15_27737-close-tap: 0.00736946241829628
P22_16_27934-put-down-cloth: 0.7728903633251321
P22_16_28015-cut-onion: 0.9415870487428037
P22_16_28020-peel-onion: 0.9300409948191373
P22_16_28022-peel-onion: 0.9514445757231442
P22_16_28038-slice-onion: 0.9452858429140178
P22_16_28319-move-cloth: 0.5870144045620691
P22_16_28320-pick-up-cloth: 0.22137216149712913
P22_16_28411-open-drawer: 0.9511825637164293
P22_17_28425-move-bowl: 0.44690582715975324
P22_17_28449-lather-fork: 0.17502310164854862
P22_17_28547-put-down-pan: 0.4411184499913361
P22_17_28573-open-tap: 0.008113057870537066
P22_17_28584-lather-fork: 0.6112891240336467
P22_17_28642-fill-bottle: 0.35500854774727486
P22_17_28649-rinse-bottle: 0.034907253095298074
P22_17_28658-rinse-sponge: 0.02162394658807898
P22_17_28740-pick-up-plate: 0.973535901401192
P22_17_28854-put-down-glass: 0.41859504077001475
P22_17_28855-put-down-glass: 0.1583791860321071
P22_17_28870-put-down-plate: 0.27166863181628287
P22_17_28903-dry-knife: 0.5016990445947158
P23_02_29082-wash-plate: 0.929001493845135
P23_02_29125-open-fridge: 0.7124379994711489
P23_02_29204-close-tap: 0.13339311082381755
P23_04_29364-clean-bowl: 0.5712071848201958
P24_01_29576-grab-cloth: 0.6956622658472043
P24_02_29640-open-fridge: 0.5296871732352884
P24_02_29661-close-fridge: 0.6145698249238194
P24_02_29710-turn-meat: 0.5925468592176912
P24_02_29718-cut-meat: 0.7226357040199218
P24_02_29727-take-meat: 0.11875600919302087
P24_02_29739-flip-meat: 0.7155079822259722
P24_02_29747-check-meat: 0.7408600635098992
P24_02_29778-turn-meat: 0.6888363481702982
P24_02_29781-put-meat: 0.03608937996614259
P24_02_29785-take-cloth: 0.12268181100080255
P24_03_29796-pick-up-plate: 0.050719730742287084
P24_03_29802-rinse-sponge: 0.6870485821200418
P24_03_29811-lather-fork: 0.43748291235533543
P24_03_29903-rinse-sponge: 0.8891318531168508
P24_03_29914-pick-up-cloth: 0.4720066935115028
P24_04_29996-lather-knife: 0.8736481077430653
P24_05_30046-pick-up-lid: 0.8448459140927298
P24_05_30062-put-down-plate: 0.9175008845049888
P24_05_30105-move-pot: 0.03381129732588306
P24_05_30194-lift-lid: 0.5379194280103547
P24_05_30195-put-down-lid: 0.01660373768243062
P24_05_30226-rinse-knife: 0.1023583509013406
P24_05_30256-put-glass: 0.5109024038392818
P24_06_30353-grab-spoon: 0.7051833101759257
P24_06_30384-rinse-sponge: 0.013719911743464763
P24_06_30417-rinse-fork: 0.2396894303674344
P24_06_30419-rinse-fork: 0.9383664978959132
P24_07_30534-pick-up-cloth: 0.05605914447369287
P24_07_30551-put-down-fork: 0.010140526207321976
P24_07_30569-turn-meat: 0.08127420225355309
P24_08_30653-pick-up-pot: 0.04429472316405736
P24_08_30656-put-pot: 0.5731698115705512
P24_08_30692-cut-onion: 0.9252014818339376
P24_08_30777-pick-up-lid: 0.5789872899622424
P24_08_30836-take-bottle: 0.39281108378781937
P24_08_30897-pick-up-lid: 0.1676825881440891
P24_08_30965-open-tap: 0.0077317189366681305
P25_02_31371-pick-up-pot: 0.27221799053950235
P25_02_31387-put-down-lid: 0.003576485367736748
P25_02_31397-turn-tap: 0.7057655927492306
P25_02_31398-turn-tap: 0.692209389177151
P25_05_31483-put-down-pan: 0.5477094245579792
P25_05_31499-close-tap: 0.8136656448477879
P25_05_31558-open-cupboard: 0.4718697751814034
P25_05_31564-put-down-fork: 0.35334057177533396
P25_05_31574-pick-up-spoon: 0.07130687043411399
P25_12_31949-open-drawer: 0.2705153023562161
P26_02_32021-put-down-fork: 0.142794282437535
P26_02_32022-open-fridge: 0.5482534096008749
