Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_fade_test_summed.pt
P08_05_13210-wash-potato: 0.0009598053380273086
P08_05_13239-close-cupboard: 0.6334171655034879
P08_05_13371-get-knife: 0.6781323087752753
P08_05_13378-get-spoon: 0.2128180429644999
P08_05_13398-open-fridge: 0.7104608899808227
P08_05_13401-open-lid: 0.4056039338179289
P08_05_13413-open-cupboard: 0.7328653395998117
P08_05_13434-put-lid: 0.10056843140091587
P08_05_13493-place-plate: 0.0006287508956319063
P08_06_13609-close-fridge: 0.27483173076871026
P08_06_13617-open-drawer: 0.3439605920575559
P08_06_13618-place-knife: 0.00827640546560815
P08_06_13629-wipe-off-pan: 0.618501377650432
P08_11_13977-get-cloth: 0.09945973785056594
P08_18_14449-wipe-bowl: 0.7567946337749163
P08_18_14507-water-sponge: 0.15653898300809033
P08_18_14508-squeeze-sponge: 0.5323101673435531
P08_18_14512-water-sponge: 0.3370731785122416
P08_18_14524-water-sponge: 0.5565320905458293
P08_18_14525-squeeze-sponge: 0.6511105066325626
P08_18_14531-water-sponge: 0.6129618054416142
P08_19_14557-close-fridge: 0.63213228051427
P08_21_14640-take-out-glass: 0.12324138211920399
P08_21_14646-place-pan: 0.1673350330803487
P08_21_14658-place-in-cupboard: 0.3214215831060301
P08_21_14669-place-in-cupboard: 0.6630683933763066
P08_21_14811-close-cupboard: 0.8359319066075841
P08_21_14812-open-cupboard: 0.6003857887262711
P08_22_14989-place-sponge: 0.43098113640883184
P08_22_14997-place-sponge: 0.4480411471027992
P08_23_15214-get-potato: 0.2381942962803123
P08_24_15331-get-potato: 0.42518164464684105
P08_24_15333-cut-potato: 0.45038853693233705
P08_25_15415-get-plate: 0.3780093007562755
P08_26_15435-get-pan: 0.25277564699183586
P08_26_15438-get-bowl: 0.13695004986402637
P08_26_15444-place-bowl: 0.5362695324820379
P08_26_15453-close-drawer: 0.14819581369738444
P08_26_15455-get-bottle: 0.3173441806516166
P08_26_15490-move-bowl: 0.7930904004842887
P08_26_15501-clean-sponge: 0.6688440204758308
P10_01_15872-move-pot: 0.5234562872488482
P10_01_15913-shake-pot: 0.5072336256549193
P10_01_15944-put-pot: 0.278788046124248
P10_04_16497-throw-bottle: 0.15308309217286054
P10_04_16580-clean-pot: 0.005175160731141659
P12_02_18571-wash-knife: 0.14018789132842358
P12_02_18604-wash-knife: 0.07040014266112848
P12_02_18631-wash-knife: 0.004825728778314442
P12_02_18711-fill-glass: 0.0011472515066278542
P12_06_18977-take-cloth: 0.020544467386798715
P12_06_19001-put-plate: 0.0030824609738147046
P12_06_19002-open-bottle: 0.6238398101354505
P13_07_19294-open-drawer: 0.8651099889539182
P13_08_19320-take-onion: 0.00014040500794765265
P13_08_19332-put-down-onion: 0.23221078118422156
P13_08_19339-cut-onion: 0.5253936380531741
P13_08_19345-put-down-knife: 0.22655284226948424
P13_08_19357-pick-up-pot: 0.8380174335603101
P13_08_19377-change-pot: 0.2706836905732075
P13_08_19391-put-down-plate: 0.5917027756413518
P13_09_19504-put-pan: 0.6498526150954831
P13_09_19511-drain-pot: 0.1534885185815824
P13_09_19516-close-drawer: 0.4166208226233721
P13_09_19528-close-drawer: 0.994393655564636
P13_09_19549-close-fridge: 0.57028692624408
P15_01_19739-pick-up-bowl: 0.05039338825335092
P15_03_19816-close-drawer: 0.9683913080953062
P15_03_19848-dry-pan: 0.28566953250094684
P15_08_19995-open-drawer: 0.1828460514118726
P15_08_19998-pick-up-cloth: 0.0003464777190537449
P15_08_20028-put-away-glass: 0.5149444358460187
P15_08_20061-put-down-cloth: 0.012027065282609328
P15_13_20124-place-bowl: 0.06223606859101949
P15_13_20139-rinse-lid: 0.4865879674621283
P15_13_20166-rinse-cloth: 0.16645632529093746
P17_03_20405-close-tap: 0.007929977764973728
P17_04_20444-open-fridge: 0.2452787276251911
P19_03_21333-close-cupboard: 0.8754232648207108
P19_04_21364-open-fridge: 0.6327482728647738
P20_01_21490-rinse-meat: 0.0003864861102483297
P20_01_21503-rinse-meat: 0.045173722087146206
P20_01_21556-pick-up-bowl: 0.6505662172221491
P20_01_21560-rinse-bowl: 0.05335231936755739
P20_01_21588-open-drawer: 0.9037637808360159
P20_01_21611-rinse-spatula: 0.748737432562848
P20_01_21617-rinse-spatula: 0.02142761361938028
P20_01_21626-flip-meat: 0.7664656959004219
P20_01_21640-flip-meat: 0.8346796951718147
P20_01_21644-press-spatula: 0.042196000074909534
P20_01_21652-press-spatula: 0.2840981948593253
P20_01_21658-stir-meat: 0.6848234910048063
P20_01_21671-press-spatula: 0.7432093471634289
P20_01_21676-stir-meat: 0.5318135375618454
P20_01_21684-flip-meat: 0.7075381589583571
P20_01_21686-press-spatula: 0.7702973932373425
P20_01_21699-stir-meat: 0.5067756931293275
P20_01_21711-press-spatula: 0.8187441081154248
P20_01_21745-flip-meat: 0.6269039449743445
P20_01_21755-press-spatula: 0.9014221281158825
P20_01_21757-press-spatula: 0.8954614252197644
P20_01_21758-press-spatula: 0.7277975273664197
P20_01_21764-move-meat: 0.47700696424539046
P20_01_21798-pick-up-meat: 0.5204991771369691
P20_01_21820-pick-up-spatula: 0.488887269550105
P20_01_21824-put-down-spatula: 0.6256950383885851
P20_02_21843-turn-on-tap: 0.5995317885477789
P20_02_21859-wash-bowl: 0.7931370108508418
P20_03_21981-put-fork: 0.00605951903256563
P20_04_22059-pick-up-meat: 0.0211942017976412
P20_04_22090-rinse-meat: 0.43165910066994684
P20_04_22188-open-drawer: 0.2277174210685189
P20_04_22222-wash-knife: 0.00810332560786231
P20_04_22308-put-down-spatula: 0.7760458249013027
P20_04_22332-open-fridge: 0.2600658842256962
P21_01_22625-close-fridge: 0.5953510614472179
P22_05_24164-place-bottle: 0.7535515668510016
P22_06_24730-lather-glass: 0.06784971726960976
P22_06_24739-lather-fork: 0.39490208284405526
P22_07_24883-rinse-cloth: 0.7605334265010697
P22_07_24894-lather-glass: 0.03420315678894781
P22_07_24993-put-down-cloth: 0.702661879904781
P22_07_25167-put-down-pot: 0.13429398671593162
P22_07_25302-rinse-spoon: 0.017601369072508533
P22_07_25325-pick-up-plate: 0.7555434187715946
P22_07_25357-put-down-glass: 0.012063756784527868
P22_07_25363-remove-plate: 0.2476788256180953
P22_07_25364-remove-plate: 0.31789038361330313
P22_08_25638-close-tap: 0.004433969203948213
P22_08_25664-lather-plate: 0.9265012322766779
P22_08_25702-empty-pot: 0.8151667875050066
P22_08_25740-pick-up-pan: 0.17302652787896022
P22_08_25748-lather-pan: 0.1699477880157474
P22_08_25752-rinse-spoon: 0.5260200224656728
