The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core5_test_summed.pt
P28_14_34393-put-down-sponge: 0.6781667108537958
P28_14_34394-turn-on-tap: 0.05188035560297031
P28_14_34396-turn-off-tap: 0.16146235490838687
P29_01_34867-chop-onion: 0.8759681491363867
P29_01_34868-chop-onion: 0.9115731590445719
P29_01_34877-chop-onion: 0.835414019541121
P29_01_34902-chop-onion: 0.9114803607666901
P29_02_35181-move-fork: 0.1417379989297878
P29_02_35206-open-drawer: 0.5832587137708769
P29_03_35254-put-down-glass: 0.5056638575359886
P29_03_35265-close-cupboard: 0.15176218198794944
P29_03_35296-move-pan: 0.6412287786456884
P29_03_35335-pick-up-spatula: 0.04791455879606599
P29_03_35355-pick-up-fork: 0.41510295865728575
P29_03_35439-pick-up-bowl: 0.2774807919063331
P29_03_35461-rinse-bowl: 0.0923736686526122
P29_03_35497-scour-knife: 0.006169104881187462
P29_03_35528-pick-up-plate: 0.39417482987046243
P29_03_35562-scour-spatula: 0.19624034960105943
P29_03_35564-scour-spatula: 0.2686606591238695
P29_03_35632-pick-up-bowl: 0.019273288372228397
P29_04_35774-open-fridge: 0.3297983884482699
P30_03_36639-clean-knife: 0.3354918775714788
P30_04_36678-take-fork: 0.12181885646583111
P30_05_36874-put-onion: 0.7685541713573769
P30_05_36904-chop-onion: 0.8042142130544081
P30_05_36922-chop-onion: 0.8958033884601558
P30_05_37020-open-cupboard: 0.5177623327529314
P30_05_37240-open-cupboard: 0.4164121751764826
P30_05_37272-wash-spoon: 0.007246451717162249
P30_05_37511-take-plate: 0.8056486839757246
P30_05_37535-empty-bottle: 0.45268687944786223
P30_06_37605-dry-fork: 0.014875231697863223
P30_06_37668-rinse-plate: 0.7798316819995057
P30_06_37674-rinse-bowl: 0.33864857790370784
P30_10_38341-take-spoon: 0.5725314982892836
P30_10_38504-rinse-fork: 0.0007380187098248166
P30_10_38535-take-spoon: 0.5093973108037722
P30_10_38579-rinse-sponge: 0.046441670467017915
P30_11_38596-rinse-plate: 0.8655260526520364
P30_11_38661-wash-spoon: 0.4156769376202468
P30_11_38673-rise-sponge: 0.00798170941279215
P31_01_38722-take-glass: 0.10320062219512229
P31_08_38926-open-fridge: 0.049438983830166795
P31_08_38943-open-fridge: 0.5271657694268095
Average: 0.0/0.41451082896182795
