Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_summed.pt
P08_06_13618-place-knife: 0.0782696683127142
P08_06_13629-wipe-off-pan: 0.8790613646124257
P08_11_13977-get-cloth: 0.941603346465854
P08_18_14449-wipe-bowl: 0.008714204534953751
P08_18_14507-water-sponge: 0.5410517961645382
P08_18_14508-squeeze-sponge: 0.7209062257243204
P08_18_14512-water-sponge: 0.714121934484865
P08_18_14524-water-sponge: 0.8024835884498316
P08_18_14525-squeeze-sponge: 0.8681945630742121
P08_18_14531-water-sponge: 0.8009863162806141
P08_19_14557-close-fridge: 0.5167939453749568
P08_21_14640-take-out-glass: 0.6991304250841495
P08_21_14646-place-pan: 0.8665516581822885
P08_21_14658-place-in-cupboard: 0.5442436773737427
P08_21_14669-place-in-cupboard: 0.053406452545459615
P08_21_14811-close-cupboard: 0.8873480553447735
P08_21_14812-open-cupboard: 0.9554230868525337
P08_22_14989-place-sponge: 0.8172180515175569
P08_22_14997-place-sponge: 0.8511969780010986
P08_23_15214-get-potato: 0.5439563341496978
P08_24_15331-get-potato: 0.9169762005622033
P08_24_15333-cut-potato: 0.9549203879723791
P08_25_15415-get-plate: 0.9476750469766557
P08_26_15435-get-pan: 0.8589513390761567
P08_26_15438-get-bowl: 0.005458293969240913
P08_26_15444-place-bowl: 0.003369307060893334
P08_26_15453-close-drawer: 0.8426901423808886
P08_26_15455-get-bottle: 0.20292948569112923
P08_26_15490-move-bowl: 0.6355042522873191
P08_26_15501-clean-sponge: 0.8699893800003338
P10_01_15872-move-pot: 0.7462473110645078
P10_01_15913-shake-pot: 0.8814313941984437
P10_01_15944-put-pot: 0.5995182813494466
P10_04_16497-throw-bottle: 0.036534203357732054
P10_04_16580-clean-pot: 0.10661305606481619
P12_02_18571-wash-knife: 0.34529982087406097
P12_02_18604-wash-knife: 0.11113564366678474
P12_02_18631-wash-knife: 0.014077211825906488
P12_02_18711-fill-glass: 0.14250612127943896
P12_06_18977-take-cloth: 0.36644365146639757
P12_06_19001-put-plate: 0.00992969273655575
P12_06_19002-open-bottle: 0.03670806811351213
P13_07_19294-open-drawer: 0.9069974435697077
P13_08_19320-take-onion: 0.11343451120637837
P13_08_19332-put-down-onion: 0.555540738554555
P13_08_19339-cut-onion: 0.8714804469345836
P13_08_19345-put-down-knife: 0.005287171985024486
P13_08_19357-pick-up-pot: 0.8561048530391417
P13_08_19377-change-pot: 0.8653140924288891
P13_08_19391-put-down-plate: 0.9414226305671036
P13_09_19504-put-pan: 0.947684909493546
P13_09_19511-drain-pot: 0.6935489903553389
P13_09_19516-close-drawer: 0.3882621216325788
P13_09_19528-close-drawer: 0.969922976262751
P13_09_19549-close-fridge: 0.642428981642297
P15_01_19739-pick-up-bowl: 0.05642175675438921
P15_03_19816-close-drawer: 0.7094008947460679
P15_03_19848-dry-pan: 0.07494726190634537
P15_08_19995-open-drawer: 0.009513323394116924
P15_08_19998-pick-up-cloth: 0.01862784104373502
P15_08_20028-put-away-glass: 0.9496253352554049
P15_08_20061-put-down-cloth: 0.0369952373112028
P15_13_20124-place-bowl: 0.007239554407533433
P15_13_20139-rinse-lid: 0.9424387740873499
P15_13_20166-rinse-cloth: 0.04572656480013393
P17_03_20405-close-tap: 0.5522034220630303
P17_04_20444-open-fridge: 0.3770566278035403
P19_03_21333-close-cupboard: 0.9212231989658903
P19_04_21364-open-fridge: 0.2598272022223682
P20_01_21490-rinse-meat: 0.6743947827926604
P20_01_21503-rinse-meat: 0.3710598902980564
P20_01_21556-pick-up-bowl: 0.472684741728699
P20_01_21560-rinse-bowl: 0.11204562989132683
P20_01_21588-open-drawer: 0.8119640186632751
P20_01_21611-rinse-spatula: 0.8887889708548755
P20_01_21617-rinse-spatula: 0.4966184212516964
P20_01_21626-flip-meat: 0.897543176470208
P20_01_21640-flip-meat: 0.8989070434327004
P20_01_21644-press-spatula: 0.5194454092979868
P20_01_21652-press-spatula: 0.7394919001653761
P20_01_21658-stir-meat: 0.04171280319860671
P20_01_21671-press-spatula: 0.8238773741450132
P20_01_21676-stir-meat: 0.007206026144558564
P20_01_21684-flip-meat: 0.8181145097332774
P20_01_21686-press-spatula: 0.8990042619097949
P20_01_21699-stir-meat: 0.11937397193105426
P20_01_21711-press-spatula: 0.8747902926679672
P20_01_21745-flip-meat: 0.7219950474536745
P20_01_21755-press-spatula: 0.7494224905658484
P20_01_21757-press-spatula: 0.918379300941524
P20_01_21758-press-spatula: 0.8876509959500254
P20_01_21764-move-meat: 0.5862403634673683
P20_01_21798-pick-up-meat: 0.8274028253945289
P20_01_21820-pick-up-spatula: 0.5550217935506225
P20_01_21824-put-down-spatula: 0.7718313261557341
P20_02_21843-turn-on-tap: 0.769584639579989
P20_02_21859-wash-bowl: 0.6930796667102186
