Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_core8_fade_test_summed.pt
P08_05_13434-put-lid: 0.02756645979025052
P08_05_13493-place-plate: 0.14869876442901386
P08_06_13609-close-fridge: 0.4223353341585607
P08_06_13617-open-drawer: 0.8522152767254738
P08_06_13618-place-knife: 0.09899763056819211
P08_06_13629-wipe-off-pan: 0.859863066158141
P08_11_13977-get-cloth: 0.877060516475467
P08_18_14449-wipe-bowl: 0.008898142606085457
P08_18_14507-water-sponge: 0.4061862141752499
P08_18_14508-squeeze-sponge: 0.6009286919070291
P08_18_14512-water-sponge: 0.7323516574615496
P08_18_14524-water-sponge: 0.8321941196845728
P08_18_14525-squeeze-sponge: 0.662048084421258
P08_18_14531-water-sponge: 0.7296960616877186
P08_19_14557-close-fridge: 0.4776071994929225
P08_21_14640-take-out-glass: 0.634903261292493
P08_21_14646-place-pan: 0.6828716006566538
P08_21_14658-place-in-cupboard: 0.3142280418833252
P08_21_14669-place-in-cupboard: 0.06378616929941927
P08_21_14811-close-cupboard: 0.8328163022815716
P08_21_14812-open-cupboard: 0.8795178830332588
P08_22_14989-place-sponge: 0.5228915077095735
P08_22_14997-place-sponge: 0.6080468033833313
P08_23_15214-get-potato: 0.41652589515433647
P08_24_15331-get-potato: 0.8990466465766076
P08_24_15333-cut-potato: 0.8302306897530798
P08_25_15415-get-plate: 0.7900238609872758
P08_26_15435-get-pan: 0.7140588253241731
P08_26_15438-get-bowl: 0.028884978054520616
P08_26_15444-place-bowl: 0.00431753034627036
P08_26_15453-close-drawer: 0.6410737359401537
P08_26_15455-get-bottle: 0.09541269029432442
P08_26_15490-move-bowl: 0.5105619495834617
P08_26_15501-clean-sponge: 0.7345917669517803
P10_01_15872-move-pot: 0.6003553466289304
P10_01_15913-shake-pot: 0.7070867353468202
P10_01_15944-put-pot: 0.5837304414599203
P10_04_16497-throw-bottle: 0.01439886926833367
P10_04_16580-clean-pot: 0.03029377877828665
P12_02_18571-wash-knife: 0.3667477774361032
P12_02_18604-wash-knife: 0.07945838267187355
P12_02_18631-wash-knife: 0.004284488132952902
P12_02_18711-fill-glass: 0.023582764522871003
P12_06_18977-take-cloth: 0.31854589536669664
P12_06_19001-put-plate: 0.0018194160803304271
P12_06_19002-open-bottle: 0.0057290988152089994
P13_07_19294-open-drawer: 0.8542222989926813
P13_08_19320-take-onion: 0.09793412216686193
P13_08_19332-put-down-onion: 0.43140691325243097
P13_08_19339-cut-onion: 0.8929991542099742
P13_08_19345-put-down-knife: 0.006279756492936883
P13_08_19357-pick-up-pot: 0.7476678513339721
P13_08_19377-change-pot: 0.6903288028552197
P13_08_19391-put-down-plate: 0.8149383557029068
P13_09_19504-put-pan: 0.7491666332789464
P13_09_19511-drain-pot: 0.5381532441242598
P13_09_19516-close-drawer: 0.2799528228788404
P13_09_19528-close-drawer: 0.9269214437081246
P13_09_19549-close-fridge: 0.5482502454324276
P15_01_19739-pick-up-bowl: 0.018529545525780122
P15_03_19816-close-drawer: 0.6199306870548753
