Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_core8_cylinder_summed.pt
P08_26_15453-close-drawer: 0.20381134311537608
P08_26_15455-get-bottle: 0.2526327291211601
P08_26_15490-move-bowl: 0.8429139826566825
P08_26_15501-clean-sponge: 0.6780971051354072
P10_01_15872-move-pot: 0.7485172866423113
P10_01_15913-shake-pot: 0.8222651541278196
P10_01_15944-put-pot: 0.5667557876136584
P10_04_16497-throw-bottle: 0.05565285553526822
P10_04_16580-clean-pot: 0.012251062805717083
P12_02_18571-wash-knife: 0.19597681065806682
P12_02_18604-wash-knife: 0.14872095882037684
P12_02_18631-wash-knife: 0.00667143037594542
P12_02_18711-fill-glass: 0.0006620869276238049
P12_06_18977-take-cloth: 0.03665580403526292
P12_06_19001-put-plate: 0.0037375698037749316
P12_06_19002-open-bottle: 0.6192467954183485
P13_07_19294-open-drawer: 0.8844142644666135
P13_08_19320-take-onion: 0.0003188312210444799
P13_08_19332-put-down-onion: 0.27261757454016333
P13_08_19339-cut-onion: 0.45835069123768335
P13_08_19345-put-down-knife: 0.03858254672104522
P13_08_19357-pick-up-pot: 0.8123273548249585
P13_08_19377-change-pot: 0.11630338397168316
P13_08_19391-put-down-plate: 0.7771912976941167
P13_09_19504-put-pan: 0.8399473840964902
P13_09_19511-drain-pot: 0.15359337805290352
P13_09_19516-close-drawer: 0.4834484178572893
P13_09_19528-close-drawer: 0.997475930955261
P13_09_19549-close-fridge: 0.6592708196385502
P15_01_19739-pick-up-bowl: 0.047377080303331084
P15_03_19816-close-drawer: 0.9277535169385374
P15_03_19848-dry-pan: 0.47992503353282245
P15_08_19995-open-drawer: 0.14696623082662175
P15_08_19998-pick-up-cloth: 0.0005138188943100419
P15_08_20028-put-away-glass: 0.3887282328716992
P15_08_20061-put-down-cloth: 0.017122303148653373
P15_13_20124-place-bowl: 0.009312331497213222
P15_13_20139-rinse-lid: 0.5519457121558844
P15_13_20166-rinse-cloth: 0.16600641453101161
P17_03_20405-close-tap: 0.0017506876398272198
P17_04_20444-open-fridge: 0.2584586109860538
P19_03_21333-close-cupboard: 0.8239998939825455
P19_04_21364-open-fridge: 0.8077996043848543
P20_01_21490-rinse-meat: 0.005450349464983406
P20_01_21503-rinse-meat: 0.042194845854045315
P20_01_21556-pick-up-bowl: 0.8165352909945796
P20_01_21560-rinse-bowl: 0.1600218682664927
P20_01_21588-open-drawer: 0.875058660749346
P20_01_21611-rinse-spatula: 0.7407918353910645
P20_01_21617-rinse-spatula: 0.19944064778428583
P20_01_21626-flip-meat: 0.8283498011059578
P20_01_21640-flip-meat: 0.798135491413575
P20_01_21644-press-spatula: 0.12571048558311304
P20_01_21652-press-spatula: 0.12447444530516805
P20_01_21658-stir-meat: 0.6318111795462187
P20_01_21671-press-spatula: 0.669952794944038
P20_01_21676-stir-meat: 0.5863269323944564
P20_01_21684-flip-meat: 0.724777431552809
P20_01_21686-press-spatula: 0.7947748750793835
P20_01_21699-stir-meat: 0.20255223019006507
