The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_grad_cam_full_layer3_test.pt
P24_05_30256-put-glass: 0.83601303565882
P24_06_30353-grab-spoon: 0.6224966800223817
P24_06_30384-rinse-sponge: 0.009249798276041653
P24_06_30417-rinse-fork: 0.17439229145792184
P24_06_30419-rinse-fork: 0.5538844523476619
P24_07_30534-pick-up-cloth: 0.30375089246560544
P24_07_30551-put-down-fork: 0.11495238139926892
P24_07_30569-turn-meat: 0.16460208231948462
P24_08_30653-pick-up-pot: 0.05576709261091024
P24_08_30656-put-pot: 0.39113292363928814
P24_08_30692-cut-onion: 0.4025548957251743
P24_08_30777-pick-up-lid: 0.2780569195126494
P24_08_30836-take-bottle: 0.24438981510260527
P24_08_30897-pick-up-lid: 0.2234618065951794
P24_08_30965-open-tap: 0.0006205845965750461
P25_02_31371-pick-up-pot: 0.3114986852395768
P25_02_31387-put-down-lid: 0.0010434558215168819
P25_02_31397-turn-tap: 0.29554606392687444
P25_02_31398-turn-tap: 0.15307576644654367
P25_05_31483-put-down-pan: 0.14255089263121287
P25_05_31499-close-tap: 0.1699264828480926
P25_05_31558-open-cupboard: 0.5142220286615923
P25_05_31564-put-down-fork: 0.12418749012126058
P25_05_31574-pick-up-spoon: 0.05631590328959967
P25_12_31949-open-drawer: 0.2979594525168924
P26_02_32021-put-down-fork: 0.15077124316172272
P26_02_32022-open-fridge: 0.518840082121246
P26_02_32061-put-down-fork: 0.2588170020838779
P26_03_32116-lather-pan: 0.5956908345806833
P26_03_32126-rinse-glass: 0.581537382626066
P26_03_32127-soap-glass: 0.8350701342610752
P26_04_32152-put-lid: 0.6538585811196005
P26_06_32189-close-lid: 0.7909184106278653
P26_08_32201-put-down-spoon: 0.45813961024304817
P26_09_32220-pick-up-pot: 0.17341727339753918
P26_09_32221-put-down-pot: 0.3041073123175724
P26_09_32230-pick-up-pot: 0.12242955168088278
P26_10_32236-pick-up-pot: 0.03647303643143352
P26_10_32241-put-pot: 0.010343751846812665
P26_10_32247-open-fridge: 0.32902910079734
P26_12_32292-close-lid: 0.5305851221851566
P26_13_32297-open-lid: 0.7747263389621295
P26_13_32317-put-down-spoon: 0.7635895454434349
P26_13_32319-put-lid: 0.6597040317514363
P26_17_32347-take-spoon: 0.6347819984561819
P26_17_32353-put-down-plate: 0.7206590680222885
P26_18_32372-take-plate: 0.0739499520181733
P26_19_32404-pick-up-pot: 0.0007517491762330025
P26_19_32434-put-down-glass: 0.3743083003689261
P26_19_32490-pick-up-pot: 0.52836803243879
P26_19_32492-put-pot: 0.31215073513049707
P26_21_32505-close-cupboard: 0.47814491087680355
P26_28_32674-grab-fork: 0.007749293475753089
P26_29_32690-put-lid: 0.8584337132818559
P27_01_32893-pick-up-fork: 0.011064121965318918
P27_04_33002-place-sponge: 0.09912976560128085
P27_06_33144-pick-up-spoon: 0.5547938799960356
P27_06_33145-pick-up-fork: 0.13660607752664125
P27_07_33177-take-cloth: 0.001048838317807417
P27_07_33257-turn-on-tap: 0.16300739862170874
P28_01_33343-put-down-pan: 0.7958939320608681
P28_02_33398-put-down-spatula: 0.1394047066236061
P28_02_33400-wash-knife: 0.4010260016730457
P28_02_33474-turn-on-tap: 0.3611282417002846
P28_02_33479-turn-on-tap: 0.2591669811045422
P28_02_33489-turn-on-tap: 0.06732103430036017
P28_03_33614-peel-potato: 0.39591483709347597
P28_03_33621-turn-off-tap: 0.0833262677249663
P28_04_33682-cut-potato: 0.1381532945140612
P28_05_33779-put-down-knife: 0.09438737109120862
P28_06_33862-take-knife: 0.27119095051734177
P28_06_33958-take-spoon: 0.06945836593342178
P28_08_34040-wash-knife: 0.1033557589385001
P28_09_34091-open-fridge: 0.40127835830710096
P28_09_34141-turn-on-tap: 0.31937100188989265
P28_13_34301-put-pan: 0.48320054410427227
P28_14_34393-put-down-sponge: 0.30552507974572624
P28_14_34394-turn-on-tap: 0.14938503292699654
P28_14_34396-turn-off-tap: 0.21918813124956454
P29_01_34867-chop-onion: 0.4557489720374054
P29_01_34868-chop-onion: 0.5246187225787663
P29_01_34877-chop-onion: 0.4184595340305903
P29_01_34902-chop-onion: 0.6367551671414107
P29_02_35181-move-fork: 0.0900269898896416
P29_02_35206-open-drawer: 0.3190927127339676
P29_03_35254-put-down-glass: 0.9140469376363006
P29_03_35265-close-cupboard: 0.3907890948485218
P29_03_35296-move-pan: 0.8557035994003801
P29_03_35335-pick-up-spatula: 0.28072285720845686
P29_03_35355-pick-up-fork: 0.37585054228411
P29_03_35439-pick-up-bowl: 0.44285963721135085
P29_03_35461-rinse-bowl: 0.13034002355792942
P29_03_35497-scour-knife: 0.001774170339294691
P29_03_35528-pick-up-plate: 0.262782114276699
P29_03_35562-scour-spatula: 0.35827582511439116
P29_03_35564-scour-spatula: 0.25617144139867054
P29_03_35632-pick-up-bowl: 0.052921579573668685
P29_04_35774-open-fridge: 0.476479021342946
P30_03_36639-clean-knife: 0.1883274884784923
P30_04_36678-take-fork: 0.02077801050800903
P30_05_36874-put-onion: 0.13624785647216234
P30_05_36904-chop-onion: 0.6111609366001086
P30_05_36922-chop-onion: 0.4586230413221261
P30_05_37020-open-cupboard: 0.4215153524615601
P30_05_37240-open-cupboard: 0.5212251478623525
P30_05_37272-wash-spoon: 0.1804310046191163
P30_05_37511-take-plate: 0.6642544668094784
P30_05_37535-empty-bottle: 0.18881047230725195
P30_06_37605-dry-fork: 0.35938529191429125
P30_06_37668-rinse-plate: 0.9873679917524842
P30_06_37674-rinse-bowl: 0.24662858701365836
P30_10_38341-take-spoon: 0.6260083804254
P30_10_38504-rinse-fork: 0.0011158138575161037
P30_10_38535-take-spoon: 0.5760554501713783
P30_10_38579-rinse-sponge: 0.0011655485933171768
P30_11_38596-rinse-plate: 0.8432792823396477
P30_11_38661-wash-spoon: 0.7627737398469345
P30_11_38673-rise-sponge: 0.019231236531563542
P31_01_38722-take-glass: 0.05744785003217996
P31_08_38926-open-fridge: 0.2024771802346496
P31_08_38943-open-fridge: 0.25681103943463635
Average: 0.0/0.376632765570556
