Loaded /home/lzq/ExpEval/exe_res/epic_r50l_la_full.pt
P08_21_14669-place-in-cupboard: 0.08370720475068083
P08_21_14811-close-cupboard: 0.21718522215815028
P08_21_14812-open-cupboard: 0.24031710981944343
P08_22_14989-place-sponge: 0.4013447533521912
P08_22_14997-place-sponge: 0.33641178022810436
P08_23_15214-get-potato: 0.04862303114964561
P08_24_15331-get-potato: 0.22900232919960217
P08_24_15333-cut-potato: 0.2700339715509017
P08_25_15415-get-plate: 0.7621986382482646
P08_26_15435-get-pan: 0.39888671716926183
P08_26_15438-get-bowl: 0.09646664694992069
P08_26_15444-place-bowl: 0.5595718491367734
P08_26_15453-close-drawer: 0.09728018463647459
P08_26_15455-get-bottle: 0.002394093662587693
P08_26_15490-move-bowl: 0.409954753891725
P08_26_15501-clean-sponge: 0.5669368864197395
P10_01_15872-move-pot: 0.027238149339495976
P10_01_15913-shake-pot: 0.17921667397411056
P10_01_15944-put-pot: 0.08854169506037124
P10_04_16497-throw-bottle: 6.220678045920636e-05
P10_04_16580-clean-pot: 0.02706859307937748
P12_02_18571-wash-knife: 0.07101485565090115
P12_02_18604-wash-knife: 0.0222537343042859
P12_02_18631-wash-knife: 0.007804699976304619
P12_02_18711-fill-glass: 0.059928523190611406
P12_06_18977-take-cloth: 8.78464927609457e-05
P12_06_19001-put-plate: 0.033393275478431406
P12_06_19002-open-bottle: 0.005341769541701069
P13_07_19294-open-drawer: 0.17200941732153296
P13_08_19320-take-onion: 0.002603708572502139
P13_08_19332-put-down-onion: 0.1002178755506975
P13_08_19339-cut-onion: 0.15991151634716516
P13_08_19345-put-down-knife: 0.057422053546360985
P13_08_19357-pick-up-pot: 0.25457143751361855
P13_08_19377-change-pot: 0.0059126707254790745
P13_08_19391-put-down-plate: 0.8861677214345036
P13_09_19504-put-pan: 0.6208830888035664
P13_09_19511-drain-pot: 0.010179762173606832
P13_09_19516-close-drawer: 0.4494327921420336
P13_09_19528-close-drawer: 0.27400795510038733
P13_09_19549-close-fridge: 0.09263009987625992
P15_01_19739-pick-up-bowl: 0.15306894165368265
P15_03_19816-close-drawer: 0.3473647623322904
P15_03_19848-dry-pan: 0.01211700775911595
P15_08_19995-open-drawer: 0.037259586857737226
P15_08_19998-pick-up-cloth: 0.000193578242815462
P15_08_20028-put-away-glass: 0.47841403056304443
P15_08_20061-put-down-cloth: 0.0037802081189965975
P15_13_20124-place-bowl: 0.061958657390704275
P15_13_20139-rinse-lid: 0.1889059503741919
P15_13_20166-rinse-cloth: 0.02356296878701869
P17_03_20405-close-tap: 0.0016922260764573593
P17_04_20444-open-fridge: 0.01598672233376419
P19_03_21333-close-cupboard: 0.11075777102814754
P19_04_21364-open-fridge: 0.00988560695986962
P20_01_21490-rinse-meat: 0.00018759405447173194
P20_01_21503-rinse-meat: 0.0002612152900396403
P20_01_21556-pick-up-bowl: 0.48023929884766403
P20_01_21560-rinse-bowl: 0.28917944124027417
P20_01_21588-open-drawer: 0.2645101645030081
