The visualization results will not be visualized and save.
Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_perturb_full_summed.pt
P20_01_21686-press-spatula: 0.5133425843817474
P20_01_21699-stir-meat: 0.1976447990438079
P20_01_21711-press-spatula: 0.5073824350986922
P20_01_21745-flip-meat: 0.47052657270037074
P20_01_21755-press-spatula: 0.5766965379470539
P20_01_21757-press-spatula: 0.5401621017908659
P20_01_21758-press-spatula: 0.38972911266815463
P20_01_21764-move-meat: 0.40162670884427487
P20_01_21798-pick-up-meat: 0.59042622618852
P20_01_21820-pick-up-spatula: 0.2315676877868599
P20_01_21824-put-down-spatula: 0.4790156670667998
P20_02_21843-turn-on-tap: 0.46506615335158275
P20_02_21859-wash-bowl: 0.632141959997734
P20_03_21981-put-fork: 0.003969195490780695
P20_04_22059-pick-up-meat: 0.034892000692129575
P20_04_22090-rinse-meat: 0.5518437237022262
P20_04_22188-open-drawer: 0.010523215798186322
P20_04_22222-wash-knife: 0.11980542898789852
P20_04_22308-put-down-spatula: 0.35627971158440536
P20_04_22332-open-fridge: 0.27047017341589225
P21_01_22625-close-fridge: 0.0017185982563258971
P22_05_24164-place-bottle: 0.7439289761524575
P22_06_24730-lather-glass: 0.28838800846361645
P22_06_24739-lather-fork: 0.26245998690708305
P22_07_24883-rinse-cloth: 0.13382088567185052
P22_07_24894-lather-glass: 0.46169823887301426
P22_07_24993-put-down-cloth: 0.8838346438701539
P22_07_25167-put-down-pot: 0.012027822966760426
P22_07_25302-rinse-spoon: 0.3315348184357087
P22_07_25325-pick-up-plate: 0.8270025571771696
P22_07_25357-put-down-glass: 0.004046032441193329
P22_07_25363-remove-plate: 0.025868558317568957
P22_07_25364-remove-plate: 0.7634528571776316
P22_08_25638-close-tap: 0.0004669725564406904
P22_08_25664-lather-plate: 0.9892063292802549
P22_08_25702-empty-pot: 0.30383356606551243
P22_08_25740-pick-up-pan: 0.33449785794113196
P22_08_25748-lather-pan: 0.6966181917225613
P22_08_25752-rinse-spoon: 0.43716246273651643
P22_08_25853-rinse-glass: 0.26912117562457627
P22_08_25857-rinse-cloth: 0.3114266168408315
P22_09_26001-put-down-plate: 0.9693528679071688
P22_09_26033-open-drawer: 0.4161860073167904
P22_09_26061-lather-bowl: 0.004330094267303745
P22_09_26136-rinse-cloth: 0.47478162985404626
P22_10_26287-rinse-bowl: 0.34563239784454747
P22_10_26318-pick-up-spoon: 0.07209752447464887
P22_10_26319-lather-spoon: 0.023718551887820166
P22_10_26340-pick-up-bowl: 0.23482026051428606
P22_10_26426-lather-glass: 0.7530803004608435
P22_10_26508-empty-bottle: 0.010257532776659348
P22_10_26511-empty-bottle: 0.011430155887615447
P22_11_26606-place-glass: 0.6526619724491063
P22_11_26644-put-down-bowl: 0.3746181201217148
P22_11_26763-rinse-glass: 0.05357346929283499
P22_12_26841-open-drawer: 0.5172129317424169
P22_12_26959-put-plate: 0.5270897789328706
P22_13_27105-open-tap: 0.5185844945410888
P22_13_27110-rinse-sponge: 0.13239633471832848
P22_13_27135-rinse-sponge: 0.166751003342078
P22_13_27154-rinse-knife: 0.5938052365574621
P22_13_27218-wash-cloth: 0.4233772705546489
P22_14_27373-open-drawer: 0.42905050684679663
P22_14_27404-open-tap: 0.44978739722978833
P22_14_27451-put-down-bowl: 0.05936612434246961
P22_14_27458-lather-knife: 0.39275440640528414
P22_14_27459-rinse-knife: 0.0566996200389101
P22_14_27462-put-down-spatula: 0.0003606787055328003
P22_15_27640-put-down-plate: 0.9189113269833957
P22_15_27737-close-tap: 0.0016505585968558329
P22_16_27934-put-down-cloth: 0.5460320947728321
P22_16_28015-cut-onion: 0.8549541043848091
P22_16_28020-peel-onion: 0.9027865208247129
P22_16_28022-peel-onion: 0.9095195419538546
P22_16_28038-slice-onion: 0.8767446196583264
P22_16_28319-move-cloth: 0.1572822529183445
P22_16_28320-pick-up-cloth: 0.06540060033108674
P22_16_28411-open-drawer: 0.4526236322945824
P22_17_28425-move-bowl: 0.2640230733225597
P22_17_28449-lather-fork: 0.2353044612369701
P22_17_28547-put-down-pan: 0.42895063859976684
P22_17_28573-open-tap: 0.0013303105269598374
P22_17_28584-lather-fork: 0.48377332868894524
P22_17_28642-fill-bottle: 0.25536153021396374
P22_17_28649-rinse-bottle: 0.048248324053836805
P22_17_28658-rinse-sponge: 0.013594422884760243
P22_17_28740-pick-up-plate: 0.9898997878327089
P22_17_28854-put-down-glass: 0.3224840482076009
P22_17_28855-put-down-glass: 0.1708526521775068
P22_17_28870-put-down-plate: 0.4181488868068246
P22_17_28903-dry-knife: 0.46778381357024257
P23_02_29082-wash-plate: 0.982679961125056
P23_02_29125-open-fridge: 0.3903096079351563
P23_02_29204-close-tap: 0.041198511334026564
P23_04_29364-clean-bowl: 0.39272246946690276
P24_01_29576-grab-cloth: 0.530642369731932
P24_02_29640-open-fridge: 0.35460911257484673
P24_02_29661-close-fridge: 0.3245749441952463
P24_02_29710-turn-meat: 0.4285094076073637
P24_02_29718-cut-meat: 0.5683243130425027
P24_02_29727-take-meat: 0.014037323226312211
P24_02_29739-flip-meat: 0.5016586959179418
P24_02_29747-check-meat: 0.4681727495117515
P24_02_29778-turn-meat: 0.49551596576347945
P24_02_29781-put-meat: 0.022156101352005613
P24_02_29785-take-cloth: 0.02120858760294961
P24_03_29796-pick-up-plate: 0.2932498607327123
P24_03_29802-rinse-sponge: 0.4607533326354243
P24_03_29811-lather-fork: 0.4259294202149499
P24_03_29903-rinse-sponge: 0.5486814590116196
P24_03_29914-pick-up-cloth: 0.2976350980628209
P24_04_29996-lather-knife: 0.6991717351719225
P24_05_30046-pick-up-lid: 0.9074173475597419
P24_05_30062-put-down-plate: 0.9532556124761993
P24_05_30105-move-pot: 0.03178316686375468
P24_05_30194-lift-lid: 0.4287236831936182
P24_05_30195-put-down-lid: 0.02620242098811443
P24_05_30226-rinse-knife: 0.23412819153391848
P24_05_30256-put-glass: 0.42114575216729266
P24_06_30353-grab-spoon: 0.2843057805982729
P24_06_30384-rinse-sponge: 0.009253884716799447
P24_06_30417-rinse-fork: 0.4030481370056377
P24_06_30419-rinse-fork: 0.792531335036106
P24_07_30534-pick-up-cloth: 0.019786213183154662
P24_07_30551-put-down-fork: 0.0020365416769253914
P24_07_30569-turn-meat: 0.00843031190372273
P24_08_30653-pick-up-pot: 0.011158838252737826
P24_08_30656-put-pot: 0.4010238020260837
