Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full_abs2.pt
P22_17_28449-lather-fork: 0.012823367025106336
P22_17_28547-put-down-pan: 0.014112154389607667
P22_17_28573-open-tap: 0.0010986942972070202
P22_17_28584-lather-fork: 0.6794612968660658
P22_17_28642-fill-bottle: 0.35036430003628993
P22_17_28649-rinse-bottle: 0.6679547486050978
P22_17_28658-rinse-sponge: 0.008995204560164893
P22_17_28740-pick-up-plate: 0.9484886611653565
P22_17_28854-put-down-glass: 0.4041740694585769
P22_17_28855-put-down-glass: 0.28002384938668
P22_17_28870-put-down-plate: 0.550069873065695
P22_17_28903-dry-knife: 0.20948019007937546
P23_02_29082-wash-plate: 0.7358645769609211
P23_02_29125-open-fridge: 0.6797275504923164
P23_02_29204-close-tap: 0.006660478489891375
P23_04_29364-clean-bowl: 0.8318338987537572
P24_01_29576-grab-cloth: 0.5798656401077551
P24_02_29640-open-fridge: 0.7675728685117065
P24_02_29661-close-fridge: 0.7373013988963066
P24_02_29710-turn-meat: 0.6374500704459365
P24_02_29718-cut-meat: 0.6333338332823928
P24_02_29727-take-meat: 0.0011181124975161438
P24_02_29739-flip-meat: 0.6306209874800857
P24_02_29747-check-meat: 0.7312148523978408
P24_02_29778-turn-meat: 0.7430529905013259
P24_02_29781-put-meat: 0.0005308452209078496
P24_02_29785-take-cloth: 0.0900196523782597
P24_03_29796-pick-up-plate: 0.8925839998601077
P24_03_29802-rinse-sponge: 0.7817460657257698
P24_03_29811-lather-fork: 0.6831204476620769
P24_03_29903-rinse-sponge: 0.7244789959091804
P24_03_29914-pick-up-cloth: 0.08115349799322757
P24_04_29996-lather-knife: 0.8309782167316371
P24_05_30046-pick-up-lid: 0.8940045505009948
P24_05_30062-put-down-plate: 0.9422404268598257
P24_05_30105-move-pot: 0.007988869578696267
P24_05_30194-lift-lid: 0.28481242139287133
P24_05_30195-put-down-lid: 0.43785261476341475
P24_05_30226-rinse-knife: 0.06918354250967784
P24_05_30256-put-glass: 0.6951075818426489
P24_06_30353-grab-spoon: 0.9244717691399273
P24_06_30384-rinse-sponge: 0.20542395870521446
P24_06_30417-rinse-fork: 0.006975720324589929
P24_06_30419-rinse-fork: 0.339390322289546
P24_07_30534-pick-up-cloth: 0.0002999377986725449
P24_07_30551-put-down-fork: 0.012134952874248484
P24_07_30569-turn-meat: 0.04716158423065053
P24_08_30653-pick-up-pot: 0.009516965973451922
P24_08_30656-put-pot: 0.4414371365260763
P24_08_30692-cut-onion: 0.6182956909678978
P24_08_30777-pick-up-lid: 0.5237416999593734
P24_08_30836-take-bottle: 8.94579274361136e-05
P24_08_30897-pick-up-lid: 0.3185088948525845
P24_08_30965-open-tap: 0.36126144666394566
P25_02_31371-pick-up-pot: 0.00471481400978746
