Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_summed.pt
P08_02_13102-place-back-sponge: 0.6866770745415351
P08_04_13145-get-cloth: 0.0040448629213187814
P08_04_13158-close-drawer: 0.43533657933585346
P08_04_13162-place-in-cupboard: 0.24472854860509108
P08_05_13210-wash-potato: 0.004641094253713618
P08_05_13239-close-cupboard: 0.6299368502950529
P08_05_13371-get-knife: 0.7525788677276068
P08_05_13378-get-spoon: 0.3867489263720927
P08_05_13398-open-fridge: 0.809873808071643
P08_05_13401-open-lid: 0.6978397851057707
P08_05_13413-open-cupboard: 0.6490718186723825
P08_05_13434-put-lid: 0.25193447896208454
P08_05_13493-place-plate: 0.0113806785163632
P08_06_13609-close-fridge: 0.280809003756076
P08_06_13617-open-drawer: 0.48984149983152747
P08_06_13618-place-knife: 0.011802290287619144
P08_06_13629-wipe-off-pan: 0.6667428737365526
P08_11_13977-get-cloth: 0.25139217854871276
P08_18_14449-wipe-bowl: 0.8414703034450213
P08_18_14507-water-sponge: 0.32795691969079144
P08_18_14508-squeeze-sponge: 0.654473105461534
P08_18_14512-water-sponge: 0.3415254368607066
P08_18_14524-water-sponge: 0.69030106628054
P08_18_14525-squeeze-sponge: 0.7949720984485111
P08_18_14531-water-sponge: 0.6940561896350346
P08_19_14557-close-fridge: 0.7138720638013183
P08_21_14640-take-out-glass: 0.1645922236414208
P08_21_14646-place-pan: 0.0730877887818906
P08_21_14658-place-in-cupboard: 0.26386480491350994
P08_21_14669-place-in-cupboard: 0.8135565315751592
P08_21_14811-close-cupboard: 0.6396657322911778
P08_21_14812-open-cupboard: 0.701574150371016
P08_22_14989-place-sponge: 0.48100084766485907
P08_22_14997-place-sponge: 0.4819301427502296
P08_23_15214-get-potato: 0.4036547487177131
P08_24_15331-get-potato: 0.3879983002826748
P08_24_15333-cut-potato: 0.4273525338195441
P08_25_15415-get-plate: 0.7217416875837444
P08_26_15435-get-pan: 0.45099753911028984
P08_26_15438-get-bowl: 0.24619943307516223
P08_26_15444-place-bowl: 0.7706315386694769
P08_26_15453-close-drawer: 0.4188718454061018
P08_26_15455-get-bottle: 0.38203968793959575
P08_26_15490-move-bowl: 0.8809258911878715
P08_26_15501-clean-sponge: 0.6663286448616645
P10_01_15872-move-pot: 0.5934019802649004
P10_01_15913-shake-pot: 0.6379658043429686
P10_01_15944-put-pot: 0.5306188623931689
P10_04_16497-throw-bottle: 0.10593388100457135
P10_04_16580-clean-pot: 0.004995000104372593
P12_02_18571-wash-knife: 0.28751927813300426
P12_02_18604-wash-knife: 0.0637547910127978
P12_02_18631-wash-knife: 0.004574508239102215
P12_02_18711-fill-glass: 0.0009145747640294398
P12_06_18977-take-cloth: 0.07608934294898972
P12_06_19001-put-plate: 0.0032891254112428214
P12_06_19002-open-bottle: 0.6090364005590345
P13_07_19294-open-drawer: 0.9275857894681394
P13_08_19320-take-onion: 0.0006185864138719133
P13_08_19332-put-down-onion: 0.3604024609003318
P13_08_19339-cut-onion: 0.35705268684887415
P13_08_19345-put-down-knife: 0.048815878192726814
P13_08_19357-pick-up-pot: 0.6092031296853406
P13_08_19377-change-pot: 0.1864230182423512
P13_08_19391-put-down-plate: 0.9155811831196843
P13_09_19504-put-pan: 0.8431259209884274
P13_09_19511-drain-pot: 0.11413778542060982
P13_09_19516-close-drawer: 0.44156852550804615
P13_09_19528-close-drawer: 0.9981173961423337
P13_09_19549-close-fridge: 0.4918982949002384
P15_01_19739-pick-up-bowl: 0.05385756922950334
P15_03_19816-close-drawer: 0.9751722305081785
P15_03_19848-dry-pan: 0.4810720057122353
P15_08_19995-open-drawer: 0.17942481930757115
P15_08_19998-pick-up-cloth: 0.0002830409438182857
P15_08_20028-put-away-glass: 0.617010773908305
P15_08_20061-put-down-cloth: 0.06746507344200836
P15_13_20124-place-bowl: 0.02431208994939027
P15_13_20139-rinse-lid: 0.6562109251685797
P15_13_20166-rinse-cloth: 0.21205791675879482
P17_03_20405-close-tap: 0.004656614539811699
P17_04_20444-open-fridge: 0.2775932516797184
P19_03_21333-close-cupboard: 0.7448670986486832
P19_04_21364-open-fridge: 0.7690661220240145
P20_01_21490-rinse-meat: 0.0035380867086059475
P20_01_21503-rinse-meat: 0.013891834533513947
P20_01_21556-pick-up-bowl: 0.9191132753276179
P20_01_21560-rinse-bowl: 0.3697245090383586
P20_01_21588-open-drawer: 0.9499545195139945
P20_01_21611-rinse-spatula: 0.5227527399893006
P20_01_21617-rinse-spatula: 0.08312374067645578
P20_01_21626-flip-meat: 0.8530643306202705
P20_01_21640-flip-meat: 0.8473818622059639
P20_01_21644-press-spatula: 0.03483461410360178
P20_01_21652-press-spatula: 0.15224486770421208
P20_01_21658-stir-meat: 0.6491521972693022
P20_01_21671-press-spatula: 0.6634943932640454
P20_01_21676-stir-meat: 0.6307384128212448
P20_01_21684-flip-meat: 0.7169192743949111
P20_01_21686-press-spatula: 0.7983206957924267
P20_01_21699-stir-meat: 0.3085067431438233
P20_01_21711-press-spatula: 0.8306284994232556
P20_01_21745-flip-meat: 0.7673893508962806
P20_01_21755-press-spatula: 0.9354793876755139
P20_01_21757-press-spatula: 0.8833610862839123
P20_01_21758-press-spatula: 0.8654771638448437
P20_01_21764-move-meat: 0.48802482322747665
P20_01_21798-pick-up-meat: 0.7724891378074403
P20_01_21820-pick-up-spatula: 0.6478723776872357
P20_01_21824-put-down-spatula: 0.8833674674733629
P20_02_21843-turn-on-tap: 0.7962919065554388
P20_02_21859-wash-bowl: 0.9230022995852778
P20_03_21981-put-fork: 0.018562846834389246
P20_04_22059-pick-up-meat: 0.06822539204398481
P20_04_22090-rinse-meat: 0.23456060709389703
P20_04_22188-open-drawer: 0.3826798415320809
P20_04_22222-wash-knife: 0.01586137676485999
P20_04_22308-put-down-spatula: 0.8721318501393398
P20_04_22332-open-fridge: 0.31737613760742533
P21_01_22625-close-fridge: 0.603700122459486
P22_05_24164-place-bottle: 0.8511650207160528
P22_06_24730-lather-glass: 0.08363658858365852
P22_06_24739-lather-fork: 0.41162407652882393
P22_07_24883-rinse-cloth: 0.606953237749849
P22_07_24894-lather-glass: 0.02687515314400457
P22_07_24993-put-down-cloth: 0.6862109383421284
P22_07_25167-put-down-pot: 0.08764190063681099
P22_07_25302-rinse-spoon: 0.014629962046456058
P22_07_25325-pick-up-plate: 0.773020871526569
P22_07_25357-put-down-glass: 0.024180092116921514
P22_07_25363-remove-plate: 0.12640052473670949
P22_07_25364-remove-plate: 0.6669732111813573
P22_08_25638-close-tap: 0.0005562701780415908
P22_08_25664-lather-plate: 0.9757319866521357
P22_08_25702-empty-pot: 0.7739867132900713
P22_08_25740-pick-up-pan: 0.23679202389450893
P22_08_25748-lather-pan: 0.33933398117198976
P22_08_25752-rinse-spoon: 0.8539294324655202
P22_08_25853-rinse-glass: 0.5121238835192798
P22_08_25857-rinse-cloth: 0.5745025482813162
P22_09_26001-put-down-plate: 0.4460847159689365
P22_09_26033-open-drawer: 0.7751516788266599
P22_09_26061-lather-bowl: 0.017312940422243628
P22_09_26136-rinse-cloth: 0.6887534333711756
P22_10_26287-rinse-bowl: 0.9211917488955805
P22_10_26318-pick-up-spoon: 0.06491664506710114
P22_10_26319-lather-spoon: 0.13116066503425827
P22_10_26340-pick-up-bowl: 0.6967777723566542
P22_10_26426-lather-glass: 0.43174264748017777
P22_10_26508-empty-bottle: 0.8447155441331233
P22_10_26511-empty-bottle: 0.7537453503987308
P22_11_26606-place-glass: 0.8174076097122907
P22_11_26644-put-down-bowl: 0.8903344839000056
P22_11_26763-rinse-glass: 0.01838722343906879
P22_12_26841-open-drawer: 0.9859114377759397
P22_12_26959-put-plate: 0.7881907753953783
P22_13_27105-open-tap: 0.42071404092132525
P22_13_27110-rinse-sponge: 0.6333692288186512
P22_13_27135-rinse-sponge: 0.572588926197227
P22_13_27154-rinse-knife: 0.7452929137625688
P22_13_27218-wash-cloth: 0.48557757399089496
P22_14_27373-open-drawer: 0.8349647014401853
P22_14_27404-open-tap: 0.6293242766347475
P22_14_27451-put-down-bowl: 0.22185770297596719
P22_14_27458-lather-knife: 0.4725727735904002
P22_14_27459-rinse-knife: 0.21779318496646738
P22_14_27462-put-down-spatula: 0.002611301640897155
P22_15_27640-put-down-plate: 0.8658873518770633
P22_15_27737-close-tap: 0.018302186735695614
P22_16_27934-put-down-cloth: 0.19696437176230575
P22_16_28015-cut-onion: 0.6128160126891089
P22_16_28020-peel-onion: 0.6450385565321994
P22_16_28022-peel-onion: 0.546342194304998
P22_16_28038-slice-onion: 0.6959417436655713
P22_16_28319-move-cloth: 0.6026436941085649
P22_16_28320-pick-up-cloth: 0.5061268737392766
P22_16_28411-open-drawer: 0.9885197370313108
P22_17_28425-move-bowl: 0.8655632703685114
P22_17_28449-lather-fork: 0.010380364488213445
P22_17_28547-put-down-pan: 0.025217839884447812
P22_17_28573-open-tap: 0.0019019908673622854
P22_17_28584-lather-fork: 0.6847395861841505
P22_17_28642-fill-bottle: 0.478348406549685
P22_17_28649-rinse-bottle: 0.5505048684949543
P22_17_28658-rinse-sponge: 0.08099102541598313
P22_17_28740-pick-up-plate: 0.9313881481839417
P22_17_28854-put-down-glass: 0.30088771372470546
P22_17_28855-put-down-glass: 0.16200847090590287
P22_17_28870-put-down-plate: 0.12552403363679332
P22_17_28903-dry-knife: 0.4341169243098193
P23_02_29082-wash-plate: 0.7739971252931355
P23_02_29125-open-fridge: 0.7949187121248542
P23_02_29204-close-tap: 0.17039433803586235
P23_04_29364-clean-bowl: 0.569706797332401
P24_01_29576-grab-cloth: 0.5619633254448217
P24_02_29640-open-fridge: 0.8763676768994628
P24_02_29661-close-fridge: 0.6322147742739617
P24_02_29710-turn-meat: 0.46073812372009115
P24_02_29718-cut-meat: 0.6380032015494521
P24_02_29727-take-meat: 0.0032725183083677223
P24_02_29739-flip-meat: 0.35579207665244894
P24_02_29747-check-meat: 0.35083320862571554
P24_02_29778-turn-meat: 0.7731208515814956
P24_02_29781-put-meat: 0.00239870099807149
P24_02_29785-take-cloth: 0.09271113003183018
P24_03_29796-pick-up-plate: 0.7405166959697453
P24_03_29802-rinse-sponge: 0.6120698214668892
P24_03_29811-lather-fork: 0.5974450888897991
P24_03_29903-rinse-sponge: 0.7623423696655891
P24_03_29914-pick-up-cloth: 0.005601969043937061
P24_04_29996-lather-knife: 0.6124861260295802
P24_05_30046-pick-up-lid: 0.8716038732968627
P24_05_30062-put-down-plate: 0.9742292264318166
P24_05_30105-move-pot: 0.0065281725497357
P24_05_30194-lift-lid: 0.02343020666785378
P24_05_30195-put-down-lid: 0.2197464939386009
P24_05_30226-rinse-knife: 0.10034248151362224
P24_05_30256-put-glass: 0.5205099608785986
P24_06_30353-grab-spoon: 0.9213613603569684
P24_06_30384-rinse-sponge: 0.11709494154289146
P24_06_30417-rinse-fork: 0.1567523923376939
P24_06_30419-rinse-fork: 0.4320605538523523
P24_07_30534-pick-up-cloth: 0.0006559211553849309
P24_07_30551-put-down-fork: 0.02582791115469263
P24_07_30569-turn-meat: 0.009161880681801904
P24_08_30653-pick-up-pot: 0.04694969803400357
P24_08_30656-put-pot: 0.6172717920549644
P24_08_30692-cut-onion: 0.27609737868533557
P24_08_30777-pick-up-lid: 0.18508250263448645
P24_08_30836-take-bottle: 0.00013905061624677599
P24_08_30897-pick-up-lid: 0.1041276026230662
P24_08_30965-open-tap: 0.49288456647775547
P25_02_31371-pick-up-pot: 0.30850147875440825
P25_02_31387-put-down-lid: 0.11905294908547148
P25_02_31397-turn-tap: 0.5382425698277302
P25_02_31398-turn-tap: 0.5267298577178963
P25_05_31483-put-down-pan: 0.7172483934683669
P25_05_31499-close-tap: 0.43002219678021447
P25_05_31558-open-cupboard: 0.24242425536795054
P25_05_31564-put-down-fork: 0.0248465218282945
P25_05_31574-pick-up-spoon: 0.0072896157913646675
P25_12_31949-open-drawer: 0.8790366142056882
P26_02_32021-put-down-fork: 0.5866572332888609
P26_02_32022-open-fridge: 0.8764499660010188
P26_02_32061-put-down-fork: 0.4886183318303665
P26_03_32116-lather-pan: 0.40318075475636306
P26_03_32126-rinse-glass: 0.8545386863909243
P26_03_32127-soap-glass: 0.7729231135956525
P26_04_32152-put-lid: 0.7935270925231634
P26_06_32189-close-lid: 0.738784548565036
P26_08_32201-put-down-spoon: 0.39234468236827524
P26_09_32220-pick-up-pot: 0.7184829245366586
P26_09_32221-put-down-pot: 0.19870265634250472
P26_09_32230-pick-up-pot: 0.1843769552929757
P26_10_32236-pick-up-pot: 0.2974804338578565
P26_10_32241-put-pot: 0.05034746865436546
P26_10_32247-open-fridge: 0.8386711849725543
P26_12_32292-close-lid: 0.8099565764136969
P26_13_32297-open-lid: 0.9438234229751288
P26_13_32317-put-down-spoon: 0.5043665653865901
P26_13_32319-put-lid: 0.9138623138137518
P26_17_32347-take-spoon: 0.3076583853762713
P26_17_32353-put-down-plate: 0.8494108995264469
P26_18_32372-take-plate: 0.18222767605493573
P26_19_32404-pick-up-pot: 0.06804670722209494
P26_19_32434-put-down-glass: 0.6499410574826925
P26_19_32490-pick-up-pot: 0.5483466784049256
P26_19_32492-put-pot: 0.12596187160175987
P26_21_32505-close-cupboard: 0.5385653685516445
P26_28_32674-grab-fork: 0.005948625851120548
P26_29_32690-put-lid: 0.0047505066444273325
P27_01_32893-pick-up-fork: 0.03441206620391313
P27_04_33002-place-sponge: 0.38112619939931847
P27_06_33144-pick-up-spoon: 0.01892279650292039
P27_06_33145-pick-up-fork: 0.06468469813989941
P27_07_33177-take-cloth: 0.004102880014997368
P27_07_33257-turn-on-tap: 0.229273205209779
P28_01_33343-put-down-pan: 0.07487342768511943
P28_02_33398-put-down-spatula: 0.009401426685142981
P28_02_33400-wash-knife: 0.47571449832776125
P28_02_33474-turn-on-tap: 0.6897671415296145
P28_02_33479-turn-on-tap: 0.3580202317622252
P28_02_33489-turn-on-tap: 0.12793500339449082
P28_03_33614-peel-potato: 0.7814888224512515
P28_03_33621-turn-off-tap: 0.0002988823631540072
P28_04_33682-cut-potato: 0.5976439576171515
P28_05_33779-put-down-knife: 0.009933479251230892
P28_06_33862-take-knife: 0.5262572564070069
P28_06_33958-take-spoon: 0.2891900854956475
P28_08_34040-wash-knife: 0.00261284687058283
P28_09_34091-open-fridge: 0.8278357869839965
P28_09_34141-turn-on-tap: 0.24067960137620048
P28_13_34301-put-pan: 0.28155758628975036
P28_14_34393-put-down-sponge: 0.004715130311183202
P28_14_34394-turn-on-tap: 0.796179428399796
P28_14_34396-turn-off-tap: 0.0017904874761969225
P29_01_34867-chop-onion: 0.6037805087316883
P29_01_34868-chop-onion: 0.6990973312558708
P29_01_34877-chop-onion: 0.36084606916756456
P29_01_34902-chop-onion: 0.41429743286334997
P29_02_35181-move-fork: 0.08381152219681098
P29_02_35206-open-drawer: 0.8623933151829988
P29_03_35254-put-down-glass: 0.6504665175955324
P29_03_35265-close-cupboard: 0.6440546963276574
P29_03_35296-move-pan: 0.038934599970275485
P29_03_35335-pick-up-spatula: 0.07697691993053013
P29_03_35355-pick-up-fork: 0.4747971293836599
P29_03_35439-pick-up-bowl: 0.7631033032321284
P29_03_35461-rinse-bowl: 0.5259137113698671
P29_03_35497-scour-knife: 0.0553054959864312
P29_03_35528-pick-up-plate: 0.4942478021448551
P29_03_35562-scour-spatula: 0.3986111102040013
P29_03_35564-scour-spatula: 0.17670110267317796
P29_03_35632-pick-up-bowl: 0.035261680741314194
P29_04_35774-open-fridge: 0.13556464806424628
P30_03_36639-clean-knife: 0.3516492744989108
P30_04_36678-take-fork: 0.4422827223170316
P30_05_36874-put-onion: 0.1904858617554055
P30_05_36904-chop-onion: 0.34372774021267105
P30_05_36922-chop-onion: 0.6116512424641769
P30_05_37020-open-cupboard: 0.8586386528841103
P30_05_37240-open-cupboard: 0.855682940040424
P30_05_37272-wash-spoon: 0.11909604758966452
P30_05_37511-take-plate: 0.5673671777635718
P30_05_37535-empty-bottle: 0.43615020053766784
P30_06_37605-dry-fork: 0.44364702558959834
P30_06_37668-rinse-plate: 0.9285300279311741
P30_06_37674-rinse-bowl: 0.43282616831311316
P30_10_38341-take-spoon: 0.7263742579598329
P30_10_38504-rinse-fork: 0.018760834935036996
P30_10_38535-take-spoon: 0.9456537914447836
P30_10_38579-rinse-sponge: 0.43859536085933826
P30_11_38596-rinse-plate: 0.1832100044280196
P30_11_38661-wash-spoon: 0.7732359738074592
P30_11_38673-rise-sponge: 0.1941751475837492
P31_01_38722-take-glass: 0.001616477111198833
P31_08_38926-open-fridge: 0.644662114210405
P31_08_38943-open-fridge: 0.8385716563798269
Finished: cm_16, ins, most_first, epic, r50l, perturb, #Step=128
Average: 0.45592266081579963
Loaded /home/acb11711tx/lzq/ExpEval/exe_res/epic_r50l_perturb_full_summed.pt
Use 4 GPUs!
P01_01_11-close-fridge: 0.8532234317517577
P01_01_227-take-glass: 0.025795195059789923
P01_01_246-put-down-spatula: 0.7609698623764416
P01_01_254-put-down-spoon: 0.5051472628329066
P01_01_255-open-cupboard: 0.6507367025042186
P01_01_305-take-spatula: 0.7717330307114025
P01_01_324-wash-pan: 0.9184080576652605
P01_01_49-take-spatula: 0.6424739377453079
P01_01_76-take-onion: 0.8112286657478762
P01_02_338-rinse-sponge: 0.009044873419981059
P01_02_387-rinse-spoon: 0.20587314670567025
P01_02_417-rinse-fork: 0.005786158157868981
P01_02_421-rinse-plate: 0.9414163926458059
P01_03_489-move-bottle: 0.7292117305273678
P01_03_493-open-cupboard: 0.5450335879722843
