Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_g_full.pt
P08_06_13618-place-knife: 0.0056432816805318
P08_06_13629-wipe-off-pan: 0.9063041223958135
P08_11_13977-get-cloth: 0.7990961250290275
P08_18_14449-wipe-bowl: 0.09076010805554688
P08_18_14507-water-sponge: 0.5548272210266441
P08_18_14508-squeeze-sponge: 0.533660962274298
P08_18_14512-water-sponge: 0.5388765293266624
P08_18_14524-water-sponge: 0.5638348770048469
P08_18_14525-squeeze-sponge: 0.6091510555054992
P08_18_14531-water-sponge: 0.5948335602786392
P08_19_14557-close-fridge: 0.34296300120651724
P08_21_14640-take-out-glass: 0.8074675100669265
P08_21_14646-place-pan: 0.7731392933800817
P08_21_14658-place-in-cupboard: 0.08779481697827578
P08_21_14669-place-in-cupboard: 0.024111051498912274
P08_21_14811-close-cupboard: 0.7312066644802689
P08_21_14812-open-cupboard: 0.7641239548102021
P08_22_14989-place-sponge: 0.4101745048072189
P08_22_14997-place-sponge: 0.3358813902642578
P08_23_15214-get-potato: 0.34397865245118736
P08_24_15331-get-potato: 0.712995665166527
P08_24_15333-cut-potato: 0.9312057198025286
P08_25_15415-get-plate: 0.8771608702465892
P08_26_15435-get-pan: 0.8694027825072408
P08_26_15438-get-bowl: 0.004193817798513919
P08_26_15444-place-bowl: 0.004496190643403679
P08_26_15453-close-drawer: 0.16668880809098482
P08_26_15455-get-bottle: 0.012098226826637984
P08_26_15490-move-bowl: 0.5625391852972098
P08_26_15501-clean-sponge: 0.7058399006631225
P10_01_15872-move-pot: 0.5836657201126217
P10_01_15913-shake-pot: 0.5086183081939817
P10_01_15944-put-pot: 0.4361988602951169
P10_04_16497-throw-bottle: 0.0008315815162995932
P10_04_16580-clean-pot: 0.10999565251171589
P12_02_18571-wash-knife: 0.40236367703415454
P12_02_18604-wash-knife: 0.19735681117512285
P12_02_18631-wash-knife: 0.004060000919853337
P12_02_18711-fill-glass: 0.12171466641128063
P12_06_18977-take-cloth: 0.1785387870296836
P12_06_19001-put-plate: 0.0030171909744149163
P12_06_19002-open-bottle: 0.0006961359572596848
P13_07_19294-open-drawer: 0.7222637194767594
P13_08_19320-take-onion: 0.2596127068664646
P13_08_19332-put-down-onion: 0.6855146013572813
P13_08_19339-cut-onion: 0.9024641187861562
P13_08_19345-put-down-knife: 0.0009427155037025159
P13_08_19357-pick-up-pot: 0.5903827695921063
P13_08_19377-change-pot: 0.5248202847316861
P13_08_19391-put-down-plate: 0.8500229505822062
P13_09_19504-put-pan: 0.5228955023363233
P13_09_19511-drain-pot: 0.5883972715213894
P13_09_19516-close-drawer: 0.1912018371000886
P13_09_19528-close-drawer: 0.5022200605645776
P13_09_19549-close-fridge: 0.35594888992607593
P15_01_19739-pick-up-bowl: 0.10587410659762099
P15_03_19816-close-drawer: 0.8266299471631646
P15_03_19848-dry-pan: 0.25778990212827924
