Loaded /home/lzq/ExpEval/exe_res/epic_r2p1d_random_full.pt
P22_14_27458-lather-knife: 0.021635674759745597
P22_14_27459-rinse-knife: 0.06551077507436276
P22_14_27462-put-down-spatula: 0.00014065284617686302
P22_15_27640-put-down-plate: 0.5124280033260584
P22_15_27737-close-tap: 0.004734272481873632
P22_16_27934-put-down-cloth: 0.13779629739001392
P22_16_28015-cut-onion: 0.5494194301217794
P22_16_28020-peel-onion: 0.3618148543685675
P22_16_28022-peel-onion: 0.3940866210311651
P22_16_28038-slice-onion: 0.5731469210237264
P22_16_28319-move-cloth: 0.1435008585639298
P22_16_28320-pick-up-cloth: 0.08980517627671361
P22_16_28411-open-drawer: 0.21631304768845439
P22_17_28425-move-bowl: 0.20389613838517107
P22_17_28449-lather-fork: 0.01905610665678978
P22_17_28547-put-down-pan: 0.034888547724112866
P22_17_28573-open-tap: 0.0023015198056230445
P22_17_28584-lather-fork: 0.1144920665025711
P22_17_28642-fill-bottle: 0.007588671557605267
P22_17_28649-rinse-bottle: 0.008892065957188605
P22_17_28658-rinse-sponge: 0.007387302266433835
P22_17_28740-pick-up-plate: 0.4377183995395899
P22_17_28854-put-down-glass: 0.4590836960077286
P22_17_28855-put-down-glass: 0.2820482194423676
P22_17_28870-put-down-plate: 0.26748560287058354
P22_17_28903-dry-knife: 0.08833990041166544
P23_02_29082-wash-plate: 0.7005279672890902
P23_02_29125-open-fridge: 0.050443105790764095
P23_02_29204-close-tap: 0.06218277417123318
P23_04_29364-clean-bowl: 0.27715344013297
P24_01_29576-grab-cloth: 0.3797457993216813
P24_02_29640-open-fridge: 0.13584669480100275
P24_02_29661-close-fridge: 0.07649563917890191
P24_02_29710-turn-meat: 0.1682635932415724
P24_02_29718-cut-meat: 0.2040732990950346
P24_02_29727-take-meat: 0.0017688872292637825
P24_02_29739-flip-meat: 0.22969268552958966
P24_02_29747-check-meat: 0.24738985531032084
P24_02_29778-turn-meat: 0.1497547399252653
P24_02_29781-put-meat: 0.0009003006340935826
P24_02_29785-take-cloth: 0.0013654247589875012
P24_03_29796-pick-up-plate: 0.08071183271706105
P24_03_29802-rinse-sponge: 0.04294194553978741
P24_03_29811-lather-fork: 0.03160564750432968
P24_03_29903-rinse-sponge: 0.22619446282275021
P24_03_29914-pick-up-cloth: 0.03678232671692967
P24_04_29996-lather-knife: 0.18059074494987726
P24_05_30046-pick-up-lid: 0.10535303801298142
P24_05_30062-put-down-plate: 0.5955090159922838
P24_05_30105-move-pot: 0.01512169949710369
P24_05_30194-lift-lid: 0.06220830410718918
