Loaded /home/lzq/ExpEval/exe_res/epic_r50l_eb_full.pt
P20_01_21617-rinse-spatula: 0.0036273239475121954
P20_01_21626-flip-meat: 0.8348564825482185
P20_01_21640-flip-meat: 0.863931389851075
P20_01_21644-press-spatula: 0.22946849287109217
P20_01_21652-press-spatula: 0.4756186174618051
P20_01_21658-stir-meat: 0.6572569984472807
P20_01_21671-press-spatula: 0.7740332335579296
P20_01_21676-stir-meat: 0.7092793340324874
P20_01_21684-flip-meat: 0.7521620107344802
P20_01_21686-press-spatula: 0.7646185607063671
P20_01_21699-stir-meat: 0.6232016837220158
P20_01_21711-press-spatula: 0.6814792007553478
P20_01_21745-flip-meat: 0.701702946191233
P20_01_21755-press-spatula: 0.8661224693405529
P20_01_21757-press-spatula: 0.9104561657059094
P20_01_21758-press-spatula: 0.8875687313611706
P20_01_21764-move-meat: 0.6858069820791002
P20_01_21798-pick-up-meat: 0.6565359307914491
P20_01_21820-pick-up-spatula: 0.7709871423776349
P20_01_21824-put-down-spatula: 0.8225315099462023
P20_02_21843-turn-on-tap: 0.7579388806427119
P20_02_21859-wash-bowl: 0.8379784791850398
P20_03_21981-put-fork: 0.01694819239768175
P20_04_22059-pick-up-meat: 0.004507222087283935
P20_04_22090-rinse-meat: 0.5352995377961065
P20_04_22188-open-drawer: 0.49503486511821393
P20_04_22222-wash-knife: 0.0012272207472957541
P20_04_22308-put-down-spatula: 0.6508435863415798
P20_04_22332-open-fridge: 0.45083430492195475
P21_01_22625-close-fridge: 0.5648883792000561
P22_05_24164-place-bottle: 0.8546783568958745
P22_06_24730-lather-glass: 0.3457999603626831
P22_06_24739-lather-fork: 0.8902139093115693
P22_07_24883-rinse-cloth: 0.413418058850084
P22_07_24894-lather-glass: 0.020347572823169457
P22_07_24993-put-down-cloth: 0.6600654801206929
P22_07_25167-put-down-pot: 0.008296447222676306
P22_07_25302-rinse-spoon: 0.030355703238456044
P22_07_25325-pick-up-plate: 0.7596146544283329
P22_07_25357-put-down-glass: 0.014792379180335047
P22_07_25363-remove-plate: 0.06333285749951756
P22_07_25364-remove-plate: 0.5387309573898165
P22_08_25638-close-tap: 0.01957009190801205
P22_08_25664-lather-plate: 0.9251860557897089
P22_08_25702-empty-pot: 0.0447487476909032
P22_08_25740-pick-up-pan: 0.09366236966582164
P22_08_25748-lather-pan: 0.08272816271175998
P22_08_25752-rinse-spoon: 0.7810610852975515
