Loaded /home/lzq/ExpEval/exe_res/ucf101_r50l_perturb_full_core5_test_summed.pt
v_BasketballDunk_g05_c01: 0.6901718601826395
v_BasketballDunk_g05_c02: 0.7327014664959565
v_BasketballDunk_g05_c03: 0.6201104536629738
v_BasketballDunk_g05_c04: 0.6485504323072782
v_BasketballDunk_g05_c05: 0.7375347052714514
v_BasketballDunk_g05_c06: 0.6051681167555645
v_BasketballDunk_g06_c01: 0.773177851044445
v_BasketballDunk_g06_c02: 0.6495320149295616
v_BasketballDunk_g06_c03: 0.5994029096072064
v_BasketballDunk_g06_c04: 0.8111801186850404
v_BasketballDunk_g07_c01: 0.6265630049265775
v_BasketballDunk_g07_c02: 0.6421719282377036
v_BasketballDunk_g07_c03: 0.6829771750049629
v_BasketballDunk_g07_c04: 0.48452872103445377
v_BasketballDunk_g07_c05: 0.6515230125373266
v_BasketballDunk_g07_c06: 0.6268480191404439
v_Biking_g01_c01: 0.7384567864252912
v_Biking_g01_c02: 0.20783438454536396
v_Biking_g01_c03: 0.7792953548212216
v_Biking_g01_c04: 0.8131485625740834
v_Biking_g02_c01: 0.4979454119793623
v_Biking_g02_c02: 0.6222786314390011
v_Biking_g02_c03: 0.6461925339885056
v_Biking_g02_c04: 0.7026909824350036
v_Biking_g02_c05: 0.625055856747991
v_Biking_g02_c06: 0.5160251785458897
v_Biking_g02_c07: 0.6447568400703626
v_Biking_g03_c01: 0.40067040833562395
v_Biking_g03_c02: 0.6168656302218819
v_Biking_g03_c03: 0.624974160048855
v_Biking_g03_c04: 0.18949241990509003
v_Biking_g04_c01: 0.39098312974560495
v_Biking_g04_c02: 0.19932402548033232
v_Biking_g04_c03: 0.5813961308636685
v_Biking_g04_c04: 0.1071513133404854
v_Biking_g04_c05: 0.3171848461116372
v_Biking_g05_c01: 0.3925035113916166
v_Biking_g05_c02: 0.6863255545015016
v_Biking_g05_c03: 0.5631655079924659
v_Biking_g05_c04: 0.689862898324945
v_Biking_g05_c05: 0.7034527070869409
v_Biking_g05_c06: 0.5619500453316826
v_Biking_g05_c07: 0.6208540928235058
v_Biking_g06_c01: 0.5053191942598798
v_Biking_g06_c02: 0.7054883469019414
v_Biking_g06_c03: 0.6147534502090375
v_Biking_g06_c04: 0.4237778646511216
v_Biking_g06_c05: 0.4339702974526981
v_Biking_g07_c01: 0.5182285231588335
v_Biking_g07_c02: 0.4879385783935112
v_Biking_g07_c03: 0.393177376504572
v_Biking_g07_c04: 0.2573511322143068
v_Biking_g07_c05: 0.020085039395010374
v_Biking_g07_c06: 0.2960988495335686
v_CliffDiving_g01_c01: 0.9134399341601952
v_CliffDiving_g01_c02: 0.9429661824422724
v_CliffDiving_g01_c03: 0.42299151455654815
v_CliffDiving_g01_c04: 0.46580607984580247
v_CliffDiving_g01_c05: 0.2962787251846463
v_CliffDiving_g01_c06: 0.404406108341965
v_CliffDiving_g02_c01: 0.424978161091898
v_CliffDiving_g02_c02: 0.3288276675869437
v_CliffDiving_g02_c03: 0.4231440310384713
v_CliffDiving_g02_c04: 0.3764171647090538
v_CliffDiving_g03_c01: 0.9281723374245213
v_CliffDiving_g03_c02: 0.9952294424468395
v_CliffDiving_g03_c03: 0.9058773505921457
v_CliffDiving_g03_c04: 0.6591332485862806
v_CliffDiving_g03_c05: 0.8678661326567332
v_CliffDiving_g04_c01: 0.617598769010282
v_CliffDiving_g04_c02: 0.7696653452574038
v_CliffDiving_g04_c03: 0.5769196157361947
v_CliffDiving_g04_c04: 0.7713818058079365
v_CliffDiving_g05_c01: 0.09105546395887858
v_CliffDiving_g05_c02: 0.5911919862616296
v_CliffDiving_g05_c03: 0.3897056691786822
v_CliffDiving_g05_c04: 0.23680074851886898
v_CliffDiving_g05_c05: 0.8375555002221874
v_CliffDiving_g05_c06: 0.6318314326744453
v_CliffDiving_g05_c07: 0.9103764169356402
v_CliffDiving_g06_c01: 0.4410074488789428
v_CliffDiving_g06_c02: 0.9222086780211505
v_CliffDiving_g06_c03: 0.7662176180119608
v_CliffDiving_g06_c04: 0.7855361323730619
v_CliffDiving_g06_c05: 0.45656511970594815
v_CliffDiving_g06_c06: 0.6753523207178302
v_CliffDiving_g06_c07: 0.8945810057368933
v_CliffDiving_g07_c01: 0.8875073025039598
